,with stopwords,with stopwords,without stopwords,without stopwords
Measure,true>fake,%,true>fake,%
betweenness,1872.0,0.52,1871.0,0.52
closeness,1917.0,0.53,1654.0,0.46
eigenvector,1878.0,0.52,1866.0,0.52
katz,1834.0,0.51,1618.0,0.45
pagerank,1796.0,0.5,1561.0,0.43
hubs,1816.0,0.5,1577.0,0.44
authorities,1826.0,0.51,1574.0,0.44
clustering,1778.0,0.49,1495.0,0.42
average_clustering,1778.0,0.49,1495.0,0.42
correlation,1584.0,0.44,1946.0,0.54
transitivity,1547.0,0.43,1406.0,0.39
density,1904.0,0.53,1668.0,0.46
