,with stopwords,with stopwords,without stopwords,without stopwords
Measure,true>fake,%,true>fake,%
betweenness,1915.0,0.53,1487.0,0.41
closeness,1905.0,0.53,1664.0,0.46
eigenvector,1831.0,0.51,1580.0,0.44
katz,1941.0,0.54,1445.0,0.4
pagerank,1985.0,0.55,1379.0,0.38
hubs,1776.0,0.49,1816.0,0.5
authorities,1826.0,0.51,1850.0,0.51
clustering,2992.0,0.83,2638.0,0.73
average_clustering,1874.0,0.52,2131.0,0.59
correlation,1584.0,0.44,1946.0,0.54
transitivity,1869.0,0.52,2403.0,0.67
density,1925.0,0.53,1698.0,0.47
