,,with stopwords,without stopwords
measure,algorithm,accuracy,accuracy
closeness,SVM,0.5420833333333334,0.5420833333333334
closeness,NB,0.5336111111111111,0.5336111111111111
correlation,NB,0.5330555555555555,0.5330555555555555
correlation,MLP,0.5327777777777778,0.5338888888888889
correlation,SVM,0.5309722222222222,0.5309722222222222
transitivity,DT,0.5248611111111112,0.5248611111111112
transitivity,SVM,0.5245833333333334,0.5245833333333334
transitivity,RF,0.5241666666666667,0.5251388888888889
transitivity,MLP,0.5233333333333333,0.5230555555555555
density,RF,0.522638888888889,0.5243055555555556
density,DT,0.5226388888888889,0.5226388888888889
closeness,KNN,0.5211111111111111,0.5211111111111111
correlation,DT,0.5173611111111112,0.5173611111111112
correlation,RF,0.5170833333333333,0.5184722222222222
correlation,KNN,0.5138888888888888,0.5145833333333333
transitivity,KNN,0.5122222222222222,0.5122222222222222
density,KNN,0.5116666666666667,0.5116666666666667
closeness,MLP,0.5116666666666665,0.5181944444444444
katz,RF,0.5105555555555557,0.5102777777777777
katz,DT,0.5102777777777778,0.5102777777777778
betweenness,NB,0.5097222222222222,0.5097222222222222
closeness,RF,0.508888888888889,0.50875
pagerank,SVM,0.5088888888888888,0.5088888888888888
hubs,SVM,0.5088888888888888,0.5088888888888888
authorities,SVM,0.5088888888888888,0.5088888888888888
closeness,DT,0.50875,0.50875
pagerank,RF,0.50875,0.5084722222222222
authorities,RF,0.50875,0.5052777777777778
hubs,RF,0.5081944444444444,0.5094444444444444
eigenvector,NB,0.5072222222222222,0.5075
katz,SVM,0.5069444444444444,0.5069444444444444
betweenness,MLP,0.5069444444444444,0.5041666666666667
authorities,NB,0.5065277777777778,0.5065277777777778
pagerank,NB,0.5065277777777778,0.5065277777777778
hubs,NB,0.5065277777777778,0.5065277777777778
eigenvector,SVM,0.5058333333333334,0.507638888888889
betweenness,SVM,0.5050000000000001,0.5050000000000001
pagerank,DT,0.5047222222222223,0.5047222222222223
hubs,DT,0.5047222222222223,0.5047222222222223
authorities,DT,0.5047222222222223,0.5047222222222223
clustering,KNN,0.5043055555555556,0.5043055555555556
average_clustering,KNN,0.5043055555555556,0.5043055555555556
density,NB,0.5036111111111111,0.5036111111111111
katz,MLP,0.5027777777777777,0.5013888888888889
katz,NB,0.5025,0.5025
transitivity,NB,0.5020833333333334,0.5020833333333334
eigenvector,MLP,0.5016666666666666,0.5059722222222222
katz,KNN,0.5013888888888889,0.5013888888888889
hubs,MLP,0.5013888888888889,0.5013888888888889
hubs,KNN,0.50125,0.4997222222222222
authorities,MLP,0.5006944444444443,0.5016666666666667
density,MLP,0.5005555555555555,0.5037499999999999
clustering,MLP,0.5,0.49944444444444447
pagerank,MLP,0.5,0.505
authorities,KNN,0.4998611111111112,0.4997222222222222
pagerank,KNN,0.4998611111111112,0.4998611111111112
density,SVM,0.49861111111111106,0.49861111111111106
average_clustering,MLP,0.49736111111111103,0.5
clustering,SVM,0.4963888888888889,0.4963888888888889
average_clustering,SVM,0.4963888888888889,0.4963888888888889
eigenvector,DT,0.49444444444444446,0.49527777777777776
eigenvector,RF,0.49430555555555555,0.4951388888888889
clustering,RF,0.49416666666666664,0.4934722222222222
betweenness,RF,0.49361111111111117,0.4936111111111111
betweenness,DT,0.4936111111111111,0.4936111111111111
clustering,NB,0.49319444444444444,0.49319444444444444
average_clustering,NB,0.49319444444444444,0.49319444444444444
betweenness,KNN,0.4920833333333333,0.4920833333333333
clustering,DT,0.4918055555555556,0.4918055555555556
average_clustering,DT,0.4918055555555556,0.4918055555555556
average_clustering,RF,0.49000000000000005,0.4905555555555556
eigenvector,KNN,0.48638888888888887,0.48888888888888893
