,,with stopwords,without stopwords
measure,algorithm,accuracy,accuracy
katz,SVM,0.5930555555555556,0.5293055555555556
katz,MLP,0.5919444444444444,0.5351388888888888
transitivity,SVM,0.58625,0.5208333333333333
katz,NB,0.5852777777777778,0.5140277777777778
transitivity,MLP,0.5833333333333333,0.5184722222222222
closeness,MLP,0.5831944444444445,0.5202777777777777
closeness,SVM,0.5822222222222222,0.5355555555555556
closeness,NB,0.5798611111111112,0.5208333333333333
transitivity,NB,0.5784722222222223,0.5202777777777777
pagerank,SVM,0.5679166666666667,0.5238888888888888
average_clustering,SVM,0.5658333333333333,0.53
average_clustering,MLP,0.5647222222222222,0.5322222222222223
pagerank,MLP,0.5641666666666666,0.52
average_clustering,NB,0.5583333333333333,0.5306944444444445
eigenvector,NB,0.5472222222222223,0.5238888888888888
eigenvector,SVM,0.5470833333333334,0.5227777777777778
eigenvector,MLP,0.546111111111111,0.5261111111111111
hubs,MLP,0.5434722222222221,0.5305555555555556
transitivity,DT,0.5427777777777777,0.5066666666666667
katz,KNN,0.5408333333333333,0.5158333333333334
transitivity,KNN,0.5386111111111112,0.5073611111111112
pagerank,NB,0.5383333333333333,0.5129166666666667
katz,DT,0.5383333333333333,0.5019444444444444
hubs,SVM,0.5379166666666667,0.5277777777777778
katz,RF,0.5379166666666667,0.5013888888888889
pagerank,KNN,0.5363888888888889,0.5011111111111111
transitivity,RF,0.5355555555555556,0.50625
authorities,MLP,0.5322222222222222,0.5455555555555556
clustering,MLP,0.5318055555555556,0.5255555555555556
authorities,SVM,0.5316666666666666,0.5445833333333333
closeness,KNN,0.5309722222222222,0.5169444444444444
clustering,NB,0.5306944444444445,0.5194444444444445
clustering,DT,0.5301388888888889,0.5319444444444444
clustering,RF,0.53,0.5323611111111111
authorities,NB,0.5265277777777778,0.4959722222222222
clustering,SVM,0.525,0.5301388888888889
authorities,KNN,0.5248611111111111,0.5019444444444444
density,NB,0.5245833333333333,0.5019444444444444
density,KNN,0.5222222222222223,0.5141666666666667
authorities,RF,0.5220833333333333,0.5120833333333333
authorities,DT,0.5216666666666667,0.5097222222222222
density,SVM,0.5211111111111111,0.505
pagerank,DT,0.5194444444444445,0.5051388888888888
pagerank,RF,0.5190277777777779,0.5045833333333334
eigenvector,KNN,0.5180555555555555,0.5050000000000001
betweenness,SVM,0.5147222222222222,0.56375
density,DT,0.5147222222222222,0.5262500000000001
betweenness,RF,0.5144444444444444,0.511388888888889
average_clustering,KNN,0.5130555555555556,0.5011111111111111
density,RF,0.5127777777777778,0.5290277777777777
eigenvector,DT,0.5125,0.5058333333333332
betweenness,MLP,0.5125,0.5641666666666666
betweenness,DT,0.5122222222222221,0.5075000000000001
eigenvector,RF,0.51125,0.5048611111111111
clustering,KNN,0.5075000000000001,0.5023611111111111
correlation,NB,0.5073611111111112,0.49375
density,MLP,0.5048611111111111,0.50125
closeness,RF,0.5043055555555556,0.5063888888888888
hubs,RF,0.503611111111111,0.5093055555555555
hubs,DT,0.5031944444444445,0.5068055555555555
correlation,MLP,0.5026388888888889,0.49638888888888894
closeness,DT,0.5026388888888889,0.5104166666666667
betweenness,KNN,0.5022222222222222,0.5234722222222221
hubs,KNN,0.5020833333333333,0.5063888888888889
hubs,NB,0.5005555555555555,0.5166666666666666
average_clustering,RF,0.4997222222222223,0.5006944444444444
average_clustering,DT,0.49930555555555556,0.5018055555555556
betweenness,NB,0.49930555555555556,0.5552777777777778
correlation,DT,0.49777777777777776,0.5068055555555555
correlation,RF,0.49763888888888896,0.5069444444444444
correlation,KNN,0.4969444444444444,0.4997222222222222
correlation,SVM,0.4965277777777778,0.48708333333333337
