,,with stopwords,without stopwords
measure,algorithm,accuracy,accuracy
transitivity,MLP,0.5865277777777778,0.49944444444444447
transitivity,SVM,0.58625,0.5208333333333333
transitivity,NB,0.5784722222222223,0.5202777777777777
average_clustering,MLP,0.56875,0.5340277777777779
clustering,MLP,0.5669444444444445,0.5243055555555556
clustering,SVM,0.5658333333333333,0.53
average_clustering,SVM,0.5658333333333333,0.53
clustering,NB,0.5583333333333333,0.5306944444444445
average_clustering,NB,0.5583333333333333,0.5306944444444445
transitivity,DT,0.5427777777777777,0.5066666666666667
transitivity,RF,0.5399999999999999,0.5059722222222222
transitivity,KNN,0.5386111111111112,0.5073611111111112
eigenvector,NB,0.5298611111111111,0.5288888888888889
eigenvector,SVM,0.5283333333333334,0.5368055555555555
eigenvector,MLP,0.5270833333333333,0.5323611111111112
density,NB,0.5245833333333333,0.5019444444444444
density,KNN,0.5222222222222223,0.5141666666666667
density,SVM,0.5211111111111111,0.505
closeness,SVM,0.5181944444444444,0.522361111111111
density,RF,0.5155555555555555,0.5283333333333333
density,DT,0.5147222222222222,0.5262500000000001
average_clustering,KNN,0.5130555555555556,0.5011111111111111
clustering,KNN,0.5130555555555556,0.5011111111111111
betweenness,SVM,0.5129166666666667,0.5545833333333333
eigenvector,RF,0.5127777777777778,0.4948611111111111
closeness,NB,0.5126388888888889,0.5079166666666667
betweenness,NB,0.5118055555555555,0.5522222222222222
eigenvector,DT,0.5113888888888889,0.49444444444444446
pagerank,SVM,0.5105555555555555,0.5048611111111111
correlation,MLP,0.5094444444444445,0.4969444444444445
closeness,MLP,0.5083333333333333,0.5002777777777778
correlation,NB,0.5073611111111112,0.49375
hubs,SVM,0.5069444444444444,0.5030555555555556
authorities,SVM,0.5069444444444444,0.5030555555555556
betweenness,MLP,0.5069444444444444,0.5551388888888888
betweenness,KNN,0.5058333333333334,0.5208333333333333
katz,SVM,0.5052777777777778,0.5031944444444444
closeness,RF,0.5052777777777778,0.4956944444444445
closeness,DT,0.5041666666666667,0.4963888888888889
eigenvector,KNN,0.5034722222222221,0.5190277777777779
density,MLP,0.5029166666666667,0.5036111111111111
authorities,MLP,0.5026388888888889,0.5015277777777778
hubs,RF,0.5019444444444444,0.5084722222222222
closeness,KNN,0.5015277777777778,0.49861111111111106
katz,MLP,0.5008333333333334,0.5040277777777777
katz,NB,0.5008333333333332,0.5043055555555556
betweenness,RF,0.5006944444444444,0.5206944444444443
authorities,RF,0.5005555555555555,0.5116666666666667
authorities,NB,0.5004166666666666,0.5073611111111112
hubs,NB,0.5004166666666666,0.5073611111111112
pagerank,KNN,0.5004166666666666,0.5054166666666666
pagerank,MLP,0.4998611111111111,0.5008333333333332
hubs,MLP,0.4997222222222222,0.5019444444444444
average_clustering,RF,0.4997222222222222,0.5001388888888888
clustering,RF,0.49958333333333327,0.5009722222222222
authorities,KNN,0.49958333333333327,0.5027777777777778
betweenness,DT,0.49958333333333327,0.5213888888888889
average_clustering,DT,0.49930555555555556,0.5018055555555556
clustering,DT,0.49930555555555556,0.5018055555555556
pagerank,NB,0.4991666666666667,0.5033333333333333
hubs,DT,0.49916666666666665,0.5075000000000001
pagerank,DT,0.49916666666666665,0.5075000000000001
authorities,DT,0.49916666666666665,0.5075000000000001
pagerank,RF,0.49819444444444444,0.5069444444444444
correlation,DT,0.49777777777777776,0.5068055555555555
correlation,RF,0.49763888888888885,0.5070833333333333
correlation,KNN,0.4969444444444444,0.4997222222222222
correlation,SVM,0.4965277777777778,0.48708333333333337
hubs,KNN,0.49527777777777776,0.49736111111111114
katz,RF,0.49097222222222214,0.4979166666666667
katz,DT,0.4905555555555555,0.4965277777777778
katz,KNN,0.4769444444444445,0.5116666666666666
