# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = eua lancam maior bomba nuclear mundo reduto estado islamico estados unidos lancaram bomba nuclear considerada maior mundo reduto isis afeganistao bomba duas vezes maior bomba nuclear lancada hiroshima caiu provincia afega nangarhar confirmou pentagono acreditase raio explosao acima 300 metros arma descrita mae todas bombas primeira vez tipo artefato usado combate peso bomba gbu43b massive ordnance air blast bomb moab pode chegar 10 toneladas poder destrutivo equivalente 20 misseis tomahawk trump declarou vai cumprir promessa limparo estado islamico face terra vamos prosseguir operacoes agressivas conjuntas esmagar destruir isis declarou presidente norteamericano
1	eua	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:3
2	lancam	lancar	VERB	VERB	_	89	ccomp	_	TokenRange=4:10
3	maior	maior	ADJ	ADJ	_	4	amod	_	TokenRange=11:16
4	bomba	bomba	NOUN	NOUN	_	2	obj	_	TokenRange=17:22
5	nuclear	nuclear	ADJ	ADJ	_	4	amod	_	TokenRange=23:30
6	mundo	mundo	NOUN	NOUN	_	4	appos	_	TokenRange=31:36
7	reduto	reduto	ADJ	ADJ	_	4	amod	_	TokenRange=37:43
8	estado	estado	NOUN	NOUN	_	4	appos	_	TokenRange=44:50
9	islamico	islamico	ADJ	ADJ	_	8	amod	_	TokenRange=51:59
10	estados	estado	NOUN	NOUN	_	12	nsubj	_	TokenRange=60:67
11	unidos	unido	ADJ	ADJ	_	10	amod	_	TokenRange=68:74
12	lancaram	lancar	VERB	VERB	_	4	acl:relcl	_	TokenRange=75:83
13	bomba	bomba	NOUN	NOUN	_	12	obj	_	TokenRange=84:89
14	nuclear	nuclear	ADJ	ADJ	_	13	amod	_	TokenRange=90:97
15	considerada	considerar	AUX	AUX	_	17	cop	_	TokenRange=98:109
16	maior	maior	ADJ	ADJ	_	17	amod	_	TokenRange=110:115
17	mundo	mundo	NOUN	NOUN	_	13	acl	_	TokenRange=116:121
18	reduto	reduto	ADJ	ADJ	_	17	amod	_	TokenRange=122:128
19	isis	_	NOUN	NOUN	_	17	appos	_	TokenRange=129:133
20	afeganistao	afeganistao	ADJ	ADJ	_	17	amod	_	TokenRange=134:145
21	bomba	bomba	NOUN	NOUN	_	62	nsubj	_	TokenRange=146:151
22	duas	_	NUM	NUM	NumType=Card	23	nummod	_	TokenRange=152:156
23	vezes	vez	NOUN	NOUN	_	25	nmod	_	TokenRange=157:162
24	maior	maior	ADJ	ADJ	_	25	amod	_	TokenRange=163:168
25	bomba	bomba	NOUN	NOUN	_	21	appos	_	TokenRange=169:174
26	nuclear	nuclear	ADJ	ADJ	_	25	amod	_	TokenRange=175:182
27	lancada	lancar	VERB	VERB	_	25	acl	_	TokenRange=183:190
28	hiroshima	_	NOUN	NOUN	_	25	appos	_	TokenRange=191:200
29	caiu	cair	VERB	VERB	_	2	parataxis	_	TokenRange=201:205
30	provincia	provincia	NOUN	NOUN	_	29	obj	_	TokenRange=206:215
31	afega	afego	ADJ	ADJ	_	30	amod	_	TokenRange=216:221
32	nangarhar	nangarhar	NOUN	NOUN	_	30	appos	_	TokenRange=222:231
33	confirmou	confirmar	VERB	VERB	_	30	acl:relcl	_	TokenRange=232:241
34	pentagono	pentagono	NOUN	NOUN	_	33	obj	_	TokenRange=242:251
35	acreditase	_	VERB	VERB	_	13	acl:relcl	_	TokenRange=252:262
36	raio	raio	NOUN	NOUN	_	35	obj	_	TokenRange=263:267
37	explosao	explosao	ADJ	ADJ	_	36	amod	_	TokenRange=268:276
38	acima	acima	ADV	ADV	_	39	advmod	_	TokenRange=277:282
39	300	_	NUM	NUM	NumType=Card	40	nummod	_	TokenRange=283:286
40	metros	metro	NOUN	NOUN	_	36	appos	_	TokenRange=287:293
41	arma	arma	NOUN	NOUN	_	40	appos	_	TokenRange=294:298
42	descrita	descrever	VERB	VERB	_	41	acl	_	TokenRange=299:307
43	mae	_	NOUN	NOUN	_	42	nmod	_	TokenRange=308:311
44	todas	_	DET	DET	_	45	det	_	TokenRange=312:317
45	bombas	bomba	NOUN	NOUN	_	35	nsubj	_	TokenRange=318:324
46	primeira	primeiro	ADJ	ADJ	_	47	amod	_	TokenRange=325:333
47	vez	vez	NOUN	NOUN	_	45	nmod	_	TokenRange=334:337
48	tipo	tipo	NOUN	NOUN	_	45	appos	_	TokenRange=338:342
49	artefato	artefato	NOUN	NOUN	_	48	flat	_	TokenRange=343:351
50	usado	usar	VERB	VERB	_	51	acl	_	TokenRange=352:357
51	combate	combate	NOUN	NOUN	_	48	appos	_	TokenRange=358:365
52	peso	peso	NOUN	NOUN	_	51	appos	_	TokenRange=366:370
53	bomba	bomba	NOUN	NOUN	_	52	flat	_	TokenRange=371:376
54	gbu43b	_	NOUN	NOUN	_	56	appos	_	TokenRange=377:383
55	massive	massive	ADJ	ADJ	_	56	amod	_	TokenRange=384:391
56	ordnance	_	NOUN	NOUN	_	51	appos	_	TokenRange=392:400
57	air	_	NOUN	NOUN	_	56	amod	_	TokenRange=401:404
58	blast	_	NOUN	NOUN	_	56	appos	_	TokenRange=405:410
59	bomb	_	NOUN	NOUN	_	56	flat	_	TokenRange=411:415
60	moab	_	NOUN	NOUN	_	56	flat	_	TokenRange=416:420
61	pode	_	AUX	AUX	_	62	aux	_	TokenRange=421:425
62	chegar	chegar	VERB	VERB	_	2	conj	_	TokenRange=426:432
63	10	_	NUM	NUM	NumType=Card	64	nummod	_	TokenRange=433:435
64	toneladas	tonelada	NOUN	NOUN	_	62	obj	_	TokenRange=436:445
65	poder	poder	NOUN	NOUN	_	62	nsubj	_	TokenRange=446:451
66	destrutivo	destrutivo	ADJ	ADJ	_	65	amod	_	TokenRange=452:462
67	equivalente	equivalente	ADJ	ADJ	_	65	amod	_	TokenRange=463:474
68	20	_	NUM	NUM	NumType=Card	69	nummod	_	TokenRange=475:477
69	misseis	missil	NOUN	NOUN	_	62	nsubj	_	TokenRange=478:485
70	tomahawk	_	NOUN	NOUN	_	69	appos	_	TokenRange=486:494
71	trump	_	NOUN	NOUN	_	69	flat	_	TokenRange=495:500
72	declarou	declarar	VERB	VERB	_	62	parataxis	_	TokenRange=501:509
73	vai	ir	AUX	AUX	_	74	aux	_	TokenRange=510:513
74	cumprir	cumprir	VERB	VERB	_	72	ccomp	_	TokenRange=514:521
