# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = apos receber pedido prisao lula sergio moro manda desocupar celas curitiba gatunos cada vez arrepiados logo logo petralhada estara toda reunida instalacoes pf curitiba 4 vara criminal paulo enviou ontem 2 juiz sergio moro 13 vara federal curitiba pedido prisao preventiva lula leia aqui ontem juiz sergio moro autorizou transferencia quatro presos lava jato carceragem pf encarcerados transferidos capital curitiba presidio pinhais parana joao santana esposa monica moura exsenador gim argello empresario ronan maria pinto liberaram novas vagas preenchidas cupula pt coisa costume curitiba sergio moro esvazia cadeia pf porque novos hospedes poderao chegar qualquer momento breve hotel petista estara lotado novamente
1	apos	_	ADP	ADP	_	2	mark	_	TokenRange=0:4
2	receber	receber	VERB	VERB	_	8	advcl	_	TokenRange=5:12
3	pedido	pedido	NOUN	NOUN	_	2	obj	_	TokenRange=13:19
4	prisao	prisao	ADJ	ADJ	_	3	amod	_	TokenRange=20:26
5	lula	lula	NOUN	NOUN	_	8	nsubj	_	TokenRange=27:31
6	sergio	sergio	NOUN	NOUN	_	5	appos	_	TokenRange=32:38
7	moro	moro	NOUN	NOUN	_	5	flat	_	TokenRange=39:43
8	manda	mandar	VERB	VERB	_	0	root	_	TokenRange=44:49
9	desocupar	desocupar	VERB	VERB	_	8	xcomp	_	TokenRange=50:59
10	celas	cela	NOUN	NOUN	_	9	obj	_	TokenRange=60:65
11	curitiba	curitiba	ADJ	ADJ	_	10	amod	_	TokenRange=66:74
12	gatunos	gatuno	NOUN	NOUN	_	9	obj	_	TokenRange=75:82
13	cada	_	DET	DET	_	14	det	_	TokenRange=83:87
14	vez	vez	NOUN	NOUN	_	15	nmod	_	TokenRange=88:91
15	arrepiados	arrepiado	ADJ	ADJ	_	12	amod	_	TokenRange=92:102
16	logo	logo	ADV	ADV	_	19	advmod	_	TokenRange=103:107
17	logo	logo	ADV	ADV	_	19	advmod	_	TokenRange=108:112
18	petralhada	_	NOUN	NOUN	_	19	nsubj	_	TokenRange=113:123
19	estara	estar	VERB	VERB	_	8	conj	_	TokenRange=124:130
20	toda	_	DET	DET	_	22	det	_	TokenRange=131:135
21	reunida	reunido	ADJ	ADJ	_	22	amod	_	TokenRange=136:143
22	instalacoes	instalacoe	NOUN	NOUN	_	19	nsubj	_	TokenRange=144:155
23	pf	_	NOUN	NOUN	_	22	appos	_	TokenRange=156:158
24	curitiba	curitiba	NOUN	NOUN	_	22	flat	_	TokenRange=159:167
25	4	_	NUM	NUM	NumType=Card	26	nummod	_	TokenRange=168:169
26	vara	vara	NOUN	NOUN	_	22	appos	_	TokenRange=170:174
27	criminal	criminal	ADJ	ADJ	_	26	amod	_	TokenRange=175:183
28	paulo	_	NOUN	NOUN	_	29	nsubj	_	TokenRange=184:189
29	enviou	enviar	VERB	VERB	_	26	acl:relcl	_	TokenRange=190:196
30	ontem	ontem	ADV	ADV	_	29	advmod	_	TokenRange=197:202
31	2	_	NUM	NUM	NumType=Card	32	nummod	_	TokenRange=203:204
32	juiz	juiz	NOUN	NOUN	_	29	obj	_	TokenRange=205:209
33	sergio	sergio	ADJ	ADJ	_	32	amod	_	TokenRange=210:216
34	moro	moro	NOUN	NOUN	_	32	appos	_	TokenRange=217:221
35	13	_	NUM	NUM	NumType=Card	36	nummod	_	TokenRange=222:224
36	vara	vara	NOUN	NOUN	_	32	appos	_	TokenRange=225:229
37	federal	federal	ADJ	ADJ	_	36	amod	_	TokenRange=230:237
