# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = enquanto croacia kolinda grabar presidenta uniu beleza inteligencia poder kolinda grabarkitarovic eleita presidente croacia janeiro 2015 vencendo eleicoes pequena margem vantagem obteve 50 7 votos ainda lugar sobretudo simbolico grabarkitarovic visao clara sobre pais croacia presidencia sobretudo cargo simbolico algum poder politica externa seguranca kitarovic sido ministra negocios estrangeiros
1	enquanto	_	CCONJ	CONJ	_	2	case	_	TokenRange=0:8
2	croacia	croacia	NOUN	NOUN	_	22	nsubj	_	TokenRange=9:16
3	kolinda	_	NOUN	NOUN	_	2	appos	_	TokenRange=17:24
4	grabar	grabar	NOUN	NOUN	_	2	appos	_	TokenRange=25:31
5	presidenta	_	NOUN	NOUN	_	2	appos	_	TokenRange=32:42
6	uniu	uniu	NOUN	NOUN	_	5	amod	_	TokenRange=43:47
7	beleza	beleza	NOUN	NOUN	_	6	flat	_	TokenRange=48:54
8	inteligencia	inteligencia	NOUN	NOUN	_	7	amod	_	TokenRange=55:67
9	poder	poder	NOUN	NOUN	_	5	flat	_	TokenRange=68:73
10	kolinda	_	NOUN	NOUN	_	9	appos	_	TokenRange=74:81
11	grabarkitarovic	_	NOUN	NOUN	_	10	amod	_	TokenRange=82:97
12	eleita	eleger	VERB	VERB	_	13	cop	_	TokenRange=98:104
13	presidente	presidente	NOUN	NOUN	_	22	obj	_	TokenRange=105:115
14	croacia	croacia	ADJ	ADJ	_	13	amod	_	TokenRange=116:123
15	janeiro	_	PROPN	PNOUN	_	13	appos	_	TokenRange=124:131
16	2015	_	NUM	NUM	NumType=Card	15	nmod	_	TokenRange=132:136
17	vencendo	vencer	VERB	VERB	_	22	acl	_	TokenRange=137:145
18	eleicoes	eleicoe	NOUN	NOUN	_	17	obj	_	TokenRange=146:154
19	pequena	pequeno	ADJ	ADJ	_	20	amod	_	TokenRange=155:162
20	margem	margem	NOUN	NOUN	_	17	obj	_	TokenRange=163:169
21	vantagem	vantagem	NOUN	NOUN	_	20	appos	_	TokenRange=170:178
22	obteve	obter	VERB	VERB	_	0	root	_	TokenRange=179:185
23	50	_	NUM	NUM	NumType=Card	24	nummod	_	TokenRange=186:188
24	7	_	NUM	NUM	NumType=Card	25	nummod	_	TokenRange=189:190
25	votos	voto	NOUN	NOUN	_	22	obj	_	TokenRange=191:196
26	ainda	ainda	ADV	ADV	_	27	advmod	_	TokenRange=197:202
27	lugar	lugar	NOUN	NOUN	_	22	parataxis	_	TokenRange=203:208
28	sobretudo	sobretudo	ADV	ADV	_	29	advmod	_	TokenRange=209:218
29	simbolico	simbolico	ADJ	ADJ	_	27	amod	_	TokenRange=219:228
30	grabarkitarovic	_	ADJ	ADJ	_	27	appos	_	TokenRange=229:244
31	visao	visao	NOUN	NOUN	_	27	appos	_	TokenRange=245:250
32	clara	claro	ADJ	ADJ	_	31	amod	_	TokenRange=251:256
33	sobre	_	ADP	ADP	_	34	case	_	TokenRange=257:262
34	pais	_	NOUN	NOUN	_	31	nmod	_	TokenRange=263:267
35	croacia	croacia	ADJ	NOUN	_	34	appos	_	TokenRange=268:275
36	presidencia	presidencia	NOUN	NOUN	_	34	appos	_	TokenRange=276:287
37	sobretudo	sobretudo	ADV	ADV	_	38	advmod	_	TokenRange=288:297
38	cargo	cargo	NOUN	NOUN	_	36	appos	_	TokenRange=298:303
39	simbolico	simbolico	ADJ	ADJ	_	38	amod	_	TokenRange=304:313
40	algum	_	DET	DET	_	41	det	_	TokenRange=314:319
41	poder	poder	NOUN	NOUN	_	38	appos	_	TokenRange=320:325
42	politica	_	ADJ	ADJ	_	41	amod	_	TokenRange=326:334
43	externa	externo	ADJ	ADJ	_	41	amod	_	TokenRange=335:342
44	seguranca	_	NOUN	NOUN	_	47	nsubj	_	TokenRange=343:352
45	kitarovic	_	NOUN	NOUN	_	44	appos	_	TokenRange=353:362
46	sido	ser	AUX	AUX	_	47	cop	_	TokenRange=363:367
47	ministra	_	NOUN	NOUN	_	22	parataxis	_	TokenRange=368:376
48	negocios	_	NOUN	NOUN	_	47	flat	_	TokenRange=377:385
49	estrangeiros	estrangeiro	ADJ	ADJ	_	48	amod	_	SpaceAfter=No|TokenRange=386:398

