# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ue exige brasil suspenda exportacao empresas envolvidas fraude operacao carne fraca china coreia sul vao barrar compras segundo agencias governo brasileiro representacoes paises ainda manifestaram comissao europeia disse nesta segundafeira 20 monitorando importacoes carne exigiu brasil suspenda exportacao empresas envolvidas operacao carne fraca temporariamente nome nenhuma empresa citado comissao garantira quaisquer estabelecimentos implicados fraude suspensos exportar uniao europeia disse portavoz comissao europeia enrico brivio questionado sobre tipo carne envolvida investigacao compra suspensa portavoz afirmou acordo relatos iniciais tratase frango maior parte brasil segundo maior produtor carne bovina mundo maior exportador setor vendeu 150 paises ano passado agora preocupa impactos negativos esquema venda carne supostamente adulterada china coreia sul chile anunciaram restricoes temporarias produtos brasileiros governo brasileiro representacoes locais paises procurados g1 ministerio agricultura confirmou mercadorias brasileiras retidas portos china seis 21 unidades investigadas operacao carna fraca exportaram ultimos 60 dias afirmou presidente michel temer domingo 19 dizer paises
1	ue	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:2
2	exige	exigir	VERB	VERB	_	59	ccomp	_	TokenRange=3:8
3	brasil	brasil	NOUN	NOUN	_	2	obj	_	TokenRange=9:15
4	suspenda	suspender	VERB	VERB	_	2	xcomp	_	TokenRange=16:24
5	exportacao	exportacao	NOUN	NOUN	_	4	obj	_	TokenRange=25:35
6	empresas	empresa	NOUN	NOUN	_	4	obj	_	TokenRange=36:44
7	envolvidas	envolvido	ADJ	ADJ	_	6	amod	_	TokenRange=45:55
8	fraude	fraude	NOUN	NOUN	_	4	mark	_	TokenRange=56:62
9	operacao	_	NOUN	NOUN	_	10	amod	_	TokenRange=63:71
10	carne	carne	NOUN	NOUN	_	6	appos	_	TokenRange=72:77
11	fraca	fraco	ADJ	ADJ	_	10	amod	_	TokenRange=78:83
12	china	chino	ADJ	ADJ	_	10	amod	_	TokenRange=84:89
13	coreia	coreia	NOUN	NOUN	_	10	appos	_	TokenRange=90:96
14	sul	sul	ADJ	ADJ	_	13	amod	_	TokenRange=97:100
15	vao	ir	AUX	AUX	_	16	aux	_	TokenRange=101:104
16	barrar	barrar	VERB	VERB	_	2	parataxis	_	TokenRange=105:111
17	compras	compra	NOUN	NOUN	_	16	obj	_	TokenRange=112:119
18	segundo	_	ADP	ADP	_	19	case	_	TokenRange=120:127
19	agencias	agencia	NOUN	NOUN	_	16	nmod	_	TokenRange=128:136
20	governo	governo	NOUN	NOUN	_	19	appos	_	TokenRange=137:144
21	brasileiro	brasileiro	ADJ	ADJ	_	20	amod	_	TokenRange=145:155
22	representacoes	representacoe	NOUN	NOUN	_	25	nsubj	_	TokenRange=156:170
23	paises	paise	NOUN	NOUN	_	20	appos	_	TokenRange=171:177
24	ainda	ainda	ADV	ADV	_	25	advmod	_	TokenRange=178:183
25	manifestaram	manifestar	VERB	VERB	_	19	acl:relcl	_	TokenRange=184:196
26	comissao	comissao	NOUN	NOUN	_	25	nsubj	_	TokenRange=197:205
27	europeia	europeu	ADJ	ADJ	_	26	amod	_	TokenRange=206:214
28	disse	dizer	VERB	VERB	_	25	parataxis	_	TokenRange=215:220
29	nesta	_	ADP	ADP	_	30	case	_	TokenRange=221:226
30	segundafeira	_	NOUN	NOUN	_	28	nmod	_	TokenRange=227:239
31	20	_	NUM	NUM	NumType=Card	32	nsubj	_	TokenRange=240:242
32	monitorando	monitorar	VERB	VERB	_	28	acl	_	TokenRange=243:254
33	importacoes	importacoe	NOUN	NOUN	_	32	obj	_	TokenRange=255:266
34	carne	carne	NOUN	NOUN	_	33	amod	_	TokenRange=267:272
35	exigiu	exigir	VERB	VERB	_	28	ccomp	_	TokenRange=273:279
36	brasil	brasil	NOUN	NOUN	_	35	nsubj	_	TokenRange=280:286
37	suspenda	suspendo	ADJ	ADJ	_	35	xcomp	_	TokenRange=287:295
38	exportacao	exportacao	NOUN	NOUN	_	111	appos	_	TokenRange=296:306
39	empresas	empresa	NOUN	NOUN	_	35	nsubj	_	TokenRange=307:315
40	envolvidas	envolvido	ADJ	ADJ	_	39	amod	_	TokenRange=316:326
41	operacao	operacao	ADJ	NOUN	_	39	appos	_	TokenRange=327:335
42	carne	carne	NOUN	NOUN	_	39	appos	_	TokenRange=336:341
43	fraca	fraco	ADJ	ADJ	_	42	amod	_	TokenRange=342:347
44	temporariamente	temporariamente	ADV	ADV	_	45	advmod	_	TokenRange=348:363
45	nome	nome	NOUN	NOUN	_	39	appos	_	TokenRange=364:368
46	nenhuma	_	DET	DET	_	47	det	_	TokenRange=369:376
47	empresa	empresa	NOUN	NOUN	_	50	nsubj	_	TokenRange=377:384
48	citado	citar	VERB	VERB	_	47	acl	_	TokenRange=385:391
49	comissao	comissao	NOUN	NOUN	_	50	nsubj	_	TokenRange=392:400
50	garantira	garantir	VERB	VERB	_	2	parataxis	_	TokenRange=401:410
51	quaisquer	_	DET	DET	_	52	det	_	TokenRange=411:420
52	estabelecimentos	estabelecimento	NOUN	NOUN	_	50	obj	_	TokenRange=421:437
53	implicados	implicar	VERB	VERB	_	52	acl	_	TokenRange=438:448
54	fraude	fraude	NOUN	NOUN	_	53	nsubj	_	TokenRange=449:455
55	suspensos	suspenso	ADJ	ADJ	_	54	amod	_	TokenRange=456:465
56	exportar	exportar	VERB	VERB	_	52	acl:relcl	_	TokenRange=466:474
57	uniao	uniao	NOUN	NOUN	_	56	obj	_	TokenRange=475:480
58	europeia	europeu	ADJ	ADJ	_	57	amod	_	TokenRange=481:489
59	disse	dizer	VERB	VERB	_	0	root	_	TokenRange=490:495
60	portavoz	portavoz	NOUN	NOUN	_	124	obj	_	TokenRange=496:504
61	comissao	comissao	NOUN	NOUN	_	60	appos	_	TokenRange=505:513
62	europeia	europeu	ADJ	ADJ	_	61	amod	_	TokenRange=514:522
63	enrico	enrico	NOUN	NOUN	_	60	appos	_	TokenRange=523:529
64	brivio	brivio	NOUN	NOUN	_	63	flat	_	TokenRange=530:536
65	questionado	questionar	VERB	VERB	_	132	acl	_	TokenRange=537:548
66	sobre	_	ADP	ADP	_	67	case	_	TokenRange=549:554
67	tipo	tipo	NOUN	NOUN	_	65	nmod	_	TokenRange=555:559
68	carne	carne	NOUN	NOUN	_	67	flat	_	TokenRange=560:565
69	envolvida	envolvido	ADJ	ADJ	_	67	amod	_	TokenRange=566:575
70	investigacao	investigacao	VERB	VERB	_	67	acl	_	TokenRange=576:588
71	compra	compra	NOUN	NOUN	_	70	obj	_	TokenRange=589:595
72	suspensa	suspenso	ADJ	ADJ	_	71	amod	_	TokenRange=596:604
73	portavoz	portavoz	NOUN	NOUN	_	74	nsubj	_	TokenRange=605:613
74	afirmou	afirmar	VERB	VERB	_	2	parataxis	_	TokenRange=614:621
75	acordo	acordo	NOUN	NOUN	_	74	obj	_	TokenRange=622:628
76	relatos	relato	NOUN	NOUN	_	75	appos	_	TokenRange=629:636
77	iniciais	inicial	ADJ	ADJ	_	76	amod	_	TokenRange=637:645
78	tratase	tratase	VERB	VERB	_	75	appos	_	TokenRange=646:653
79	frango	frango	NOUN	NOUN	_	78	obj	_	TokenRange=654:660
80	maior	maior	ADJ	ADJ	_	81	amod	_	TokenRange=661:666
81	parte	parte	NOUN	NOUN	_	78	obj	_	TokenRange=667:672
82	brasil	brasil	ADJ	ADJ	_	85	amod	_	TokenRange=673:679
83	segundo	segundo	ADJ	ADJ	_	85	amod	_	TokenRange=680:687
84	maior	maior	ADJ	ADJ	_	85	amod	_	TokenRange=688:693
85	produtor	produtor	NOUN	NOUN	_	81	appos	_	TokenRange=694:702
86	carne	carne	NOUN	NOUN	_	85	appos	_	TokenRange=703:708
87	bovina	bovino	ADJ	ADJ	_	85	amod	_	TokenRange=709:715
88	mundo	mundo	ADJ	ADJ	_	90	amod	_	TokenRange=716:721
89	maior	maior	ADJ	ADJ	_	90	amod	_	TokenRange=722:727
90	exportador	exportador	NOUN	NOUN	_	147	nsubj	_	TokenRange=728:738
91	setor	setor	NOUN	NOUN	_	90	flat	_	TokenRange=739:744
92	vendeu	vender	VERB	VERB	_	85	acl:relcl	_	TokenRange=745:751
93	150	_	NUM	NUM	NumType=Card	94	nummod	_	TokenRange=752:755
94	paises	paise	NOUN	NOUN	_	92	obj	_	TokenRange=756:762
95	ano	ano	NOUN	NOUN	_	92	nmod	_	TokenRange=763:766
96	passado	passado	ADJ	ADJ	_	95	amod	_	TokenRange=767:774
97	agora	agora	ADV	ADV	_	98	advmod	_	TokenRange=775:780
98	preocupa	preocupar	VERB	VERB	_	2	parataxis	_	TokenRange=781:789
99	impactos	impacto	NOUN	NOUN	_	98	obj	_	TokenRange=790:798
100	negativos	negativo	ADJ	ADJ	_	99	amod	_	TokenRange=799:808
101	esquema	esquema	NOUN	NOUN	_	99	appos	_	TokenRange=809:816
102	venda	venda	NOUN	NOUN	_	101	appos	_	TokenRange=817:822
103	carne	carne	NOUN	NOUN	_	102	flat	_	TokenRange=823:828
104	supostamente	supostamente	ADV	ADV	_	105	advmod	_	TokenRange=829:841
105	adulterada	adulterar	ADJ	ADJ	_	102	amod	_	TokenRange=842:852
106	china	chino	NOUN	NOUN	_	102	appos	_	TokenRange=853:858
107	coreia	coreia	NOUN	NOUN	_	102	appos	_	TokenRange=859:865
108	sul	sul	ADJ	ADJ	_	107	amod	_	TokenRange=866:869
109	chile	chile	NOUN	NOUN	_	39	appos	_	TokenRange=870:875
110	anunciaram	anunciar	VERB	VERB	_	2	parataxis	_	TokenRange=876:886
111	restricoes	restricoe	NOUN	NOUN	_	98	obj	_	TokenRange=887:897
112	temporarias	temporaria	ADJ	ADJ	_	111	amod	_	TokenRange=898:909
113	produtos	produto	NOUN	NOUN	_	111	appos	_	TokenRange=910:918
114	brasileiros	brasileiro	ADJ	ADJ	_	113	amod	_	TokenRange=919:930
115	governo	governo	NOUN	NOUN	_	111	appos	_	TokenRange=931:938
116	brasileiro	brasileiro	ADJ	ADJ	_	113	amod	_	TokenRange=939:949
117	representacoes	representacoe	NOUN	NOUN	_	113	appos	_	TokenRange=950:964
118	locais	local	ADJ	ADJ	_	117	amod	_	TokenRange=965:971
119	paises	paise	NOUN	NOUN	_	115	appos	_	TokenRange=972:978
120	procurados	procurar	VERB	VERB	_	119	acl	_	TokenRange=979:989
121	g1	_	NOUN	NOUN	_	124	nsubj	_	TokenRange=990:992
122	ministerio	ministerio	NOUN	NOUN	_	124	nsubj	_	TokenRange=993:1003
123	agricultura	agricultura	NOUN	NOUN	_	122	flat	_	TokenRange=1004:1015
124	confirmou	confirmar	VERB	VERB	_	2	parataxis	_	TokenRange=1016:1025
125	mercadorias	mercadoria	NOUN	NOUN	_	124	obj	_	TokenRange=1026:1037
126	brasileiras	brasileiro	ADJ	ADJ	_	125	amod	_	TokenRange=1038:1049
127	retidas	reter	VERB	VERB	_	125	acl	_	TokenRange=1050:1057
128	portos	porto	NOUN	NOUN	_	127	nsubj	_	TokenRange=1058:1064
129	china	chino	ADJ	ADJ	_	128	amod	_	TokenRange=1065:1070
