# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tres ministros temer abalaramse brasilia rio contar presidente tjrj desembargador milton fernandes souza operacoes policiais intervencao federal seguranca rio respeitarao constituicao direitos fundamentais bidu fato caso caso obvio principio juridico assim bola redonda dado quadrado mae mae vaca vaca tais medidas violam estado direito fato feito serve lembrar alem burra expresidente dilma rousseff sob cuja egide ocorreu fato lembrado cinismo atroz pois desplante reclamar desse arreganho arbitrio rede social perdeu oportunosa ensancha calar comentario jornal eldorado
1	tres	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:4
2	ministros	ministro	NOUN	NOUN	_	3	nsubj	_	TokenRange=5:14
3	temer	temer	VERB	VERB	_	0	root	_	TokenRange=15:20
4	abalaramse	_	VERB	VERB	_	3	xcomp	_	TokenRange=21:31
5	brasilia	brasilia	NOUN	NOUN	_	4	obj	_	TokenRange=32:40
6	rio	_	NOUN	NOUN	_	7	obj	_	TokenRange=41:44
7	contar	contar	VERB	VERB	_	5	acl:inf	_	TokenRange=45:51
8	presidente	presidente	NOUN	NOUN	_	7	obj	_	TokenRange=52:62
9	tjrj	_	NOUN	NOUN	_	8	appos	_	TokenRange=63:67
10	desembargador	desembargador	NOUN	NOUN	_	8	appos	_	TokenRange=68:81
11	milton	milton	NOUN	NOUN	_	8	appos	_	TokenRange=82:88
12	fernandes	fernande	NOUN	NOUN	_	11	flat	_	TokenRange=89:98
13	souza	_	ADJ	NOUN	_	14	flat	_	TokenRange=99:104
14	operacoes	operacoe	NOUN	NOUN	_	7	obj	_	TokenRange=105:114
15	policiais	policial	ADJ	ADJ	_	14	amod	_	TokenRange=115:124
16	intervencao	intervencao	NOUN	NOUN	_	14	appos	_	TokenRange=125:136
17	federal	federal	ADJ	ADJ	_	16	amod	_	TokenRange=137:144
18	seguranca	_	NOUN	NOUN	_	16	appos	_	TokenRange=145:154
19	rio	_	NOUN	NOUN	_	16	appos	_	TokenRange=155:158
20	respeitarao	respeitar	VERB	VERB	_	14	acl:relcl	_	TokenRange=159:170
21	constituicao	constituicao	NOUN	NOUN	_	20	obj	_	TokenRange=171:183
22	direitos	direito	NOUN	NOUN	_	20	obj	_	TokenRange=184:192
23	fundamentais	fundamental	ADJ	ADJ	_	22	amod	_	TokenRange=193:205
24	bidu	_	AUX	AUX	_	25	cop	_	TokenRange=206:210
25	fato	fato	NOUN	NOUN	_	22	appos	_	TokenRange=211:215
26	caso	caso	NOUN	NOUN	_	25	flat	_	TokenRange=216:220
27	caso	caso	NOUN	NOUN	_	25	appos	_	TokenRange=221:225
28	obvio	obvio	ADJ	ADJ	_	29	amod	_	TokenRange=226:231
29	principio	principio	NOUN	NOUN	_	25	appos	_	TokenRange=232:241
30	juridico	juridico	ADJ	ADJ	_	29	amod	_	TokenRange=242:250
31	assim	assim	ADV	ADV	_	32	advmod	_	TokenRange=251:256
32	bola	bola	NOUN	NOUN	_	29	appos	_	TokenRange=257:261
33	redonda	redondo	ADJ	ADJ	_	32	amod	_	TokenRange=262:269
34	dado	_	NOUN	NOUN	_	35	case	_	TokenRange=270:274
35	quadrado	quadrado	NOUN	NOUN	_	32	nmod	_	TokenRange=275:283
36	mae	mae	NOUN	NOUN	_	35	appos	_	TokenRange=284:287
37	mae	_	NOUN	NOUN	_	36	flat	_	TokenRange=288:291
38	vaca	_	NOUN	NOUN	_	36	flat	_	TokenRange=292:296
39	vaca	_	NOUN	NOUN	_	36	flat	_	TokenRange=297:301
40	tais	_	DET	DET	_	41	det	_	TokenRange=302:306
41	medidas	medida	NOUN	NOUN	_	42	nsubj	_	TokenRange=307:314
42	violam	violar	VERB	VERB	_	20	parataxis	_	TokenRange=315:321
43	estado	estado	NOUN	NOUN	_	42	obj	_	TokenRange=322:328
44	direito	direito	ADJ	ADJ	_	43	amod	_	TokenRange=329:336
45	fato	fato	NOUN	NOUN	_	42	obj	_	TokenRange=337:341
46	feito	_	NOUN	NOUN	_	45	appos	_	TokenRange=342:347
47	serve	servir	VERB	VERB	_	42	parataxis	_	TokenRange=348:353
48	lembrar	lembrar	VERB	VERB	_	42	ccomp	_	TokenRange=354:361
49	alem	alem	ADV	ADV	_	48	advmod	_	TokenRange=362:366
50	burra	burro	ADJ	NOUN	_	51	amod	_	TokenRange=367:372
51	expresidente	expresidente	NOUN	NOUN	_	48	obj	_	TokenRange=373:385
52	dilma	dilma	ADJ	ADJ	_	51	amod	_	TokenRange=386:391
53	rousseff	rousseff	NOUN	NOUN	_	51	flat	_	TokenRange=392:400
54	sob	_	ADP	ADP	_	56	case	_	TokenRange=401:404
55	cuja	_	DET	DET	_	56	det	_	TokenRange=405:409
56	egide	egide	NOUN	NOUN	_	57	nmod	_	TokenRange=410:415
57	ocorreu	ocorrer	VERB	VERB	_	51	acl:relcl	_	TokenRange=416:423
58	fato	fato	NOUN	NOUN	_	57	nsubj	_	TokenRange=424:428
59	lembrado	lembrado	ADJ	ADJ	_	58	amod	_	TokenRange=429:437
60	cinismo	cinismo	NOUN	NOUN	_	58	appos	_	TokenRange=438:445
61	atroz	_	ADJ	ADJ	_	60	amod	_	TokenRange=446:451
62	pois	_	CCONJ	CONJ	_	70	mark	_	TokenRange=452:456
63	desplante	desplante	NOUN	NOUN	_	70	nsubj	_	TokenRange=457:466
64	reclamar	reclamar	VERB	VERB	_	70	advcl	_	TokenRange=467:475
65	desse	_	ADP	ADP	_	66	case	_	TokenRange=476:481
66	arreganho	arreganho	NOUN	NOUN	_	64	nmod	_	TokenRange=482:491
67	arbitrio	arbitrio	ADJ	ADJ	_	66	amod	_	TokenRange=492:500
68	rede	rede	NOUN	NOUN	_	64	nsubj	_	TokenRange=501:505
69	social	social	ADJ	ADJ	_	68	amod	_	TokenRange=506:512
70	perdeu	perder	VERB	VERB	_	48	conj	_	TokenRange=513:519
71	oportunosa	oportunoso	ADJ	ADJ	_	72	amod	_	TokenRange=520:530
72	ensancha	ensancha	NOUN	NOUN	_	70	obj	_	TokenRange=531:539
73	calar	calar	VERB	VERB	_	70	ccomp	_	TokenRange=540:545
74	comentario	comentario	NOUN	NOUN	_	73	obj	_	TokenRange=546:556
75	jornal	jornal	NOUN	NOUN	_	73	obj	_	TokenRange=557:563
76	eldorado	eldorado	ADJ	ADJ	_	75	amod	_	SpaceAfter=No|TokenRange=564:572

