# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = g1 resume 6 shows primeiro dia veja subiu palco cada apresentacoes arena fonte nova sol ainda forte dado pontape inicial festlval verao salvador 2017 comecou neste sabado 16 vai domingo 17 arena fonte nova apresentacoes simone simaria leo santana ivete sangalo luan santana rappa vintage culture primeiro dia fv2017 levantou
1	g1	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:2
2	resume	resumir	VERB	VERB	_	0	root	_	TokenRange=3:9
3	6	_	NUM	NUM	NumType=Card	4	nummod	_	TokenRange=10:11
4	shows	show	NOUN	NOUN	_	2	obj	_	TokenRange=12:17
5	primeiro	primeiro	ADJ	ADJ	_	6	amod	_	TokenRange=18:26
6	dia	dia	NOUN	NOUN	_	2	nmod	_	TokenRange=27:30
7	veja	veja	NOUN	NOUN	_	8	nsubj	_	TokenRange=31:35
8	subiu	subir	VERB	VERB	_	2	parataxis	_	TokenRange=36:41
9	palco	palco	NOUN	NOUN	_	8	obj	_	TokenRange=42:47
10	cada	_	DET	DET	_	11	det	_	TokenRange=48:52
11	apresentacoes	apresentacoe	NOUN	NOUN	_	8	obj	_	TokenRange=53:66
12	arena	_	ADJ	NOUN	_	13	amod	_	TokenRange=67:72
13	fonte	fonte	NOUN	NOUN	_	8	nmod	_	TokenRange=73:78
14	nova	novo	ADJ	ADJ	_	13	amod	_	TokenRange=79:83
15	sol	sol	NOUN	NOUN	_	8	appos	_	TokenRange=84:87
16	ainda	ainda	ADV	ADV	_	17	advmod	_	TokenRange=88:93
17	forte	forte	ADJ	ADJ	_	15	amod	_	TokenRange=94:99
18	dado	_	VERB	VERB	_	19	case	_	TokenRange=100:104
19	pontape	pontape	NOUN	NOUN	_	15	appos	_	TokenRange=105:112
20	inicial	inicial	ADJ	ADJ	_	19	amod	_	TokenRange=113:120
21	festlval	festlval	ADJ	ADJ	_	19	amod	_	TokenRange=121:129
22	verao	verao	NOUN	NOUN	_	19	appos	_	TokenRange=130:135
23	salvador	salvador	NOUN	NOUN	_	19	appos	_	TokenRange=136:144
24	2017	_	NUM	NUM	NumType=Card	23	nmod	_	TokenRange=145:149
25	comecou	comecar	VERB	VERB	_	2	parataxis	_	TokenRange=150:157
26	neste	_	ADP	ADP	_	27	case	_	TokenRange=158:163
27	sabado	_	PROPN	PNOUN	_	25	nmod	_	TokenRange=164:170
28	16	_	NUM	NUM	NumType=Card	27	nmod	_	TokenRange=171:173
29	vai	ir	AUX	AUX	_	25	nmod	_	TokenRange=174:177
30	domingo	_	PROPN	PNOUN	_	27	nmod	_	TokenRange=178:185
31	17	_	NUM	NUM	NumType=Card	30	appos	_	TokenRange=186:188
32	arena	arena	NOUN	NOUN	_	30	appos	_	TokenRange=189:194
33	fonte	fonte	NOUN	NOUN	_	30	appos	_	TokenRange=195:200
34	nova	novo	ADJ	ADJ	_	33	amod	_	TokenRange=201:205
35	apresentacoes	apresentacoe	NOUN	NOUN	_	50	nsubj	_	TokenRange=206:219
36	simone	simone	NOUN	NOUN	_	35	appos	_	TokenRange=220:226
37	simaria	simaria	NOUN	NOUN	_	36	flat	_	TokenRange=227:234
38	leo	_	NOUN	NOUN	_	36	appos	_	TokenRange=235:238
39	santana	santana	NOUN	NOUN	_	36	flat	_	TokenRange=239:246
40	ivete	_	NOUN	NOUN	_	36	appos	_	TokenRange=247:252
41	sangalo	sangalo	NOUN	NOUN	_	42	flat	_	TokenRange=253:260
42	luan	_	NOUN	NOUN	_	40	appos	_	TokenRange=261:265
43	santana	_	NOUN	NOUN	_	42	flat	_	TokenRange=266:273
44	rappa	_	NOUN	NOUN	_	50	obj	_	TokenRange=274:279
45	vintage	vintage	ADJ	ADJ	_	48	amod	_	TokenRange=280:287
46	culture	_	NOUN	NOUN	_	44	flat	_	TokenRange=288:295
47	primeiro	primeiro	ADJ	ADJ	_	48	amod	_	TokenRange=296:304
48	dia	dia	NOUN	NOUN	_	50	obj	_	TokenRange=305:308
49	fv2017	_	NUM	NUM	NumType=Card	48	appos	_	TokenRange=309:315
50	levantou	levantar	VERB	VERB	_	2	parataxis	_	SpaceAfter=No|TokenRange=316:324

