# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = oito oportunidades empreender segmento eficiencia energetica identificadas estudo feito conjunto aes tiete eletropaulo aceleradora negocios impacto social artemisia acesso energia geracao distribuicao descentralizada energia inteligencia dados eficiencia energetica eficiencia energetica meio adequacao imoveis equipamentos eficiencia energetica gestao equipamentos publicos energia producao campo meios financiamento acesso servicos energia convencional capacitacao oportunidades profissionais oportunidades detectadas gerente projetos artemisia paula sato afirma parceiros estudo esperam resultado obtido sirva base quer investir segmento faca
1	oito	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:4
2	oportunidades	oportunidade	NOUN	NOUN	_	59	nsubj	_	TokenRange=5:18
3	empreender	empreender	VERB	VERB	_	2	acl	_	TokenRange=19:29
4	segmento	segmento	NOUN	NOUN	_	3	obj	_	TokenRange=30:38
5	eficiencia	eficiencia	NOUN	NOUN	_	4	appos	_	TokenRange=39:49
6	energetica	energetico	ADJ	ADJ	_	5	amod	_	TokenRange=50:60
7	identificadas	identificar	VERB	VERB	_	2	acl	_	TokenRange=61:74
8	estudo	estudo	NOUN	NOUN	_	3	obj	_	TokenRange=75:81
9	feito	_	VERB	VERB	_	8	acl	_	TokenRange=82:87
10	conjunto	conjunto	NOUN	NOUN	_	9	obj	_	TokenRange=88:96
11	aes	_	ADP	ADP	_	12	case	_	TokenRange=97:100
12	tiete	tiete	NOUN	NOUN	_	8	nmod	_	TokenRange=101:106
13	eletropaulo	_	NOUN	NOUN	_	12	appos	_	TokenRange=107:118
14	aceleradora	acelerador	ADJ	ADJ	_	13	amod	_	TokenRange=119:130
15	negocios	negocio	NOUN	NOUN	_	16	appos	_	TokenRange=131:139
16	impacto	impacto	NOUN	NOUN	_	2	appos	_	TokenRange=140:147
17	social	social	ADJ	ADJ	_	16	amod	_	TokenRange=148:154
18	artemisia	_	NOUN	NOUN	_	19	appos	_	TokenRange=155:164
19	acesso	acesso	NOUN	NOUN	_	16	appos	_	TokenRange=165:171
20	energia	energia	NOUN	NOUN	_	19	flat	_	TokenRange=172:179
21	geracao	geracao	ADJ	ADJ	_	19	amod	_	TokenRange=180:187
22	distribuicao	distribuicao	NOUN	NOUN	_	19	amod	_	TokenRange=188:200
23	descentralizada	descentralizado	ADJ	ADJ	_	24	amod	_	TokenRange=201:216
24	energia	energia	NOUN	NOUN	_	19	appos	_	TokenRange=217:224
25	inteligencia	inteligencia	NOUN	NOUN	_	24	amod	_	TokenRange=225:237
26	dados	dado	NOUN	NOUN	_	24	amod	_	TokenRange=238:243
