# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ouca olho mundo online aqui vivo radio estadao sabado 19h domingo 20h 929 fm participacao haisem abaki andrei netto jamil chade lucia guimaraes roxane re ferias ira acordo historico encerra tres decadas isolamento ira dominou semana presidente barack obama comecou campanha intensa defesa acordo enfrenta grande resistencia congresso controlado partido republicano reta final negociacoes revelou presidente ousado fortalecer casa vitorias politica domestica jamil chade destaca papel protagonista russia negociacoes especialmente questao embargo compra armas convencionais ira andrei neto conta franca comportamento relativamente apatico negociacoes governo frances desconfianca historica governo xiita teera tende alinhar paises arabes sunitas primeira vez quatro anos guerra siria acordo ira reaproximar potencias envolvidas negociacoes viena pode abrir porta solucao conflito argumenta andrei netto destacando apoio teera governo bashar alassad ira integrado comunidade internacional pode dedicar melhor conflito alimenta regularmente financiamento armas duvida siria processo
1	ouca	_	DET	DET	_	2	det	_	TokenRange=0:4
2	olho	olho	NOUN	NOUN	_	65	parataxis	_	TokenRange=5:9
3	mundo	mundo	NOUN	NOUN	_	2	appos	_	TokenRange=10:15
4	online	online	ADJ	ADJ	_	3	amod	_	TokenRange=16:22
5	aqui	aqui	ADV	ADV	_	6	advmod	_	TokenRange=23:27
6	vivo	vivo	ADJ	ADJ	_	3	amod	_	TokenRange=28:32
7	radio	radio	NOUN	NOUN	_	2	appos	_	TokenRange=33:38
8	estadao	estadao	NOUN	NOUN	_	7	flat	_	TokenRange=39:46
9	sabado	_	NOUN	NOUN	_	7	appos	_	TokenRange=47:53
10	19h	_	NUM	NUM	NumType=Card	11	appos	_	TokenRange=54:57
11	domingo	_	PROPN	PNOUN	_	7	appos	_	TokenRange=58:65
12	20h	_	NUM	NUM	NumType=Card	11	appos	_	TokenRange=66:69
13	929	_	NUM	NUM	NumType=Card	11	appos	_	TokenRange=70:73
14	fm	_	NOUN	NOUN	_	11	appos	_	TokenRange=74:76
15	participacao	participacao	NOUN	NOUN	_	2	appos	_	TokenRange=77:89
16	haisem	haisem	NOUN	NOUN	_	15	appos	_	TokenRange=90:96
17	abaki	_	NOUN	NOUN	_	16	flat	_	TokenRange=97:102
18	andrei	_	NOUN	NOUN	_	16	appos	_	TokenRange=103:109
19	netto	_	NOUN	NOUN	_	18	flat	_	TokenRange=110:115
20	jamil	jamil	NOUN	NOUN	_	18	appos	_	TokenRange=116:121
21	chade	chade	NOUN	NOUN	_	18	flat	_	TokenRange=122:127
22	lucia	_	NOUN	NOUN	_	18	appos	_	TokenRange=128:133
23	guimaraes	guimarae	NOUN	NOUN	_	18	flat	_	TokenRange=134:143
24	roxane	roxane	NOUN	NOUN	_	18	appos	_	TokenRange=144:150
25	re	_	ADP	NOUN	_	26	case	_	TokenRange=151:153
26	ferias	feria	NOUN	NOUN	_	24	appos	_	TokenRange=154:160
27	ira	_	ADJ	ADJ	_	28	amod	_	TokenRange=161:164
28	acordo	acordo	NOUN	NOUN	_	24	appos	_	TokenRange=165:171
29	historico	historico	ADJ	ADJ	_	28	amod	_	TokenRange=172:181
30	encerra	encerrar	VERB	VERB	_	35	parataxis	_	TokenRange=182:189
31	tres	_	NUM	NUM	NumType=Card	32	nummod	_	TokenRange=190:194
32	decadas	decada	NOUN	NOUN	_	30	nmod	_	TokenRange=195:202
33	isolamento	isolamento	NOUN	NOUN	_	30	nsubj	_	TokenRange=203:213
34	ira	ira	ADJ	ADJ	_	33	amod	_	TokenRange=214:217
35	dominou	dominar	VERB	VERB	_	2	parataxis	_	TokenRange=218:225
36	semana	semana	NOUN	NOUN	_	35	obj	_	TokenRange=226:232
37	presidente	presidente	NOUN	NOUN	_	35	nsubj	_	TokenRange=233:243
38	barack	barack	NOUN	NOUN	_	37	appos	_	TokenRange=244:250
39	obama	_	NOUN	NOUN	_	38	flat	_	TokenRange=251:256
40	comecou	comecar	VERB	VERB	_	35	parataxis	_	TokenRange=257:264
41	campanha	campanha	NOUN	NOUN	_	40	obj	_	TokenRange=265:273
42	intensa	intenso	ADJ	ADJ	_	41	amod	_	TokenRange=274:281
43	defesa	_	NOUN	NOUN	_	41	appos	_	TokenRange=282:288
44	acordo	acordo	NOUN	NOUN	_	41	appos	_	TokenRange=289:295
45	enfrenta	enfrentar	VERB	VERB	_	40	parataxis	_	TokenRange=296:304
46	grande	grande	ADJ	ADJ	_	47	amod	_	TokenRange=305:311
47	resistencia	resistencia	NOUN	NOUN	_	45	obj	_	TokenRange=312:323
48	congresso	congresso	NOUN	NOUN	_	45	nmod	_	TokenRange=324:333
49	controlado	controlado	ADJ	ADJ	_	50	amod	_	TokenRange=334:344
50	partido	partido	NOUN	NOUN	_	45	nsubj	_	TokenRange=345:352
51	republicano	republicano	ADJ	ADJ	_	50	amod	_	TokenRange=353:364
52	reta	reta	NOUN	NOUN	_	111	nsubj	_	TokenRange=365:369
53	final	final	ADJ	ADJ	_	101	amod	_	TokenRange=370:375
54	negociacoes	negociacoe	NOUN	NOUN	_	101	appos	_	TokenRange=376:387
55	revelou	revelar	VERB	VERB	_	2	parataxis	_	TokenRange=388:395
56	presidente	presidente	NOUN	NOUN	_	55	obj	_	TokenRange=396:406
57	ousado	ousado	ADJ	ADJ	_	56	amod	_	TokenRange=407:413
58	fortalecer	fortalecer	VERB	VERB	_	56	acl:inf	_	TokenRange=414:424
59	casa	casa	NOUN	NOUN	_	58	obj	_	TokenRange=425:429
60	vitorias	vitoria	NOUN	NOUN	_	59	appos	_	TokenRange=430:438
61	politica	_	ADJ	ADJ	_	60	amod	_	TokenRange=439:447
62	domestica	domestico	ADJ	ADJ	_	60	amod	_	TokenRange=448:457
63	jamil	jamil	NOUN	NOUN	_	111	nsubj	_	TokenRange=458:463
64	chade	chade	NOUN	NOUN	_	63	flat	_	TokenRange=464:469
65	destaca	destacar	VERB	VERB	_	0	root	_	TokenRange=470:477
66	papel	papel	NOUN	NOUN	_	65	obj	_	TokenRange=478:483
67	protagonista	protagonista	ADJ	ADJ	_	66	amod	_	TokenRange=484:496
68	russia	russia	NOUN	NOUN	_	66	appos	_	TokenRange=497:503
69	negociacoes	negociacoe	NOUN	NOUN	_	66	appos	_	TokenRange=504:515
70	especialmente	especialmente	ADV	ADV	_	71	advmod	_	TokenRange=516:529
71	questao	questao	NOUN	NOUN	_	66	appos	_	TokenRange=530:537
72	embargo	embargo	NOUN	NOUN	_	71	flat	_	TokenRange=538:545
73	compra	comprar	VERB	VERB	_	66	acl:relcl	_	TokenRange=546:552
74	armas	arma	NOUN	NOUN	_	73	obj	_	TokenRange=553:558
75	convencionais	convencional	ADJ	ADJ	_	74	amod	_	TokenRange=559:572
76	ira	ira	NOUN	NOUN	_	74	appos	_	TokenRange=573:576
77	andrei	andrei	NOUN	NOUN	_	74	appos	_	TokenRange=577:583
78	neto	neto	NOUN	NOUN	_	77	flat	_	TokenRange=584:588
79	conta	conta	NOUN	NOUN	_	77	appos	_	TokenRange=589:594
80	franca	franco	ADJ	ADJ	_	79	amod	_	TokenRange=595:601
81	comportamento	comportamento	NOUN	NOUN	_	132	nsubj	_	TokenRange=602:615
82	relativamente	relativamente	ADV	ADV	_	83	advmod	_	TokenRange=616:629
83	apatico	apatico	ADJ	ADJ	_	81	amod	_	TokenRange=630:637
84	negociacoes	negociacoe	NOUN	NOUN	_	134	appos	_	TokenRange=638:649
85	governo	governo	NOUN	NOUN	_	134	appos	_	TokenRange=650:657
86	frances	france	ADJ	ADJ	_	85	amod	_	TokenRange=658:665
87	desconfianca	_	NOUN	NOUN	_	85	amod	_	TokenRange=666:678
88	historica	historico	ADJ	ADJ	_	89	amod	_	TokenRange=679:688
89	governo	governo	NOUN	NOUN	_	111	nsubj	_	TokenRange=689:696
90	xiita	xiita	ADJ	ADJ	_	89	amod	_	TokenRange=697:702
91	teera	teera	NOUN	NOUN	_	89	appos	_	TokenRange=703:708
92	tende	_	VERB	VERB	_	84	acl:relcl	_	TokenRange=709:714
93	alinhar	alinhar	VERB	VERB	_	92	xcomp	_	TokenRange=715:722
94	paises	paise	NOUN	NOUN	_	93	obj	_	TokenRange=723:729
95	arabes	arabe	ADJ	ADJ	_	94	amod	_	TokenRange=730:736
96	sunitas	_	ADJ	ADJ	_	94	amod	_	TokenRange=737:744
97	primeira	primeiro	ADJ	ADJ	_	98	amod	_	TokenRange=745:753
98	vez	vez	NOUN	NOUN	_	45	nmod	_	TokenRange=754:757
99	quatro	_	NUM	NUM	NumType=Card	100	nummod	_	TokenRange=758:764
100	anos	ano	NOUN	NOUN	_	45	nmod	_	TokenRange=765:769
101	guerra	guerra	NOUN	NOUN	_	40	nsubj	_	TokenRange=770:776
102	siria	sirio	ADJ	ADJ	_	101	amod	_	TokenRange=777:782
103	acordo	acordo	NOUN	NOUN	_	111	nsubj	_	TokenRange=783:789
104	ira	_	ADJ	ADJ	_	103	amod	_	TokenRange=790:793
105	reaproximar	reaproximar	VERB	VERB	_	103	acl:inf	_	TokenRange=794:805
106	potencias	potencia	NOUN	NOUN	_	105	obj	_	TokenRange=806:815
107	envolvidas	envolvido	ADJ	ADJ	_	106	amod	_	TokenRange=816:826
108	negociacoes	negociacoe	NOUN	NOUN	_	105	obj	_	TokenRange=827:838
109	viena	vieno	ADJ	ADJ	_	108	amod	_	TokenRange=839:844
110	pode	_	AUX	AUX	_	111	aux	_	TokenRange=845:849
111	abrir	abrir	VERB	VERB	_	101	acl:relcl	_	TokenRange=850:855
112	porta	porta	NOUN	NOUN	_	111	obj	_	TokenRange=856:861
113	solucao	solucao	ADJ	ADJ	_	112	amod	_	TokenRange=862:869
114	conflito	conflito	NOUN	NOUN	_	112	appos	_	TokenRange=870:878
115	argumenta	argumentar	VERB	VERB	_	111	parataxis	_	TokenRange=879:888
116	andrei	andrei	NOUN	NOUN	_	65	nsubj	_	TokenRange=889:895
117	netto	_	PROPN	PNOUN	_	116	flat	_	TokenRange=896:901
118	destacando	destacar	VERB	VERB	_	101	acl	_	TokenRange=902:912
119	apoio	apoio	NOUN	NOUN	_	118	obj	_	TokenRange=913:918
120	teera	teera	ADJ	ADJ	_	119	amod	_	TokenRange=919:924
121	governo	governo	NOUN	NOUN	_	119	appos	_	TokenRange=925:932
122	bashar	bashar	NOUN	NOUN	_	121	appos	_	TokenRange=933:939
123	alassad	_	ADJ	ADJ	_	122	amod	_	TokenRange=940:947
124	ira	ira	NOUN	NOUN	_	129	nsubj	_	TokenRange=948:951
125	integrado	integrar	VERB	ADJ	_	126	acl	_	TokenRange=952:961
126	comunidade	comunidade	NOUN	NOUN	_	129	nsubj	_	TokenRange=962:972
127	internacional	internacional	ADJ	ADJ	_	126	amod	_	TokenRange=973:986
128	pode	_	AUX	AUX	_	129	aux	_	TokenRange=987:991
129	dedicar	dedicar	VERB	VERB	_	65	parataxis	_	TokenRange=992:999
130	melhor	melhor	ADJ	ADJ	_	131	amod	_	TokenRange=1000:1006
131	conflito	conflito	NOUN	NOUN	_	129	obj	_	TokenRange=1007:1015
132	alimenta	alimentar	VERB	VERB	_	65	parataxis	_	TokenRange=1016:1024
133	regularmente	regularmente	ADV	ADV	_	132	advmod	_	TokenRange=1025:1037
134	financiamento	financiamento	NOUN	NOUN	_	132	obj	_	TokenRange=1038:1051
135	armas	arma	NOUN	NOUN	_	134	appos	_	TokenRange=1052:1057
136	duvida	duvido	ADJ	ADJ	_	135	amod	_	TokenRange=1058:1064
