# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = sp obama diz coreia norte perigo real defende uso diplomacia paz expresidente falou sobre aquecimento global importancia engajamento defesa democracia acordo nuclear ira obamacare barack obama afirmou manha desta quintafeira 5 evento paulo coreia norte perigo real defendeu importancia diplomacia forte paz primeira vez expresidente americano vem brasil desde deixou casa branca comeco deste ano podemos resolver todos problemas tanques aeronaves coreia norte perigo real afirmou durante forum cidadao global seguranca depende apenas forca militar depende diplomacia forte alimentar aliancas encorajar cooperacao nacoes poder economias poder ideais importantes assegurar paz somente poder militar extraordinario declarou obama falou sobre importancia cultivar tolerancia destacou atualmente conectados nunca porem enfrentamos problemas ficamos presos nunca propria bolha desafiamos proprias premissas tudo tudo gente ve le algoritmo diz deveriamos ler ficamos seguros crencas filtramos informacoes acordo opiniao observou ouvir concordamos ressaltou comentar sobre impacto desenvolvimento comunicacao obama afirmou atualmente ideias amplificadas vale boas ideias bem ruins destrutivas toda
1	sp	_	CCONJ	CONJ	_	3	nsubj	_	TokenRange=0:2
2	obama	_	NOUN	NOUN	_	3	nsubj	_	TokenRange=3:8
3	diz	dizer	VERB	VERB	_	0	root	_	TokenRange=9:12
4	coreia	coreia	NOUN	NOUN	_	3	obj	_	TokenRange=13:19
5	norte	norte	ADJ	ADJ	_	4	amod	_	TokenRange=20:25
6	perigo	perigo	NOUN	NOUN	_	4	appos	_	TokenRange=26:32
7	real	real	ADJ	ADJ	_	6	amod	_	TokenRange=33:37
8	defende	defender	VERB	VERB	_	3	ccomp	_	TokenRange=38:45
9	uso	uso	NOUN	NOUN	_	8	obj	_	TokenRange=46:49
10	diplomacia	diplomacia	NOUN	NOUN	_	9	appos	_	TokenRange=50:60
11	paz	paz	NOUN	NOUN	_	9	amod	_	TokenRange=61:64
12	expresidente	expresidente	NOUN	NOUN	_	13	nsubj	_	TokenRange=65:77
13	falou	falar	VERB	VERB	_	3	parataxis	_	TokenRange=78:83
14	sobre	_	ADP	ADP	_	15	case	_	TokenRange=84:89
15	aquecimento	aquecimento	NOUN	NOUN	_	13	nmod	_	TokenRange=90:101
16	global	global	ADJ	ADJ	_	15	amod	_	TokenRange=102:108
17	importancia	importancia	NOUN	NOUN	_	15	appos	_	TokenRange=109:120
18	engajamento	engajamento	NOUN	NOUN	_	17	flat	_	TokenRange=121:132
19	defesa	_	ADJ	ADJ	_	21	amod	_	TokenRange=133:139
20	democracia	democracia	NOUN	NOUN	_	21	amod	_	TokenRange=140:150
21	acordo	acordo	NOUN	NOUN	_	17	appos	_	TokenRange=151:157
22	nuclear	nuclear	ADJ	ADJ	_	21	amod	_	TokenRange=158:165
23	ira	ira	NOUN	NOUN	_	21	appos	_	TokenRange=166:169
24	obamacare	_	NOUN	NOUN	_	21	appos	_	TokenRange=170:179
