# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja repercussao condenacao lula 2 instancia desembargadores votaram unanimidade manutencao condenacao expresidente aumento pena defesa petista ainda pode entrar recursos expresidente luiz inacio lula silva condenado nesta quartafeira 24 segunda instancia 8 turma tribunal regional federal 4 regiao trf4 porto alegre todos tres desembargadores trf4 votaram manter condenacao lula corrupcao passiva lavagem dinheiro defesa petista pode entrar recursos proprio tribunal instancias superiores stj stf expresidente preso imediato lula pode manter eventual candidatura presidencia enquanto recursos pendentes contra condenacao relator processo desembargador joao pedro gebran neto determinou ainda aumento pena petista 12 anos
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	repercussao	repercussao	NOUN	NOUN	_	1	obj	_	TokenRange=5:16
3	condenacao	condenacao	ADJ	ADJ	_	2	amod	_	TokenRange=17:27
4	lula	lula	NOUN	NOUN	_	2	flat	_	TokenRange=28:32
5	2	_	NUM	NUM	NumType=Card	6	nummod	_	TokenRange=33:34
6	instancia	instancia	NOUN	NOUN	_	8	nsubj	_	TokenRange=35:44
7	desembargadores	desembargador	NOUN	NOUN	_	6	flat	_	TokenRange=45:60
8	votaram	votar	VERB	VERB	_	1	parataxis	_	TokenRange=61:68
9	unanimidade	unanimidade	NOUN	NOUN	_	8	obj	_	TokenRange=69:80
10	manutencao	manutencao	ADJ	ADJ	_	9	amod	_	TokenRange=81:91
11	condenacao	_	NOUN	NOUN	_	8	nsubj	_	TokenRange=92:102
12	expresidente	expresidente	NOUN	NOUN	_	13	amod	_	TokenRange=103:115
13	aumento	aumento	NOUN	NOUN	_	11	amod	_	TokenRange=116:123
14	pena	_	NOUN	NOUN	_	13	flat	_	TokenRange=124:128
15	defesa	_	NOUN	NOUN	_	13	appos	_	TokenRange=129:135
16	petista	petista	ADJ	ADJ	_	15	amod	_	TokenRange=136:143
17	ainda	ainda	ADV	ADV	_	19	advmod	_	TokenRange=144:149
18	pode	_	AUX	AUX	_	19	aux	_	TokenRange=150:154
19	entrar	entrar	VERB	VERB	_	8	parataxis	_	TokenRange=155:161
20	recursos	recurso	NOUN	NOUN	_	19	obj	_	TokenRange=162:170
21	expresidente	expresidente	NOUN	NOUN	_	20	appos	_	TokenRange=171:183
22	luiz	luiz	NOUN	NOUN	_	20	appos	_	TokenRange=184:188
23	inacio	_	NOUN	NOUN	_	22	appos	_	TokenRange=189:195
24	lula	_	NOUN	NOUN	_	23	flat	_	TokenRange=196:200
25	silva	silva	NOUN	NOUN	_	23	flat	_	TokenRange=201:206
26	condenado	condenar	VERB	VERB	_	20	acl	_	TokenRange=207:216
27	nesta	_	ADP	ADP	_	28	case	_	TokenRange=217:222
28	quartafeira	_	NOUN	NOUN	_	26	nmod	_	TokenRange=223:234
29	24	_	NUM	NUM	NumType=Card	31	nummod	_	TokenRange=235:237
30	segunda	segundo	ADJ	ADJ	_	31	amod	_	TokenRange=238:245
