# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = sete perguntas sobre crise coreia norte possibilidades guerra trump diz grande confronto possivel enquanto china pede diplomacia regime kim jongun ameaca afundar navio americano japao mobilizou maior navio guerra primeira operacao tipo desde pais aprovou polemica legislacao ampliando papel forca militar momento regiao passa escalada tensa relacao estados unidos coreia norte portahelicopteros izumo escoltando navio americano abastecimento cruza aguas japonesas rumo frota naval eua regiao onde portaavioes carl vinson enviado presidente donald trump fim semana trump disse gostaria resolver crise diplomaticamente reconheceu conflito grande possibilidade grande preocupacao eua paises vizinhos coreia norte coreia sul japao poderio nuclear militar pais comunista apesar ameacas sancoes segue realizando testes misseis governo americano diz endurecera sancoes economicas contra pyongyang ativara sistema defesa antimisseis coreia sul coreia norte vez ameacou afundar portaavioes americano deslocado regiao prometeu realizar testes misseis china poucos paises relacionar governo nortecoreano pediu negociacao dialogo paises apos ultimos desenvolvimentos nessa crise analista defesa diplomacia bbc jonathan marcus responde principais duvidas sobre conflito apesar existirem sancoes contra coreia norte colocadas pratica monitoradas forma devida estudo recente onu analisou fragmentos teste missil nortecoreano mostrou componentes eletronicos vinham empresas chinesas conseguidos atraves china china poderia fazer
1	sete	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:4
2	perguntas	pergunta	NOUN	NOUN	_	10	nsubj	_	TokenRange=5:14
3	sobre	_	ADP	ADP	_	4	case	_	TokenRange=15:20
4	crise	crise	NOUN	NOUN	_	2	nmod	_	TokenRange=21:26
5	coreia	coreia	NOUN	NOUN	_	4	appos	_	TokenRange=27:33
6	norte	norte	ADJ	ADJ	_	7	amod	_	TokenRange=34:39
7	possibilidades	possibilidade	NOUN	NOUN	_	2	appos	_	TokenRange=40:54
8	guerra	guerra	NOUN	NOUN	_	7	amod	_	TokenRange=55:61
9	trump	_	ADJ	NOUN	_	7	amod	_	TokenRange=62:67
10	diz	dizer	VERB	VERB	_	0	root	_	TokenRange=68:71
11	grande	grande	ADJ	ADJ	_	12	amod	_	TokenRange=72:78
12	confronto	confronto	NOUN	NOUN	_	10	obj	_	TokenRange=79:88
13	possivel	possivel	ADJ	ADJ	_	12	amod	_	TokenRange=89:97
14	enquanto	_	CCONJ	CONJ	_	16	mark	_	TokenRange=98:106
15	china	china	NOUN	NOUN	_	16	nsubj	_	TokenRange=107:112
16	pede	pedir	VERB	VERB	_	10	advcl	_	TokenRange=113:117
17	diplomacia	diplomacia	NOUN	NOUN	_	16	obj	_	TokenRange=118:128
18	regime	regime	NOUN	NOUN	_	16	obj	_	TokenRange=129:135
19	kim	_	NOUN	NOUN	_	21	nsubj	_	TokenRange=136:139
20	jongun	_	NOUN	NOUN	_	19	flat	_	TokenRange=140:146
21	ameaca	ameacar	VERB	VERB	_	10	parataxis	_	TokenRange=147:153
22	afundar	afundar	VERB	VERB	_	21	xcomp	_	TokenRange=154:161
23	navio	navio	NOUN	NOUN	_	22	obj	_	TokenRange=162:167
24	americano	americano	ADJ	ADJ	_	23	amod	_	TokenRange=168:177
25	japao	japao	NOUN	NOUN	_	26	nsubj	_	TokenRange=178:183
26	mobilizou	mobilizar	VERB	VERB	_	10	parataxis	_	TokenRange=184:193
