# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = nada compara tensao ano passado diz diplomata brasileiro mora coreia norte 2018 dialogo coreias retomado governo nortecoreano enviou delegacao participar jogos olimpicos inverno coreia sul comecam sextafeira participacao coreia norte jogos inverno pyeongchang coreia sul marca fase alivio menos temporario escalada tensao regiao viveu 2017 trocas acusacoes regime kim jongun presidente americano donald trump deixaram comunidade internacional apreensiva medo confronto direto encarregado negocios embaixada brasil pyongyang cleiton schenkel
1	nada	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:4
2	compara	comparar	VERB	VERB	_	6	ccomp	_	TokenRange=5:12
3	tensao	tensao	NOUN	NOUN	_	2	obj	_	TokenRange=13:19
4	ano	ano	NOUN	NOUN	_	2	nmod	_	TokenRange=20:23
5	passado	passado	ADJ	ADJ	_	4	amod	_	TokenRange=24:31
6	diz	dizer	VERB	VERB	_	0	root	_	TokenRange=32:35
7	diplomata	diplomata	NOUN	NOUN	_	2	nsubj	_	TokenRange=36:45
8	brasileiro	brasileiro	ADJ	ADJ	_	7	amod	_	TokenRange=46:56
9	mora	mora	NOUN	NOUN	_	7	appos	_	TokenRange=57:61
10	coreia	coreia	NOUN	NOUN	_	2	appos	_	TokenRange=62:68
11	norte	norte	ADJ	ADJ	_	10	amod	_	TokenRange=69:74
12	2018	_	NUM	NUM	NumType=Card	10	nmod	_	TokenRange=75:79
13	dialogo	dialogo	NOUN	NOUN	_	2	nsubj	_	TokenRange=80:87
14	coreias	coreia	NOUN	NOUN	_	13	appos	_	TokenRange=88:95
15	retomado	retomar	ADJ	ADJ	_	16	amod	_	TokenRange=96:104
16	governo	governo	NOUN	NOUN	_	18	nsubj	_	TokenRange=105:112
17	nortecoreano	nortecoreano	ADJ	ADJ	_	16	amod	_	TokenRange=113:125
18	enviou	enviar	VERB	VERB	_	2	parataxis	_	TokenRange=126:132
19	delegacao	delegacao	NOUN	NOUN	_	18	obj	_	TokenRange=133:142
20	participar	participar	VERB	VERB	_	19	acl:inf	_	TokenRange=143:153
21	jogos	jogo	NOUN	NOUN	_	20	obj	_	TokenRange=154:159
22	olimpicos	olimpico	ADJ	ADJ	_	21	amod	_	TokenRange=160:169
23	inverno	inverno	ADJ	ADJ	_	21	amod	_	TokenRange=170:177
24	coreia	coreia	NOUN	NOUN	_	26	nsubj	_	TokenRange=178:184
25	sul	sul	ADJ	ADJ	_	24	amod	_	TokenRange=185:188
26	comecam	comecer	VERB	VERB	_	6	parataxis	_	TokenRange=189:196
27	sextafeira	_	ADJ	ADJ	_	28	amod	_	TokenRange=197:207
28	participacao	participacao	NOUN	NOUN	_	26	obj	_	TokenRange=208:220
29	coreia	coreia	NOUN	NOUN	_	28	appos	_	TokenRange=221:227
30	norte	norte	ADJ	ADJ	_	31	amod	_	TokenRange=228:233
31	jogos	jogo	NOUN	NOUN	_	28	appos	_	TokenRange=234:239
32	inverno	inverno	ADJ	ADJ	_	31	amod	_	TokenRange=240:247
33	pyeongchang	_	ADJ	ADJ	_	31	amod	_	TokenRange=248:259
34	coreia	coreia	NOUN	NOUN	_	28	appos	_	TokenRange=260:266
35	sul	sul	ADJ	ADJ	_	34	amod	_	TokenRange=267:270
36	marca	marca	NOUN	NOUN	_	28	appos	_	TokenRange=271:276
37	fase	fase	NOUN	NOUN	_	36	obj	_	TokenRange=277:281
38	alivio	alivio	ADJ	ADJ	_	37	amod	_	TokenRange=282:288
39	menos	menos	ADV	ADV	_	40	advmod	_	TokenRange=289:294
40	temporario	temporario	ADJ	ADJ	_	37	amod	_	TokenRange=295:305
41	escalada	escalada	NOUN	NOUN	_	37	appos	_	TokenRange=306:314
42	tensao	tensao	NOUN	NOUN	_	41	appos	_	TokenRange=315:321
43	regiao	regiao	NOUN	NOUN	_	44	nsubj	_	TokenRange=322:328
44	viveu	viver	VERB	VERB	_	26	parataxis	_	TokenRange=329:334
45	2017	_	NUM	NUM	NumType=Card	44	nmod	_	TokenRange=335:339
46	trocas	_	NOUN	NOUN	_	44	nsubj	_	TokenRange=340:346
47	acusacoes	acusacoe	ADJ	ADJ	_	46	amod	_	TokenRange=347:356
48	regime	regime	NOUN	NOUN	_	55	nsubj	_	TokenRange=357:363
49	kim	_	NOUN	NOUN	_	48	appos	_	TokenRange=364:367
50	jongun	_	NOUN	NOUN	_	49	flat	_	TokenRange=368:374
51	presidente	presidente	NOUN	NOUN	_	49	appos	_	TokenRange=375:385
52	americano	americano	ADJ	ADJ	_	51	amod	_	TokenRange=386:395
53	donald	donald	ADJ	ADJ	_	54	amod	_	TokenRange=396:402
54	trump	_	NOUN	NOUN	_	51	appos	_	TokenRange=403:408
55	deixaram	deixar	VERB	VERB	_	44	parataxis	_	TokenRange=409:417
56	comunidade	comunidade	NOUN	NOUN	_	55	obj	_	TokenRange=418:428
57	internacional	internacional	ADJ	ADJ	_	56	amod	_	TokenRange=429:442
58	apreensiva	apreensivo	ADJ	ADJ	_	56	amod	_	TokenRange=443:453
59	medo	medo	NOUN	NOUN	_	55	obj	_	TokenRange=454:458
60	confronto	confronto	NOUN	NOUN	_	55	obj	_	TokenRange=459:468
61	direto	direto	ADJ	ADJ	_	60	amod	_	TokenRange=469:475
62	encarregado	encarregado	ADJ	ADJ	_	60	acl	_	TokenRange=476:487
63	negocios	negocio	NOUN	NOUN	_	60	amod	_	TokenRange=488:496
64	embaixada	embaixada	NOUN	NOUN	_	60	appos	_	TokenRange=497:506
65	brasil	brasil	ADJ	ADJ	_	64	amod	_	TokenRange=507:513
66	pyongyang	_	NOUN	NOUN	_	64	appos	_	TokenRange=514:523
67	cleiton	_	NOUN	NOUN	_	64	appos	_	TokenRange=524:531
68	schenkel	_	NOUN	NOUN	_	67	flat	_	SpaceAfter=No|TokenRange=532:540

