# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na surdina deputados tentaram votar reajuste para servidores federais na madrugada enquanto nao ha dinheiro para pagar os pobres velhinhos que recebem apenas 1 salario minimo de aposentadoria a camara dos deputados faz sua parte so que faz ao contrario
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	surdina	surdina	NOUN	NOUN	_	5	nmod	_	TokenRange=3:10
4	deputados	deputado	NOUN	NOUN	_	5	nsubj	_	TokenRange=11:20
5	tentaram	tentar	VERB	VERB	_	0	root	_	TokenRange=21:29
6	votar	votar	VERB	VERB	_	5	xcomp	_	TokenRange=30:35
7	reajuste	reajuste	NOUN	NOUN	_	6	obj	_	TokenRange=36:44
8	para	para	ADP	ADP	_	9	case	_	TokenRange=45:49
9	servidores	servidor	NOUN	NOUN	_	6	nmod	_	TokenRange=50:60
10	federais	federal	ADJ	ADJ	_	9	amod	_	TokenRange=61:69
11-12	na	_	_	_	_	_	_	_	TokenRange=70:72
11	em	em	ADP	ADP	_	13	case	_	_
12	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	13	det	_	_
13	madrugada	madrugada	NOUN	NOUN	_	6	nmod	_	TokenRange=73:82
14	enquanto	_	CCONJ	CONJ	_	16	mark	_	TokenRange=83:91
15	nao	nao	ADV	ADV	Polarity=Neg	16	advmod	_	TokenRange=92:95
16	ha	har	VERB	VERB	_	5	advcl	_	TokenRange=96:98
17	dinheiro	dinheiro	NOUN	NOUN	_	16	obj	_	TokenRange=99:107
18	para	_	ADP	ADP	_	19	mark	_	TokenRange=108:112
19	pagar	pagar	VERB	VERB	_	17	nmod	_	TokenRange=113:118
20	os	o	DET	DET	_	21	det	_	TokenRange=119:121
21	pobres	pobre	NOUN	NOUN	_	19	obj	_	TokenRange=122:128
22	velhinhos	velhinho	ADJ	ADJ	_	21	amod	_	TokenRange=129:138
23	que	_	PRON	PRON	_	24	nsubj	_	TokenRange=139:142
24	recebem	receber	VERB	VERB	_	21	acl:relcl	_	TokenRange=143:150
25	apenas	apenas	ADV	ADV	_	26	advmod	_	TokenRange=151:157
26	1	_	NUM	NUM	NumType=Card	27	nummod	_	TokenRange=158:159
27	salario	salario	NOUN	NOUN	_	24	obj	_	TokenRange=160:167
28	minimo	minimo	ADJ	ADJ	_	27	amod	_	TokenRange=168:174
29	de	de	ADP	ADP	_	30	case	_	TokenRange=175:177
30	aposentadoria	aposentadoria	NOUN	NOUN	_	27	nmod	_	TokenRange=178:191
31	a	o	DET	DET	_	32	det	_	TokenRange=192:193
32	camara	camara	NOUN	NOUN	_	36	nsubj	_	TokenRange=194:200
33-34	dos	_	_	_	_	_	_	_	TokenRange=201:204
33	de	de	ADP	ADP	_	35	case	_	_
34	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	35	det	_	_
35	deputados	deputado	NOUN	NOUN	_	32	nmod	_	TokenRange=205:214
36	faz	fazer	VERB	VERB	_	5	parataxis	_	TokenRange=215:218
37	sua	_	DET	DET	_	38	det:poss	_	TokenRange=219:222
38	parte	parte	NOUN	NOUN	_	36	obj	_	TokenRange=223:228
39	so	_	ADV	ADV	_	41	mark	_	TokenRange=229:231
40	que	_	CCONJ	CONJ	_	39	fixed	_	TokenRange=232:235
41	faz	fazer	VERB	VERB	_	36	advcl	_	TokenRange=236:239
42-43	ao	_	_	_	_	_	_	_	TokenRange=240:242
42	a	a	ADP	ADP	_	44	case	_	_
43	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	44	det	_	_
44	contrario	contrario	NOUN	NOUN	_	41	nmod	_	TokenRange=243:252

