# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = marque bem o nome desses 8 senadores sao eles que estao lutando pelo fim do foro alvaro dias deveriamos estar votando o fim do foro privilegiado em regime de urgencia o site antagonista divulgou uma lista dos poucos senadores que assinaram o requerimento que pede urgencia na votacao da pec do fim do foro privilegiado de autoria de alvaro dias abaixo os nomes dos 8 bravos politicos 1 randolfe rodrigues rede/ap autor do pedido 2 alvaro dias pv/pr autor da pec 3 otto alencar psd/ba 4 jose reguffe sem partido df 5 ronaldo caiado dem/go 6 ricardo ferraco psdb/es 7 paulo paim pt/rs 8 ana amelia pp/rs e necessaria a adesao de pelo menos 41 senadores para que a proposta seja votada leia tambem
1	marque	marcar	VERB	VERB	_	0	root	_	TokenRange=0:6
2	bem	bem	ADV	ADV	_	1	advmod	_	TokenRange=7:10
3	o	o	DET	DET	_	4	det	_	TokenRange=11:12
4	nome	nome	NOUN	NOUN	_	1	nsubj	_	TokenRange=13:17
5	desses	_	ADP	ADP	_	7	case	_	TokenRange=18:24
6	8	_	NUM	NUM	NumType=Card	7	nummod	_	TokenRange=25:26
7	senadores	senador	NOUN	NOUN	_	4	nmod	_	TokenRange=27:36
8	sao	_	AUX	AUX	_	9	cop	_	TokenRange=37:40
9	eles	_	PRON	PRON	_	1	nsubj	_	TokenRange=41:45
10	que	_	PRON	PRON	_	12	nsubj	_	TokenRange=46:49
11	estao	_	AUX	AUX	_	12	aux	_	TokenRange=50:55
12	lutando	lutar	VERB	VERB	_	9	acl:relcl	_	TokenRange=56:63
13-14	pelo	_	_	_	_	_	_	_	TokenRange=64:68
13	por	por	ADP	ADP	_	15	case	_	_
14	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	15	det	_	_
15	fim	fim	NOUN	NOUN	_	12	nmod	_	TokenRange=69:72
16-17	do	_	_	_	_	_	_	_	TokenRange=73:75
16	de	de	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	foro	foro	NOUN	NOUN	_	15	nmod	_	TokenRange=76:80
19	alvaro	alvaro	NOUN	NOUN	_	23	nsubj	_	TokenRange=81:87
20	dias	dia	NOUN	NOUN	_	19	flat	_	TokenRange=88:92
21	deveriamos	deveria	AUX	AUX	_	23	aux	_	TokenRange=93:103
22	estar	estar	AUX	AUX	_	23	aux	_	TokenRange=104:109
23	votando	votar	VERB	VERB	_	1	ccomp	_	TokenRange=110:117
24	o	o	DET	DET	_	25	det	_	TokenRange=118:119
25	fim	fim	NOUN	NOUN	_	23	obj	_	TokenRange=120:123
26-27	do	_	_	_	_	_	_	_	TokenRange=124:126
26	de	de	ADP	ADP	_	28	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	28	det	_	_
28	foro	foro	NOUN	NOUN	_	25	nmod	_	TokenRange=127:131
29	privilegiado	privilegiado	ADJ	ADJ	_	28	amod	_	TokenRange=132:144
30	em	em	ADP	ADP	_	31	case	_	TokenRange=145:147
31	regime	regime	NOUN	NOUN	_	23	nmod	_	TokenRange=148:154
32	de	de	ADP	ADP	_	33	case	_	TokenRange=155:157
33	urgencia	urgencia	NOUN	NOUN	_	31	nmod	_	TokenRange=158:166
34	o	o	DET	DET	_	35	det	_	TokenRange=167:168
35	site	site	NOUN	NOUN	_	37	nsubj	_	TokenRange=169:173
36	antagonista	antagonista	ADJ	ADJ	_	35	amod	_	TokenRange=174:185
37	divulgou	divulgar	VERB	VERB	_	1	parataxis	_	TokenRange=186:194
38	uma	um	DET	DET	_	39	det	_	TokenRange=195:198
39	lista	lista	NOUN	NOUN	_	37	obj	_	TokenRange=199:204
40-41	dos	_	_	_	_	_	_	_	TokenRange=205:208
40	de	de	ADP	ADP	_	43	case	_	_
41	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	43	det	_	_
42	poucos	_	DET	DET	_	43	det	_	TokenRange=209:215
43	senadores	senador	NOUN	NOUN	_	39	nmod	_	TokenRange=216:225
44	que	_	PRON	PRON	_	45	nsubj	_	TokenRange=226:229
45	assinaram	assinar	VERB	VERB	_	43	acl:relcl	_	TokenRange=230:239
46	o	o	DET	DET	_	47	det	_	TokenRange=240:241
47	requerimento	requerimento	NOUN	NOUN	_	45	obj	_	TokenRange=242:254
48	que	_	PRON	PRON	_	49	nsubj	_	TokenRange=255:258
49	pede	pedir	VERB	VERB	_	47	acl:relcl	_	TokenRange=259:263
50	urgencia	urgencia	NOUN	NOUN	_	49	obj	_	TokenRange=264:272
51-52	na	_	_	_	_	_	_	_	TokenRange=273:275
51	em	em	ADP	ADP	_	53	case	_	_
52	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	53	det	_	_
53	votacao	votacao	NOUN	NOUN	_	49	nmod	_	TokenRange=276:283
54-55	da	_	_	_	_	_	_	_	TokenRange=284:286
54	de	de	ADP	ADP	_	56	case	_	_
55	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	56	det	_	_
56	pec	pec	NOUN	NOUN	_	53	nmod	_	TokenRange=287:290
57-58	do	_	_	_	_	_	_	_	TokenRange=291:293
57	de	de	ADP	ADP	_	59	case	_	_
58	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	59	det	_	_
59	fim	fim	NOUN	NOUN	_	56	nmod	_	TokenRange=294:297
60-61	do	_	_	_	_	_	_	_	TokenRange=298:300
60	de	de	ADP	ADP	_	62	case	_	_
61	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	62	det	_	_
62	foro	foro	NOUN	NOUN	_	59	nmod	_	TokenRange=301:305
63	privilegiado	privilegiado	ADJ	ADJ	_	62	amod	_	TokenRange=306:318
64	de	de	ADP	ADP	_	65	case	_	TokenRange=319:321
65	autoria	autoria	NOUN	NOUN	_	56	nmod	_	TokenRange=322:329
66	de	de	ADP	ADP	_	67	case	_	TokenRange=330:332
67	alvaro	alvaro	ADJ	NOUN	_	65	nmod	_	TokenRange=333:339
68	dias	dia	NOUN	NOUN	_	67	flat	_	TokenRange=340:344
69	abaixo	abaixo	ADV	ADV	_	37	advmod	_	TokenRange=345:351
70	os	o	DET	DET	_	71	det	_	TokenRange=352:354
