# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = aos poucos o brasil vai se tornando uma venezuela logo teremos ocupacao militar em 100 do territorio a noticia foi publicada no diario oficial da uniao amanda nunes bruckner e claro que se trata de mais uma mala direta do governo federal para fazer propaganda de supostas acoes positivas de michel temer mas vamos ao que interessa os governos estadual e federal perderam o controle da situacao no que diz respeito a seguranca publica alem dos estados do espirito santo amazonas e rio de janeiro o ministerio da justica autorizou hoje 20 o uso da forca nacional de seguranca publica para os estados do rio grande do sul rio grande do norte e sergipe a deliberacao esta publicada no diario oficial da uniao dou desta segundafeira o reforco tera como objetivo a reducao de homicidios violencia contra a mulher e o crime organizado em geral resumindo o brasil tem hoje 27 estados incluindo o df mais de 20 6 estados do pais ja esta tomado por tropas nao convencionais no ritmo que estamos evoluindo ate o inicio de 2018 teremos todo o territorio tomado pelos militares sera que isso e bom
1-2	aos	_	_	_	_	_	_	_	TokenRange=0:3
1	a	a	ADP	ADP	_	3	case	_	_
2	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	3	det	_	_
3	poucos	pouco	NOUN	NOUN	_	10	nmod	_	TokenRange=4:10
4	o	o	DET	DET	_	5	det	_	TokenRange=11:12
5	brasil	brasil	NOUN	NOUN	_	10	nsubj	_	TokenRange=13:19
6	vai	ir	AUX	AUX	_	10	aux	_	TokenRange=20:23
7	se	_	PART	PRT	_	10	expl:pv	_	TokenRange=24:26
8	tornando	tornar	AUX	AUX	_	10	cop	_	TokenRange=27:35
9	uma	um	DET	DET	_	10	det	_	TokenRange=36:39
10	venezuela	_	NOUN	NOUN	_	0	root	_	TokenRange=40:49
11	logo	logo	ADV	ADV	_	12	advmod	_	TokenRange=50:54
12	teremos	ter	VERB	VERB	_	10	acl:relcl	_	TokenRange=55:62
13	ocupacao	ocupacao	NOUN	NOUN	_	12	obj	_	TokenRange=63:71
14	militar	militar	ADJ	ADJ	_	13	amod	_	TokenRange=72:79
15	em	em	ADP	ADP	_	16	case	_	TokenRange=80:82
16	100	_	NUM	NUM	NumType=Card	12	nmod	_	TokenRange=83:86
17-18	do	_	_	_	_	_	_	_	TokenRange=87:89
17	de	de	ADP	ADP	_	19	case	_	_
18	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	19	det	_	_
19	territorio	territorio	NOUN	NOUN	_	16	nmod	_	TokenRange=90:100
20	a	o	DET	DET	_	21	det	_	TokenRange=101:102
21	noticia	noticia	NOUN	NOUN	_	23	nsubj:pass	_	TokenRange=103:110
22	foi	_	AUX	AUX	_	23	aux:pass	_	TokenRange=111:114
23	publicada	publicar	VERB	VERB	_	10	parataxis	_	TokenRange=115:124
24-25	no	_	_	_	_	_	_	_	TokenRange=125:127
24	em	em	ADP	ADP	_	26	case	_	_
25	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	26	det	_	_
26	diario	diario	NOUN	NOUN	_	23	nmod	_	TokenRange=128:134
27	oficial	oficial	ADJ	ADJ	_	26	amod	_	TokenRange=135:142
28-29	da	_	_	_	_	_	_	_	TokenRange=143:145
28	de	de	ADP	ADP	_	30	case	_	_
29	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	30	det	_	_
30	uniao	uniao	NOUN	NOUN	_	26	nmod	_	TokenRange=146:151
31	amanda	amanda	NOUN	NOUN	_	23	parataxis	_	TokenRange=152:158
32	nunes	_	NOUN	NOUN	_	31	flat	_	TokenRange=159:164
33	bruckner	bruckner	NOUN	NOUN	_	31	flat	_	TokenRange=165:173
34	e	e	CCONJ	CONJ	_	35	cc	_	TokenRange=174:175
35	claro	claro	ADJ	ADJ	_	33	conj	_	TokenRange=176:181
