# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = aos gritos de oh gloria e aleluia pastora evangelica quebra imagem de nossa senhora e divulga video intolerancia religiosa em um video filmado pelos proprios irmaos uma pastora evangelica aparece quebrando duas imagens de nossa senhora aparecida com uma marreta obreiros da igreja que estavam filmando a cena foram ao delirio com gritos de oh gloria nao aceito outro deus aleluia jesus abencoa senhor no final do video um homem diz esta quebrada em nome de jesus
1-2	aos	_	_	_	_	_	_	_	TokenRange=0:3
1	a	a	ADP	ADP	_	3	case	_	_
2	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	3	det	_	_
3	gritos	grito	NOUN	NOUN	_	11	nmod	_	TokenRange=4:10
4	de	de	ADP	ADP	_	6	case	_	TokenRange=11:13
5	oh	_	DET	DET	_	6	det	_	TokenRange=14:16
6	gloria	gloria	NOUN	NOUN	_	3	nmod	_	TokenRange=17:23
7	e	e	CCONJ	CONJ	_	8	cc	_	TokenRange=24:25
8	aleluia	aleluia	NOUN	NOUN	_	3	conj	_	TokenRange=26:33
9	pastora	pastor	NOUN	NOUN	_	11	nsubj	_	TokenRange=34:41
10	evangelica	evangelico	ADJ	ADJ	_	9	amod	_	TokenRange=42:52
11	quebra	quebrar	VERB	VERB	_	0	root	_	TokenRange=53:59
12	imagem	imagem	NOUN	NOUN	_	11	obj	_	TokenRange=60:66
13	de	de	ADP	ADP	_	15	case	_	TokenRange=67:69
14	nossa	_	DET	DET	_	15	det:poss	_	TokenRange=70:75
15	senhora	senhora	NOUN	NOUN	_	12	nmod	_	TokenRange=76:83
16	e	e	CCONJ	CONJ	_	17	cc	_	TokenRange=84:85
17	divulga	divulgar	VERB	VERB	_	11	conj	_	TokenRange=86:93
18	video	video	NOUN	NOUN	_	17	obj	_	TokenRange=94:99
19	intolerancia	intolerancia	NOUN	NOUN	_	17	obj	_	TokenRange=100:112
20	religiosa	religioso	ADJ	ADJ	_	19	amod	_	TokenRange=113:122
21	em	em	ADP	ADP	_	23	case	_	TokenRange=123:125
22	um	um	DET	DET	_	23	det	_	TokenRange=126:128
23	video	video	NOUN	NOUN	_	17	nmod	_	TokenRange=129:134
24	filmado	filmar	VERB	VERB	_	23	acl	_	TokenRange=135:142
25-26	pelos	_	_	_	_	_	_	_	TokenRange=143:148
25	por	por	ADP	ADP	_	28	case	_	_
26	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	28	det	_	_
27	proprios	proprio	ADJ	ADJ	_	28	amod	_	TokenRange=149:157
28	irmaos	irmao	NOUN	NOUN	_	24	nmod	_	TokenRange=158:164
29	uma	um	DET	DET	_	30	det	_	TokenRange=165:168
30	pastora	pastor	NOUN	NOUN	_	32	nsubj	_	TokenRange=169:176
31	evangelica	evangelico	ADJ	ADJ	_	30	amod	_	TokenRange=177:187
32	aparece	aparecer	VERB	VERB	_	11	parataxis	_	TokenRange=188:195
33	quebrando	quebrar	VERB	VERB	_	32	acl	_	TokenRange=196:205
34	duas	_	NUM	NUM	NumType=Card	35	nummod	_	TokenRange=206:210
35	imagens	imagem	NOUN	NOUN	_	33	obj	_	TokenRange=211:218
36	de	de	ADP	ADP	_	38	case	_	TokenRange=219:221
37	nossa	_	DET	DET	_	38	det:poss	_	TokenRange=222:227
38	senhora	senhora	NOUN	NOUN	_	35	nmod	_	TokenRange=228:235
39	aparecida	aparecido	ADJ	ADJ	_	35	acl	_	TokenRange=236:245
40	com	com	ADP	ADP	_	42	case	_	TokenRange=246:249
41	uma	um	DET	DET	_	42	det	_	TokenRange=250:253
42	marreta	marreta	NOUN	NOUN	_	39	nmod	_	TokenRange=254:261
43	obreiros	obreiro	NOUN	NOUN	_	42	amod	_	TokenRange=262:270
