# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = faltou so a pf cerimonia de posse da nova presidente do stf vira reuniao de corruptos caetano veloso cantou o hino nacional na posse da nova presidente do supremo a ministra carmen lucia enquanto o musico cantava lula fernando pimentel governador de mg e jose sarney se deleitavam na melodia e uma afronta ao brasileiros tem mais gente envolvida em corrupcao do que convidados alem de lula outros 18 politicos citados na lavajato participam neste exato momento da cerimonia ahhh michel temer renan calheiros e o presidente da camara tambem estao presentes leia tambem
1	faltou	faltar	VERB	VERB	_	0	root	_	TokenRange=0:6
2	so	so	ADV	ADV	_	1	advmod	_	TokenRange=7:9
3	a	o	DET	DET	_	4	det	_	TokenRange=10:11
4	pf	_	NOUN	NOUN	_	1	nsubj	_	TokenRange=12:14
5	cerimonia	cerimonia	NOUN	NOUN	_	21	nsubj	_	TokenRange=15:24
6	de	de	ADP	ADP	_	7	case	_	TokenRange=25:27
7	posse	posse	NOUN	NOUN	_	5	nmod	_	TokenRange=28:33
8-9	da	_	_	_	_	_	_	_	TokenRange=34:36
8	de	de	ADP	ADP	_	11	case	_	_
9	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	11	det	_	_
10	nova	novo	ADJ	ADJ	_	11	amod	_	TokenRange=37:41
11	presidente	presidente	NOUN	NOUN	_	7	nmod	_	TokenRange=42:52
12-13	do	_	_	_	_	_	_	_	TokenRange=53:55
12	de	de	ADP	ADP	_	14	case	_	_
13	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	14	det	_	_
14	stf	_	NOUN	NOUN	_	11	nmod	_	TokenRange=56:59
15	vira	_	VERB	VERB	_	16	cop	_	TokenRange=60:64
16	reuniao	reuniao	NOUN	NOUN	_	1	nsubj	_	TokenRange=65:72
17	de	de	ADP	ADP	_	18	case	_	TokenRange=73:75
18	corruptos	corrupto	NOUN	NOUN	_	16	nmod	_	TokenRange=76:85
19	caetano	caetano	NOUN	NOUN	_	16	appos	_	TokenRange=86:93
20	veloso	veloso	ADJ	ADJ	_	19	amod	_	TokenRange=94:100
21	cantou	cantar	VERB	VERB	_	1	ccomp	_	TokenRange=101:107
22	o	o	DET	DET	_	23	det	_	TokenRange=108:109
23	hino	hino	NOUN	NOUN	_	21	obj	_	TokenRange=110:114
24	nacional	nacional	ADJ	ADJ	_	23	amod	_	TokenRange=115:123
25-26	na	_	_	_	_	_	_	_	TokenRange=124:126
25	em	em	ADP	ADP	_	27	case	_	_
26	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	27	det	_	_
27	posse	posse	NOUN	NOUN	_	21	nmod	_	TokenRange=127:132
