# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = faca sua parte senado disponibiliza link para brasileiros votarem pelo fim do foro privilegiado o site do senado federal abriu uma consulta publica sobre a pec 10/2013 que visa alterar os artigos 102 105 108 e 125 da constituicao federal no espaco ecidadania o portal permite que qualquer cidadao com acesso a internet possa participar e dar seu voto o objetivo da emenda e acabar com a prerrogativa de foro privilegiado para politicos em exercicio nos casos de crimes comuns a consulta publica quer verificar o apoio popular para um projeto de lei ou de emenda o autor da pec e o senador alvaro dias do partido verde para votar a favor ou contra a pec voce devera clicar aqui
1	faca	facar	VERB	VERB	_	0	root	_	TokenRange=0:4
2	sua	_	DET	DET	_	3	det:poss	_	TokenRange=5:8
3	parte	parte	NOUN	NOUN	_	1	obj	_	TokenRange=9:14
4	senado	senado	NOUN	NOUN	_	1	nsubj	_	TokenRange=15:21
5	disponibiliza	disponibilizar	VERB	VERB	_	1	ccomp	_	TokenRange=22:35
6	link	link	NOUN	NOUN	_	5	obj	_	TokenRange=36:40
7	para	para	ADP	ADP	_	9	mark	_	TokenRange=41:45
8	brasileiros	brasileiro	NOUN	NOUN	_	9	nsubj	_	TokenRange=46:57
9	votarem	votar	VERB	VERB	_	5	nmod	_	TokenRange=58:65
10-11	pelo	_	_	_	_	_	_	_	TokenRange=66:70
10	por	por	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	fim	fim	NOUN	NOUN	_	9	nmod	_	TokenRange=71:74
13-14	do	_	_	_	_	_	_	_	TokenRange=75:77
13	de	de	ADP	ADP	_	15	case	_	_
14	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	15	det	_	_
15	foro	foro	NOUN	NOUN	_	12	nmod	_	TokenRange=78:82
16	privilegiado	privilegiado	ADJ	ADJ	_	15	amod	_	TokenRange=83:95
17	o	o	DET	DET	_	18	det	_	TokenRange=96:97
18	site	site	NOUN	NOUN	_	23	nsubj	_	TokenRange=98:102
19-20	do	_	_	_	_	_	_	_	TokenRange=103:105
19	de	de	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	senado	senado	NOUN	NOUN	_	18	nmod	_	TokenRange=106:112
22	federal	federal	ADJ	ADJ	_	21	amod	_	TokenRange=113:120
23	abriu	abrir	VERB	VERB	_	1	parataxis	_	TokenRange=121:126
24	uma	um	DET	DET	_	25	det	_	TokenRange=127:130
25	consulta	consulta	NOUN	NOUN	_	23	obj	_	TokenRange=131:139
26	publica	publico	ADJ	ADJ	_	25	amod	_	TokenRange=140:147
27	sobre	_	ADP	ADP	_	29	case	_	TokenRange=148:153
28	a	o	DET	DET	_	29	det	_	TokenRange=154:155
29	pec	pec	NOUN	NOUN	_	25	nmod	_	TokenRange=156:159
30	10/2013	_	NUM	NUM	NumType=Card	29	nmod	_	TokenRange=160:167
31	que	_	PRON	PRON	_	32	nsubj	_	TokenRange=168:171
32	visa	visar	VERB	VERB	_	25	acl:relcl	_	TokenRange=172:176
33	alterar	alterar	VERB	VERB	_	32	xcomp	_	TokenRange=177:184
34	os	o	DET	DET	_	35	det	_	TokenRange=185:187
35	artigos	artigo	NOUN	NOUN	_	33	obj	_	TokenRange=188:195
36	102	_	NUM	NUM	NumType=Card	35	appos	_	TokenRange=196:199
37	105	_	NUM	NUM	NumType=Card	38	nummod	_	TokenRange=200:203
38	108	_	NUM	NUM	NumType=Card	35	appos	_	TokenRange=204:207
39	e	e	CCONJ	CONJ	_	40	cc	_	TokenRange=208:209
40	125	_	NUM	NUM	NumType=Card	38	conj	_	TokenRange=210:213
41-42	da	_	_	_	_	_	_	_	TokenRange=214:216
41	de	de	ADP	ADP	_	43	case	_	_
42	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	43	det	_	_
43	constituicao	constituicao	NOUN	NOUN	_	35	nmod	_	TokenRange=217:229
44	federal	federal	ADJ	ADJ	_	43	amod	_	TokenRange=230:237
45-46	no	_	_	_	_	_	_	_	TokenRange=238:240
45	em	em	ADP	ADP	_	47	case	_	_
46	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	47	det	_	_
47	espaco	espaco	NOUN	NOUN	_	33	nmod	_	TokenRange=241:247
48	ecidadania	ecidadania	NOUN	NOUN	_	47	appos	_	TokenRange=248:258
49	o	o	DET	DET	_	50	det	_	TokenRange=259:260
50	portal	portal	NOUN	NOUN	_	51	nsubj	_	TokenRange=261:267
51	permite	permitir	VERB	VERB	_	23	parataxis	_	TokenRange=268:275
52	que	que	CCONJ	CONJ	_	60	mark	_	TokenRange=276:279
53	qualquer	_	DET	DET	_	54	det	_	TokenRange=280:288
54	cidadao	cidadao	NOUN	NOUN	_	60	nsubj	_	TokenRange=289:296
55	com	com	ADP	ADP	_	56	case	_	TokenRange=297:300
56	acesso	acesso	NOUN	NOUN	_	54	nmod	_	TokenRange=301:307
57	a	_	ADP	ADP	_	58	case	_	TokenRange=308:309
58	internet	_	PROPN	PNOUN	_	56	nmod	_	TokenRange=310:318
59	possa	_	AUX	AUX	_	60	aux	_	TokenRange=319:324
60	participar	participar	VERB	VERB	_	51	ccomp	_	TokenRange=325:335
61	e	e	CCONJ	CONJ	_	62	cc	_	TokenRange=336:337
62	dar	dar	VERB	VERB	_	60	conj	_	TokenRange=338:341
63	seu	_	DET	DET	_	64	det:poss	_	TokenRange=342:345
64	voto	voto	NOUN	NOUN	_	62	obj	_	TokenRange=346:350
65	o	o	DET	DET	_	66	det	_	TokenRange=351:352
66	objetivo	objetivo	NOUN	NOUN	_	60	obj	_	TokenRange=353:361
67-68	da	_	_	_	_	_	_	_	TokenRange=362:364
67	de	de	ADP	ADP	_	69	case	_	_
68	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	69	det	_	_
69	emenda	emenda	NOUN	NOUN	_	66	nmod	_	TokenRange=365:371
70	e	e	CCONJ	CONJ	_	71	cc	_	TokenRange=372:373
71	acabar	acabar	VERB	VERB	_	60	conj	_	TokenRange=374:380
72	com	com	ADP	ADP	_	74	case	_	TokenRange=381:384
73	a	o	DET	DET	_	74	det	_	TokenRange=385:386
74	prerrogativa	prerrogativa	NOUN	NOUN	_	71	nmod	_	TokenRange=387:399
75	de	de	ADP	ADP	_	76	case	_	TokenRange=400:402
76	foro	foro	NOUN	NOUN	_	74	nmod	_	TokenRange=403:407
77	privilegiado	privilegiado	ADJ	ADJ	_	76	amod	_	TokenRange=408:420
78	para	para	ADP	ADP	_	79	case	_	TokenRange=421:425
79	politicos	politico	NOUN	NOUN	_	76	nmod	_	TokenRange=426:435
80	em	em	ADP	ADP	_	81	case	_	TokenRange=436:438
81	exercicio	exercicio	NOUN	NOUN	_	79	nmod	_	TokenRange=439:448
82-83	nos	_	_	_	_	_	_	_	TokenRange=449:452
82	em	em	ADP	ADP	_	84	case	_	_
83	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	84	det	_	_
84	casos	caso	NOUN	NOUN	_	81	nmod	_	TokenRange=453:458
85	de	de	ADP	ADP	_	86	case	_	TokenRange=459:461
86	crimes	crime	NOUN	NOUN	_	84	nmod	_	TokenRange=462:468
87	comuns	comum	ADJ	ADJ	_	86	amod	_	TokenRange=469:475
88	a	o	DET	DET	_	89	det	_	TokenRange=476:477
89	consulta	consulta	NOUN	NOUN	_	91	nsubj	_	TokenRange=478:486
90	publica	publico	ADJ	ADJ	_	89	amod	_	TokenRange=487:494
91	quer	querer	VERB	VERB	_	51	ccomp	_	TokenRange=495:499
92	verificar	verificar	VERB	VERB	_	91	xcomp	_	TokenRange=500:509
93	o	o	DET	DET	_	94	det	_	TokenRange=510:511
94	apoio	apoio	NOUN	NOUN	_	92	obj	_	TokenRange=512:517
95	popular	popular	ADJ	ADJ	_	94	amod	_	TokenRange=518:525
96	para	para	ADP	ADP	_	98	case	_	TokenRange=526:530
97	um	um	DET	DET	_	98	det	_	TokenRange=531:533
98	projeto	projeto	NOUN	NOUN	_	94	nmod	_	TokenRange=534:541
99	de	de	ADP	ADP	_	100	case	_	TokenRange=542:544
100	lei	lei	NOUN	NOUN	_	98	nmod	_	TokenRange=545:548
101	ou	ou	CCONJ	CONJ	_	103	cc	_	TokenRange=549:551
102	de	de	ADP	ADP	_	103	case	_	TokenRange=552:554
103	emenda	emenda	NOUN	NOUN	_	100	conj	_	TokenRange=555:561
104	o	o	DET	DET	_	105	det	_	TokenRange=562:563
105	autor	autor	NOUN	NOUN	_	128	nsubj	_	TokenRange=564:569
106-107	da	_	_	_	_	_	_	_	TokenRange=570:572
106	de	de	ADP	ADP	_	108	case	_	_
107	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	108	det	_	_
108	pec	pec	NOUN	NOUN	_	105	nmod	_	TokenRange=573:576
109	e	e	CCONJ	CONJ	_	111	cc	_	TokenRange=577:578
110	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	111	det	_	TokenRange=579:580
111	senador	senador	NOUN	NOUN	_	105	conj	_	TokenRange=581:588
