# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = urgente mtst invade predio oficial da presidencia da republica em sp manifestantes se e que podemos assim chamalos invadiram um predio da presidencia da republica em sao paulo agora pouco integrantes do mtst fazem neste exato momento um ato na av paulista contra o presidente michel temer o lider do grupo guilherme boulos disse que nao tem arrego e publicou a mensagem abaixo nas redes sociais mtst varias ocupacoes trabalhadores semteto da periferia de sao paulo acabaram de ocupar o escritorio da presidencia da republica e vao montar acampamento aqui na avenida paulista por conta dos cortes na moradia feitos pelo governo ilegitimo do seu michel temer que suspendeu o programa minha casa minha vida cancelou contratacoes que ja estavam feitas e tambem como resposta a repressao que foi feita em frente a casa do temer no acampamento montado pelo mtst e pela povo sem medo este e o objetivo do ato de hoje e deixa claro que nos nao vamos recuar nao e com porrada e com policia que vai fazer o povo recuar da luta publicou boulos
1	urgente	urgente	ADJ	ADJ	_	2	amod	_	TokenRange=0:7
2	mtst	_	NOUN	NOUN	_	3	nsubj	_	TokenRange=8:12
3	invade	invadir	VERB	VERB	_	0	root	_	TokenRange=13:19
4	predio	predio	NOUN	NOUN	_	3	obj	_	TokenRange=20:26
5	oficial	oficial	ADJ	ADJ	_	4	amod	_	TokenRange=27:34
6-7	da	_	_	_	_	_	_	_	TokenRange=35:37
6	de	de	ADP	ADP	_	8	case	_	_
7	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	8	det	_	_
8	presidencia	presidencia	NOUN	NOUN	_	4	nmod	_	TokenRange=38:49
9-10	da	_	_	_	_	_	_	_	TokenRange=50:52
9	de	de	ADP	ADP	_	11	case	_	_
10	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	11	det	_	_
11	republica	_	NOUN	NOUN	_	8	nmod	_	TokenRange=53:62
12	em	em	ADP	ADP	_	13	case	_	TokenRange=63:65
13	sp	_	NOUN	NOUN	_	3	nmod	_	TokenRange=66:68
14	manifestantes	manifestante	NOUN	NOUN	_	3	obj	_	TokenRange=69:82
15	se	_	CCONJ	CONJ	_	21	mark	_	TokenRange=83:85
16	e	e	CCONJ	CONJ	_	20	cc	_	TokenRange=86:87
17	que	_	PRON	PRON	_	20	nsubj	_	TokenRange=88:91
18	podemos	_	AUX	AUX	_	21	aux	_	TokenRange=92:99
19	assim	assim	ADV	ADV	_	20	advmod	_	TokenRange=100:105
20	chamalos	chamalo	VERB	VERB	_	21	conj	_	TokenRange=106:114
21	invadiram	invadir	VERB	VERB	_	3	conj	_	TokenRange=115:124
22	um	um	DET	DET	_	23	det	_	TokenRange=125:127
23	predio	predio	NOUN	NOUN	_	21	obj	_	TokenRange=128:134
