# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na colombia epidemia de zika se alastra e numero de infectados passa dos 30 mil reportagem publicada em um dos jornais mais conceituados do mundo bbc alerta para o risco de uma epidemia desenfreada do virus zika zika virus vira uma pesta na colombia e numero de infectados chaga a 30 mil a sindrome de guillainbarre transmitida pelo mosquito aedes aegypti pode causar paralisia grave na colombia o panico e real e esta aumentando o jovem fabian medina de 22 anos e uma das vitimas da doenca os sintomas o deixam como um homem de 90 anos de idade se ele nao estivesse respirando com a ajuda de aparelhos provavelmente estaria morto a esposa de medina karen esta gravida de tres meses e teve zika os sintomas foram leves mas as consequencias ainda sao desconhecidas ela se preocupa com a possibilidade de microcefalia os casos no brasil se multiplicaram desde o inicio do surto ate o dia 30 de janeiro foram notificados de acordo com o ministerio da saude 4783 casos suspeitos de microcefalia medicos colombianos acreditam que o virus zika esteja ligado a sindrome de guillainbarre o portavoz da organizacao mundial da saude disse que devemos ser muito cautelosos e nao misturar muito as duas coisas disse christian lindmeier alegando que a associacao ainda nao foi comprovada o surto da paralisia na colombia comecou em outubro do ano passado ainda nao ha tratamento nem vacina a melhor prevencao e evitar contato com mosquito aedes aegypti eliminando os criadouros usando roupas com mangas longas calcas e repelentes de mosquitos
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	colombia	colombia	NOUN	NOUN	_	8	nmod	_	TokenRange=3:11
4	epidemia	epidemia	NOUN	NOUN	_	8	nsubj	_	TokenRange=12:20
5	de	de	ADP	ADP	_	6	case	_	TokenRange=21:23
6	zika	zika	NOUN	NOUN	_	4	nmod	_	TokenRange=24:28
7	se	_	PRON	PRON	_	8	expl:pv	_	TokenRange=29:31
8	alastra	alastrar	VERB	VERB	_	0	root	_	TokenRange=32:39
9	e	e	CCONJ	CONJ	_	13	cc	_	TokenRange=40:41
10	numero	_	NOUN	NOUN	_	13	nsubj	_	TokenRange=42:48
11	de	de	ADP	ADP	_	12	case	_	TokenRange=49:51
12	infectados	infectado	NOUN	NOUN	_	10	nmod	_	TokenRange=52:62
13	passa	passar	VERB	VERB	_	8	conj	_	TokenRange=63:68
14-15	dos	_	_	_	_	_	_	_	TokenRange=69:72
14	de	de	ADP	ADP	_	18	case	_	_
15	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	18	det	_	_
16	30	_	NUM	NUM	NumType=Card	17	nummod	_	TokenRange=73:75
17	mil	_	NUM	NUM	NumType=Card	18	nummod	_	TokenRange=76:79
18	reportagem	reportagem	NOUN	NOUN	_	13	nmod	_	TokenRange=80:90
19	publicada	publicar	VERB	VERB	_	18	acl	_	TokenRange=91:100
20	em	em	ADP	ADP	_	21	case	_	TokenRange=101:103
21	um	_	PRON	PRON	_	19	nmod	_	TokenRange=104:106
22-23	dos	_	_	_	_	_	_	_	TokenRange=107:110
22	de	de	ADP	ADP	_	24	case	_	_
23	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	24	det	_	_
