# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na inglaterra trump significa pum veja outras traducoes notaveis do sobrenome do presidente dos eua as traducoes nem sempre sao agradaveis mas donald trump sempre gostou de dar boas risadas e nunca se ofendeu com brincadeiras pelo menos antes de ser presidente sera que ele ja teve a curiosidade de checar os varios significados de seu nome bem la vai noruegues trump ou trumpa traduzse como uma substancia pegajosa algo que pisamos em cima e nao sai do sapato catalao trumpello significa a cor amarela e alternativamente urina mandarim trumphao tem dois significados possiveis uma escalada perigosa de tensoes desencadeadas por uma disputa comercial ou simplesmente escada rolante dinamarques os dinamarqueses usam a palavra trumpsen para transmitir a sensacao de tristeza polones trumpczyk e definido como algo enorme vietnamita nesta lingua do sudeste asiatico trumpyen denota ferrugem causada pela oxidacao e umidade russo a palavra trumpovski significa fantoche ou peao em russo arabe trumpadi e uma forma de repreensao ou de repreender de outros especialmente empregados alemao os alemaes usam o sobrenome original do presidente drumpf ao se referir ao racismo ou a alguem racista hebraico em israel e em outros lugares onde o hebraico e falado um trumpowitz e um individuo emocionalmente atrofiado obcecado com sua mae ou um filhinho da mamae turco a palavra trumpogan e usada para denotar um penteado esquisito ou pouco frequente grego a palavra trumpolous entrou na lingua grega no tempo de platao e se refere a uma pessoa que se esquiva do servico militar ou da guerra japones no japao eles tem uma palavra muito precisa para falencias que envolvem propriedades imobiliarias trumpimoto frances um autoretrato e chamado de trumpeau em frances espanhol trumpierdo e definido como um estado agudo de confusao medo ou descrenca ingles da inglaterra significa um pum ou vulgarmente falando peido tambem pode significar uma trombeta ou um trompete swahili dialeto trumpaea e comumente usado na tanzania e no quenia e em outros paises africanos significa vagina
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	inglaterra	inglaterra	NOUN	NOUN	_	5	nmod	_	TokenRange=3:13
4	trump	trump	NOUN	NOUN	_	5	nsubj	_	TokenRange=14:19
5	significa	significar	VERB	VERB	_	0	root	_	TokenRange=20:29
6	pum	_	NOUN	NOUN	_	5	obj	_	TokenRange=30:33
7	veja	ver	VERB	VERB	_	5	parataxis	_	TokenRange=34:38
8	outras	_	DET	DET	_	9	det	_	TokenRange=39:45
9	traducoes	traducoe	NOUN	NOUN	_	7	obj	_	TokenRange=46:55
10	notaveis	notavel	ADJ	ADJ	_	9	amod	_	TokenRange=56:64
11-12	do	_	_	_	_	_	_	_	TokenRange=65:67
11	de	de	ADP	ADP	_	13	case	_	_
12	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	sobrenome	sobrenome	NOUN	NOUN	_	9	nmod	_	TokenRange=68:77
14-15	do	_	_	_	_	_	_	_	TokenRange=78:80
14	de	de	ADP	ADP	_	16	case	_	_
15	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	16	det	_	_
16	presidente	presidente	NOUN	NOUN	_	13	nmod	_	TokenRange=81:91
17-18	dos	_	_	_	_	_	_	_	TokenRange=92:95
17	de	de	ADP	ADP	_	19	case	_	_
18	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	19	det	_	_
19	eua	_	NOUN	NOUN	_	16	nmod	_	TokenRange=96:99
20	as	o	DET	DET	_	21	det	_	TokenRange=100:102
21	traducoes	traducoe	NOUN	NOUN	_	24	nsubj	_	TokenRange=103:112
22	nem	_	ADV	ADV	_	24	advmod	_	TokenRange=113:116
