# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tentarei explicar por que aqueles que como eu vem do leste europeu tem por albert camus tanta gratidao ele nos era mais proximo e creio que posso falar por outros alem de mim do que quase todos os escritores franceses contemporaneos e que o paralelismo historico nao e um fator negligenciavel ora os intelectuais franceses dos anos quarenta e cinquenta na sua maioria foram fascinados pela historia nos tambem mas de uma maneira diferente eles aspiravam a um tipo de saturacao pessoal pela historicidade nos estavamos saturados ate a moela dos ossos e por isso mesmo passavamos por assim dizer para o outro lado todos os discursos sobre a historia que ouviamos na franca nos pareciam suspeitos pois neles era evocada uma imagem uma ideia e nao essa realidade que haviamos conhecido nas suas formas mais crueis o nazismo e o stalinismo ignoro o que protegia albert camus contra uma moda difundida entre os intelectuais parisienses tao conformistas eram as praias da africa sua origem popular que o preservavam de uma ma consciencia burguesa como quer que seja ele tratava os idolos do
1	tentarei	tentar	VERB	VERB	_	0	root	_	TokenRange=0:8
2	explicar	explicar	VERB	VERB	_	1	xcomp	_	TokenRange=9:17
3	por	_	ADP	ADP	_	4	mark	_	TokenRange=18:21
4	que	que	CCONJ	CONJ	_	14	mark	_	TokenRange=22:25
5	aqueles	_	PRON	PRON	_	14	nsubj	_	TokenRange=26:33
6	que	_	PRON	PRON	_	9	nsubj	_	TokenRange=34:37
7	como	_	CCONJ	CONJ	_	9	mark	_	TokenRange=38:42
8	eu	_	PRON	PRON	_	9	nsubj	_	TokenRange=43:45
9	vem	vir	VERB	VERB	_	5	acl:relcl	_	TokenRange=46:49
10-11	do	_	_	_	_	_	_	_	TokenRange=50:52
10	de	de	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	leste	leste	NOUN	NOUN	_	9	nmod	_	TokenRange=53:58
13	europeu	europeu	ADJ	ADJ	_	12	amod	_	TokenRange=59:66
14	tem	ter	VERB	VERB	_	2	ccomp	_	TokenRange=67:70
15	por	por	ADP	ADP	_	16	case	_	TokenRange=71:74
16	albert	_	NOUN	NOUN	_	14	nmod	_	TokenRange=75:81
17	camus	camus	NOUN	NOUN	_	16	flat	_	TokenRange=82:87
18	tanta	_	DET	DET	_	19	det	_	TokenRange=88:93
19	gratidao	gratidao	NOUN	NOUN	_	14	obj	_	TokenRange=94:102
20	ele	_	PRON	PRON	_	23	nsubj	_	TokenRange=103:106
21-22	nos	_	_	_	_	_	_	_	TokenRange=107:110
