# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = sextafeira 2 de junho de 2017 boa noite aqui estao as principais noticias para voce terminar o dia beminformado a decisao historica do presidente americano donald trump de retirar os eua do acordo de paris continuou repercutindo nesta sexta no pais e no mundo no brasil o presidente michel temer tentou esvaziar o movimento de debandada do psdb de seu governo encontrandose com o governador de sao paulo geraldo alckmin e o procuradorgeral da republica rodrigo janot denunciou o senador aecio
1	sextafeira	sextafeira	NOUN	NOUN	_	39	parataxis	_	TokenRange=0:10
2	2	_	NUM	NUM	NumType=Card	1	nmod	_	TokenRange=11:12
3	de	de	ADP	ADP	_	4	case	_	TokenRange=13:15
4	junho	_	PROPN	PNOUN	_	2	nmod	_	TokenRange=16:21
5	de	de	ADP	ADP	_	6	case	_	TokenRange=22:24
6	2017	_	NUM	NUM	NumType=Card	4	nmod	_	TokenRange=25:29
7	boa	bom	ADJ	ADJ	_	8	amod	_	TokenRange=30:33
8	noite	noite	NOUN	NOUN	_	10	nsubj	_	TokenRange=34:39
9	aqui	aqui	ADV	ADV	_	10	advmod	_	TokenRange=40:44
10	estao	_	VERB	VERB	_	1	acl:relcl	_	TokenRange=45:50
11	as	o	DET	DET	_	13	det	_	TokenRange=51:53
12	principais	principal	ADJ	ADJ	_	13	amod	_	TokenRange=54:64
13	noticias	noticia	NOUN	NOUN	_	10	nsubj	_	TokenRange=65:73
14	para	_	ADP	ADP	_	16	mark	_	TokenRange=74:78
15	voce	_	PRON	PRON	_	16	nsubj	_	TokenRange=79:83
16	terminar	terminar	VERB	VERB	_	13	nmod	_	TokenRange=84:92
17	o	o	DET	DET	_	18	det	_	TokenRange=93:94
18	dia	dia	NOUN	NOUN	_	16	obj	_	TokenRange=95:98
19	beminformado	beminformado	ADJ	ADJ	_	18	amod	_	TokenRange=99:111
20	a	o	DET	DET	_	21	det	_	TokenRange=112:113
21	decisao	decisao	NOUN	NOUN	_	39	nsubj	_	TokenRange=114:121
22	historica	historico	ADJ	ADJ	_	21	amod	_	TokenRange=122:131
23-24	do	_	_	_	_	_	_	_	TokenRange=132:134
23	de	de	ADP	ADP	_	25	case	_	_
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	_
25	presidente	presidente	NOUN	NOUN	_	21	nmod	_	TokenRange=135:145
26	americano	americano	ADJ	ADJ	_	25	amod	_	TokenRange=146:155
27	donald	_	PROPN	NOUN	_	25	appos	_	TokenRange=156:162
28	trump	_	PROPN	NOUN	_	27	flat	_	TokenRange=163:168
29	de	_	ADP	ADP	_	30	mark	_	TokenRange=169:171
30	retirar	retirar	VERB	VERB	_	21	nmod	_	TokenRange=172:179
31	os	o	DET	DET	_	32	det	_	TokenRange=180:182
32	eua	_	NOUN	NOUN	_	30	obj	_	TokenRange=183:186
33-34	do	_	_	_	_	_	_	_	TokenRange=187:189
33	de	de	ADP	ADP	_	35	case	_	_
34	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	35	det	_	_
35	acordo	acordo	NOUN	NOUN	_	30	nmod	_	TokenRange=190:196
36	de	de	ADP	ADP	_	37	case	_	TokenRange=197:199
37	paris	_	NOUN	NOUN	_	35	nmod	_	TokenRange=200:205
38	continuou	continuar	AUX	AUX	_	39	aux	_	TokenRange=206:215
39	repercutindo	repercutir	VERB	VERB	_	0	root	_	TokenRange=216:228
40	nesta	_	ADP	ADP	_	41	case	_	TokenRange=229:234
41	sexta	_	PROPN	PNOUN	_	39	nmod	_	TokenRange=235:240
42-43	no	_	_	_	_	_	_	_	TokenRange=241:243
42	em	em	ADP	ADP	_	44	case	_	_
43	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	44	det	_	_
44	pais	_	NOUN	NOUN	_	39	nmod	_	TokenRange=244:248
