# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja o que foi feito em 1 ano de gestao doria na cracolandia usuarios continuam na luz atual gestao comecou sua tentativa em maio apos megaoperacao na regiao segundo a prefeitura mais de 3 mil pessoas voluntariamente foram internadas e 30 delas fizeram o tratamento ate o final apos um ano de gestao do prefeito joao doria psdb usuarios continuam se concentrando para o uso de crack na regiao conhecida como cracolandia na luz no centro de sao paulo a tentativa da atual administracao de acabar com o problema comecou em maio logo depois que o estado responsavel pela seguranca publica fez uma operacao policial na cracolandia o objetivo era prender traficantes que vendiam drogas por la na epoca doria chegou a anunciar o fim da cracolandia a cracolandia acabou fisicamente ela nao vai mais existir mas o que acabou mesmo foi o programa de bracos abertos da gestao passada no lugar a prefeitura criou o programa redencao e entrou na justica para poder internar a forca os usuarios de drogas que se espalharam pelas ruas da regiao central o tribunal de justica negou mas a estrategia de tratar pela abstinencia continua foram criados quatro centros de assistencias com conteineres onde as pessoas comem tomam banho dormem e podem pedir ajuda para largar o vicio sao os atendes atendimento diario emergencial a prefeitura contou 325419 atendimentos nos conteineres ate o dia 6 de dezembro e 3210 dependentes quimicos foram encaminhados voluntariamente para tratamento medico desse total segundo a prefeitura 30 fez o tratamento ate o final lucio de 34 anos que prefere nao ter o sobrenome divulgado disse que deixou o programa porque nao se adaptou as regras que ele considera muito rigidas eu nao saio daqui nao e nem pela droga que nao
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	o	_	PRON	PRON	_	1	obj	_	TokenRange=5:6
3	que	_	PRON	PRON	_	5	nsubj:pass	_	TokenRange=7:10
4	foi	_	AUX	AUX	_	5	aux:pass	_	TokenRange=11:14
5	feito	_	VERB	VERB	_	2	acl:relcl	_	TokenRange=15:20
6	em	em	ADP	ADP	_	8	case	_	TokenRange=21:23
7	1	_	NUM	NUM	NumType=Card	8	nummod	_	TokenRange=24:25
8	ano	ano	NOUN	NOUN	_	5	nmod	_	TokenRange=26:29
9	de	de	ADP	ADP	_	10	case	_	TokenRange=30:32
10	gestao	gestao	NOUN	NOUN	_	8	nmod	_	TokenRange=33:39
11	doria	doria	NOUN	NOUN	_	10	flat	_	TokenRange=40:45
12-13	na	_	_	_	_	_	_	_	TokenRange=46:48
12	em	em	ADP	ADP	_	14	case	_	_
13	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	14	det	_	_
14	cracolandia	cracolandia	NOUN	NOUN	_	5	nmod	_	TokenRange=49:60
15	usuarios	usuario	NOUN	NOUN	_	16	nsubj	_	TokenRange=61:69
16	continuam	continuar	VERB	VERB	_	1	parataxis	_	TokenRange=70:79
17-18	na	_	_	_	_	_	_	_	TokenRange=80:82
17	em	em	ADP	ADP	_	19	case	_	_
18	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	19	det	_	_
19	luz	luz	NOUN	NOUN	_	16	nmod	_	TokenRange=83:86
20	atual	atual	ADJ	ADJ	_	21	amod	_	TokenRange=87:92
21	gestao	gestao	NOUN	NOUN	_	22	nsubj	_	TokenRange=93:99
