# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = cortaram meu pescoco e lancaram meu bebe no chao sobreviventes de massacre em vilarejo de mianmar relatam estupros assassinatos e tortura cometidos pelo exercito em acao que evidencia processo de limpeza etnica no pais na fronteira entre mianmar e bangladesh centenas de milhares de pessoas feridas famintas e traumatizadas se aglomeram em campos precarios sao os sobreviventes de uma serie de massacres estupros e expulsoes perpetrados desde agosto pelo exercito birmanes contra a minoria islamica rohingya a jovem rashida begum mostra a enorme cicatriz em seu pescoco a equipe da bbc eles os soldados tentaram contar minha garganta conta ela fomos cercadas pelos soldados e forcadas a nos ajoelhar a beira do rio dai eles comecaram a nos estuprar e a matar eu estava com o meu bebe eles arrancaram ele de mim o atiraram no chao e o mataram diversos relatos semelhantes foram compilados pela reportagem da bbc que acompanhou
1	cortaram	cortar	VERB	VERB	_	0	root	_	TokenRange=0:8
2	meu	_	DET	DET	_	3	det:poss	_	TokenRange=9:12
3	pescoco	pescoco	NOUN	NOUN	_	1	obj	_	TokenRange=13:20
4	e	e	CCONJ	CONJ	_	5	cc	_	TokenRange=21:22
5	lancaram	lancar	VERB	VERB	_	1	conj	_	TokenRange=23:31
6	meu	_	DET	DET	_	7	det:poss	_	TokenRange=32:35
7	bebe	bebe	NOUN	NOUN	_	5	obj	_	TokenRange=36:40
8-9	no	_	_	_	_	_	_	_	TokenRange=41:43
8	em	em	ADP	ADP	_	10	case	_	_
9	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	10	det	_	_
10	chao	chao	NOUN	NOUN	_	5	nmod	_	TokenRange=44:48
11	sobreviventes	sobrevivente	NOUN	NOUN	_	5	nsubj	_	TokenRange=49:62
12	de	de	ADP	ADP	_	13	case	_	TokenRange=63:65
13	massacre	massacre	NOUN	NOUN	_	11	nmod	_	TokenRange=66:74
14	em	em	ADP	ADP	_	15	case	_	TokenRange=75:77
15	vilarejo	vilarejo	NOUN	NOUN	_	11	nmod	_	TokenRange=78:86
16	de	de	ADP	ADP	_	17	case	_	TokenRange=87:89
17	mianmar	mianmar	NOUN	NOUN	_	15	nmod	_	TokenRange=90:97
18	relatam	relatar	VERB	VERB	_	1	conj	_	TokenRange=98:105
19	estupros	estupro	NOUN	NOUN	_	18	obj	_	TokenRange=106:114
20	assassinatos	assassinato	NOUN	NOUN	_	19	amod	_	TokenRange=115:127
21	e	e	CCONJ	CONJ	_	22	cc	_	TokenRange=128:129
22	tortura	tortura	NOUN	NOUN	_	20	conj	_	TokenRange=130:137
23	cometidos	cometer	VERB	VERB	_	19	acl	_	TokenRange=138:147
24-25	pelo	_	_	_	_	_	_	_	TokenRange=148:152
24	por	por	ADP	ADP	_	26	case	_	_
25	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	26	det	_	_
