# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = nas redes sociais foi convocado para as 15 horas de domingo 18 em berlim um ato de solidariedade e repudia ao assassinato da deputada do psol marielle franco apesar da temperatura gelida de zero graus aproximadamente 200 brasileirxs e berlinenses marcaram presenca discussos de marielle feitos na camara dos vereadores foram reproduzidos em telao seguido de discursos de integrantes de grupos ativistas e simpatizantes na capital twitter cartazes em portugues em alemao pleiteavam marielle presente e fim dos assassinatos movidos por racismo e assassinato por motivo politico em uma mesa foram colocados velas e flores assim como um retrato em preto e branco um outro cartaz apioado no pe da mesa exibia luto durante a semana foram feitas varias homenagens a marielle em capitais e cidades europeias como dublim valencia paris debaixo de neve intensa estocolmo oslo e estudantes brasileiros da universidade de lisboa no dia 17 a camara de lisboa homenageou marielle durante a conferencia we should speak lgbt and family rights em londres assim como no parlamento europeu membro movimento podemos protestou severamente contra o ato de covardia contra a quinta mais votada vereadora do rj e alertou para a situacao de violencia no brasil alem disso 52 parlamentares de estrasburgo exigiram a suspensao de negociacoes de um acordo entre o mercosul e a ue enquanto a execucao nao for esclarecida no
1-2	nas	_	_	_	_	_	_	_	TokenRange=0:3
1	em	em	ADP	ADP	_	3	case	_	_
2	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	3	det	_	_
3	redes	rede	NOUN	NOUN	_	6	nmod	_	TokenRange=4:9
4	sociais	social	ADJ	ADJ	_	3	amod	_	TokenRange=10:17
5	foi	_	AUX	AUX	_	6	aux:pass	_	TokenRange=18:21
6	convocado	convocar	VERB	VERB	_	0	root	_	TokenRange=22:31
7	para	para	ADP	ADP	_	10	case	_	TokenRange=32:36
8	as	o	DET	DET	_	10	det	_	TokenRange=37:39
9	15	_	NUM	NUM	NumType=Card	10	nummod	_	TokenRange=40:42
10	horas	hora	NOUN	NOUN	_	6	nmod	_	TokenRange=43:48
11	de	de	ADP	ADP	_	12	case	_	TokenRange=49:51
12	domingo	_	PROPN	PNOUN	_	10	nmod	_	TokenRange=52:59
13	18	_	NUM	NUM	NumType=Card	12	nmod	_	TokenRange=60:62
14	em	em	ADP	ADP	_	15	case	_	TokenRange=63:65
15	berlim	berlim	NOUN	NOUN	_	6	nmod	_	TokenRange=66:72
16	um	um	DET	DET	_	17	det	_	TokenRange=73:75
17	ato	ato	NOUN	NOUN	_	6	nsubj:pass	_	TokenRange=76:79
18	de	de	ADP	ADP	_	19	case	_	TokenRange=80:82
19	solidariedade	solidariedade	NOUN	NOUN	_	17	nmod	_	TokenRange=83:96
20	e	e	CCONJ	CONJ	_	21	cc	_	TokenRange=97:98
21	repudia	repudiar	VERB	VERB	_	6	conj	_	TokenRange=99:106
22-23	ao	_	_	_	_	_	_	_	TokenRange=107:109
22	a	a	ADP	ADP	_	24	case	_	_
23	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	24	det	_	_
24	assassinato	assassinato	NOUN	NOUN	_	21	nmod	_	TokenRange=110:121
25-26	da	_	_	_	_	_	_	_	TokenRange=122:124
25	de	de	ADP	ADP	_	27	case	_	_
