# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = pitaia sardinhas quiosques badalados sereias veja destaques do verao do rio estacao que termina na segundafeira ditou novas modas como o maio cavado usados nas praias e nos blocos de carnaval relembre fatos que marcaram o periodo a estacao mais celebrada do ano no rio de janeiro tem a partir deste sabado 18 seu ultimo fim de semana antes de dar lugar ao outono na segundafeira 20 alem da sensacao de quase 50c da pouca chuva e do mar mais quente que a media o verao carioca ditou mais uma vez moda e tendencias relembre alguns fatos que marcaram o verao de 2017 o mar cristalino e a agua quente e calma das praias da orla do rio propocionaram encantamento entre cariocas e turistas nos
1	pitaia	pitaia	NOUN	NOUN	_	0	root	_	TokenRange=0:6
2	sardinhas	sarda	NOUN	NOUN	_	1	amod	_	TokenRange=7:16
3	quiosques	quiosque	NOUN	NOUN	_	1	appos	_	TokenRange=17:26
4	badalados	badalado	ADJ	ADJ	_	5	amod	_	TokenRange=27:36
5	sereias	_	NOUN	NOUN	_	3	appos	_	TokenRange=37:44
6	veja	ver	VERB	VERB	_	1	parataxis	_	TokenRange=45:49
7	destaques	destaque	NOUN	NOUN	_	6	obj	_	TokenRange=50:59
8-9	do	_	_	_	_	_	_	_	TokenRange=60:62
8	de	de	ADP	ADP	_	10	case	_	_
9	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	10	det	_	_
10	verao	verao	NOUN	NOUN	_	7	nmod	_	TokenRange=63:68
11-12	do	_	_	_	_	_	_	_	TokenRange=69:71
11	de	de	ADP	ADP	_	13	case	_	_
12	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	rio	rio	NOUN	NOUN	_	10	nmod	_	TokenRange=72:75
14	estacao	estacao	NOUN	NOUN	_	6	obj	_	TokenRange=76:83
15	que	_	PRON	PRON	_	16	nsubj	_	TokenRange=84:87
16	termina	terminar	VERB	VERB	_	14	acl:relcl	_	TokenRange=88:95
17-18	na	_	_	_	_	_	_	_	TokenRange=96:98
17	em	em	ADP	ADP	_	19	case	_	_
18	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	19	det	_	_
19	segundafeira	_	NOUN	NOUN	_	16	nmod	_	TokenRange=99:111
20	ditou	ditar	VERB	VERB	_	1	acl:relcl	_	TokenRange=112:117
21	novas	novo	ADJ	ADJ	_	22	amod	_	TokenRange=118:123
22	modas	moda	NOUN	NOUN	_	20	obj	_	TokenRange=124:129
23	como	como	ADP	ADP	_	25	case	_	TokenRange=130:134
24	o	o	DET	DET	_	25	det	_	TokenRange=135:136
25	maio	_	NOUN	NOUN	_	22	nmod	_	TokenRange=137:141
26	cavado	cavado	ADJ	ADJ	_	25	amod	_	TokenRange=142:148
27	usados	usar	VERB	VERB	_	25	acl	_	TokenRange=149:155
28-29	nas	_	_	_	_	_	_	_	TokenRange=156:159
28	em	em	ADP	ADP	_	30	case	_	_
29	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	30	det	_	_
30	praias	praia	NOUN	NOUN	_	27	nmod	_	TokenRange=160:166
31	e	e	CCONJ	CONJ	_	34	cc	_	TokenRange=167:168
32-33	nos	_	_	_	_	_	_	_	TokenRange=169:172
32	em	em	ADP	ADP	_	34	case	_	_
33	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	34	det	_	_
34	blocos	bloco	NOUN	NOUN	_	30	conj	_	TokenRange=173:179
35	de	de	ADP	ADP	_	36	case	_	TokenRange=180:182
36	carnaval	carnaval	NOUN	NOUN	_	34	nmod	_	TokenRange=183:191
37	relembre	relembrir	VERB	VERB	_	20	parataxis	_	TokenRange=192:200
38	fatos	fato	NOUN	NOUN	_	37	obj	_	TokenRange=201:206
39	que	_	PRON	PRON	_	40	nsubj	_	TokenRange=207:210
40	marcaram	marcar	VERB	VERB	_	38	acl:relcl	_	TokenRange=211:219
41	o	o	DET	DET	_	42	det	_	TokenRange=220:221
42	periodo	periodo	NOUN	NOUN	_	40	obj	_	TokenRange=222:229
43	a	o	DET	DET	_	44	det	_	TokenRange=230:231
44	estacao	estacao	NOUN	NOUN	_	55	nsubj	_	TokenRange=232:239
45	mais	mais	ADV	ADV	_	46	advmod	_	TokenRange=240:244
46	celebrada	celebrado	ADJ	ADJ	_	44	amod	_	TokenRange=245:254
47-48	do	_	_	_	_	_	_	_	TokenRange=255:257
47	de	de	ADP	ADP	_	49	case	_	_
48	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	49	det	_	_
49	ano	ano	NOUN	NOUN	_	44	nmod	_	TokenRange=258:261
50-51	no	_	_	_	_	_	_	_	TokenRange=262:264
50	em	em	ADP	ADP	_	52	case	_	_
51	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	52	det	_	_
52	rio	_	PROPN	PNOUN	_	44	nmod	_	TokenRange=265:268
53	de	de	ADP	ADP	_	54	case	_	TokenRange=269:271
54	janeiro	_	PROPN	PNOUN	_	52	nmod	_	TokenRange=272:279
55	tem	ter	VERB	VERB	_	38	acl:relcl	_	TokenRange=280:283
56	a	_	ADP	ADP	_	57	mark	_	TokenRange=284:285
57	partir	partir	VERB	VERB	_	55	nmod	_	TokenRange=286:292
58	deste	_	ADP	ADP	_	59	case	_	TokenRange=293:298
59	sabado	_	PROPN	PNOUN	_	57	nmod	_	TokenRange=299:305
60	18	_	NUM	NUM	NumType=Card	59	appos	_	TokenRange=306:308
61	seu	_	DET	DET	_	63	det:poss	_	TokenRange=309:312
62	ultimo	ultimo	ADJ	ADJ	_	63	amod	_	TokenRange=313:319
63	fim	fim	NOUN	NOUN	_	55	obj	_	TokenRange=320:323
64	de	de	ADP	ADP	_	65	case	_	TokenRange=324:326
65	semana	semana	NOUN	NOUN	_	63	nmod	_	TokenRange=327:333
66	antes	antes	ADV	ADV	_	68	mark	_	TokenRange=334:339
67	de	_	ADP	ADP	_	66	fixed	_	TokenRange=340:342
68	dar	dar	VERB	VERB	_	55	advcl	_	TokenRange=343:346
69	lugar	lugar	NOUN	NOUN	_	68	obj	_	TokenRange=347:352
70-71	ao	_	_	_	_	_	_	_	TokenRange=353:355
70	a	a	ADP	ADP	_	72	case	_	_
71	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	72	det	_	_
72	outono	outono	NOUN	NOUN	_	68	iobj	_	TokenRange=356:362
73-74	na	_	_	_	_	_	_	_	TokenRange=363:365
73	em	em	ADP	ADP	_	75	case	_	_
74	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	75	det	_	_
75	segundafeira	_	NOUN	NOUN	_	68	nmod	_	TokenRange=366:378
76	20	_	NUM	NUM	NumType=Card	75	appos	_	TokenRange=379:381
77	alem	alem	ADV	ADV	_	55	advmod	_	TokenRange=382:386
78-79	da	_	_	_	_	_	_	_	TokenRange=387:389
78	de	de	ADP	ADP	_	80	case	_	_
79	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	80	det	_	_
80	sensacao	sensacao	NOUN	NOUN	_	77	nmod	_	TokenRange=390:398
81	de	de	ADP	ADP	_	83	case	_	TokenRange=399:401
82	quase	quase	ADV	ADV	_	83	advmod	_	TokenRange=402:407
83	50c	_	NUM	NUM	NumType=Card	80	nmod	_	TokenRange=408:411
84-85	da	_	_	_	_	_	_	_	TokenRange=412:414
84	de	de	ADP	ADP	_	87	case	_	_
85	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	87	det	_	_
86	pouca	_	DET	DET	_	87	det	_	TokenRange=415:420
87	chuva	chuva	NOUN	NOUN	_	83	nmod	_	TokenRange=421:426
88	e	e	CCONJ	CONJ	_	91	cc	_	TokenRange=427:428
89-90	do	_	_	_	_	_	_	_	TokenRange=429:431
89	de	de	ADP	ADP	_	91	case	_	_
