# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = eleicao na camara abre disputa por cargos da mesa diretora alem da movimentacao dos candidatos a presidencia da casa partidos ja articulam ocupacao de outros cargos estrategicos bancadas iniciaram 2017 em rota de colisao por conta da disputa enquanto os precandidatos a presidencia da camara se movimentam durante o recesso em busca dos votos dos colegas os partidos que ocupam cadeiras na casa abriram uma disputa que envolve outros cargos da mesa diretora considerados estrategicos para as atividades e para o jogo de poder legislativo no dia 2 de fevereiro os deputados se reunirao no plenario para definir a nova composicao da mesa diretora alem da presidencia da camara estao em jogo os cargos de primeiro e segundo vicepresidentes alem do comando de quatro secretarias e quatro vagas de suplentes de secretarios as primeiras movimentacoes das bancadas da camara em torno desses postos de direcao indicam que a definicao dos novos integrantes da mesa diretora nao
1	eleicao	eleicao	NOUN	NOUN	_	5	nsubj	_	TokenRange=0:7
2-3	na	_	_	_	_	_	_	_	TokenRange=8:10
2	em	em	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	camara	camara	NOUN	NOUN	_	1	nmod	_	TokenRange=11:17
5	abre	abrir	VERB	VERB	_	0	root	_	TokenRange=18:22
6	disputa	disputa	NOUN	NOUN	_	5	obj	_	TokenRange=23:30
7	por	por	ADP	ADP	_	8	case	_	TokenRange=31:34
8	cargos	cargo	NOUN	NOUN	_	6	nmod	_	TokenRange=35:41
9-10	da	_	_	_	_	_	_	_	TokenRange=42:44
9	de	de	ADP	ADP	_	11	case	_	_
10	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	11	det	_	_
11	mesa	mesa	NOUN	NOUN	_	8	nmod	_	TokenRange=45:49
12	diretora	diretor	ADJ	ADJ	_	11	amod	_	TokenRange=50:58
13	alem	alem	ADV	ADV	_	5	advmod	_	TokenRange=59:63
14-15	da	_	_	_	_	_	_	_	TokenRange=64:66
14	de	de	ADP	ADP	_	16	case	_	_
15	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	16	det	_	_
16	movimentacao	movimentacao	NOUN	NOUN	_	13	nmod	_	TokenRange=67:79
17-18	dos	_	_	_	_	_	_	_	TokenRange=80:83
17	de	de	ADP	ADP	_	19	case	_	_
18	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	19	det	_	_
19	candidatos	candidato	NOUN	NOUN	_	16	nmod	_	TokenRange=84:94
20	a	_	ADP	ADP	_	21	case	_	TokenRange=95:96
21	presidencia	presidencia	NOUN	NOUN	_	19	nmod	_	TokenRange=97:108
22-23	da	_	_	_	_	_	_	_	TokenRange=109:111
22	de	de	ADP	ADP	_	24	case	_	_
23	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	24	det	_	_
24	casa	casa	NOUN	NOUN	_	21	nmod	_	TokenRange=112:116
25	partidos	partido	NOUN	NOUN	_	27	nsubj	_	TokenRange=117:125
26	ja	ja	ADV	ADV	_	27	advmod	_	TokenRange=126:128
27	articulam	articular	VERB	VERB	_	5	parataxis	_	TokenRange=129:138
28	ocupacao	ocupacao	NOUN	NOUN	_	27	obj	_	TokenRange=139:147
29	de	de	ADP	ADP	_	31	case	_	TokenRange=148:150
30	outros	_	DET	DET	_	31	det	_	TokenRange=151:157
31	cargos	cargo	NOUN	NOUN	_	28	nmod	_	TokenRange=158:164
32	estrategicos	estrategico	ADJ	ADJ	_	31	amod	_	TokenRange=165:177
33	bancadas	bancada	NOUN	NOUN	_	31	appos	_	TokenRange=178:186
34	iniciaram	iniciar	VERB	VERB	_	5	parataxis	_	TokenRange=187:196
35	2017	_	NUM	NUM	NumType=Card	34	nmod	_	TokenRange=197:201
36	em	em	ADP	ADP	_	37	case	_	TokenRange=202:204
37	rota	rota	NOUN	NOUN	_	34	nmod	_	TokenRange=205:209
38	de	de	ADP	ADP	_	39	case	_	TokenRange=210:212
39	colisao	colisao	NOUN	NOUN	_	37	nmod	_	TokenRange=213:220
40	por	por	ADP	ADP	_	44	case	_	TokenRange=221:224
41	conta	conta	NOUN	NOUN	_	40	fixed	_	TokenRange=225:230
42-43	da	_	_	_	_	_	_	_	TokenRange=231:233
42	de	de	ADP	ADP	_	40	case	_	_
43	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	40	det	_	_
44	disputa	disputa	NOUN	NOUN	_	34	nmod	_	TokenRange=234:241
45	enquanto	_	CCONJ	CONJ	_	54	mark	_	TokenRange=242:250
46	os	o	DET	DET	_	47	det	_	TokenRange=251:253
47	precandidatos	precandidato	NOUN	NOUN	_	54	nsubj	_	TokenRange=254:267
48	a	_	ADP	ADP	_	49	case	_	TokenRange=268:269
49	presidencia	presidencia	NOUN	NOUN	_	47	nmod	_	TokenRange=270:281
50-51	da	_	_	_	_	_	_	_	TokenRange=282:284
50	de	de	ADP	ADP	_	52	case	_	_
51	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	52	det	_	_
52	camara	camara	NOUN	NOUN	_	49	nmod	_	TokenRange=285:291
53	se	_	PRON	PRON	_	54	obj	_	TokenRange=292:294
54	movimentam	movimentar	VERB	VERB	_	34	advcl	_	TokenRange=295:305
55	durante	_	ADP	ADP	_	57	case	_	TokenRange=306:313
56	o	o	DET	DET	_	57	det	_	TokenRange=314:315
57	recesso	recesso	NOUN	NOUN	_	54	nmod	_	TokenRange=316:323
58	em	em	ADP	ADP	_	59	case	_	TokenRange=324:326
59	busca	busca	NOUN	NOUN	_	54	nmod	_	TokenRange=327:332
60-61	dos	_	_	_	_	_	_	_	TokenRange=333:336
60	de	de	ADP	ADP	_	62	case	_	_
61	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	62	det	_	_
62	votos	voto	NOUN	NOUN	_	59	nmod	_	TokenRange=337:342
63-64	dos	_	_	_	_	_	_	_	TokenRange=343:346
