# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba o que esta em jogo nas eleicoes desta semana na camara e no senado senadores elegem presidente na proxima quarta 1 deputados na quinta 2 alem de status e poder politico comandantes das duas casas tem regalias e lugar na linha sucessoria da presidencia poder politico regalias e um lugar na linha de sucessao da presidencia da republica essas sao algumas das motivacoes da disputa que definira nesta semana quem comandara a camara e o senado pelos proximos dois anos os senadores escolherao o sucessor de renan calheiros pmdbal na quartafeira 1 os deputados elegem o presidente da casa na quinta 2 na camara a batalha pelo comando da mesa diretora colocou em trincheiras opostas aliados do presidente michel temer e ameaca corroer a coesao da base aliada do palacio do planalto atual presidente
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
2	o	_	PRON	PRON	_	1	obj	_	TokenRange=6:7
3	que	_	PRON	PRON	_	4	nsubj	_	TokenRange=8:11
4	esta	_	VERB	VERB	_	2	acl:relcl	_	TokenRange=12:16
5	em	em	ADP	ADP	_	6	case	_	TokenRange=17:19
6	jogo	jogo	NOUN	NOUN	_	4	nmod	_	TokenRange=20:24
7-8	nas	_	_	_	_	_	_	_	TokenRange=25:28
7	em	em	ADP	ADP	_	9	case	_	_
8	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	9	det	_	_
9	eleicoes	eleicoe	NOUN	NOUN	_	6	nmod	_	TokenRange=29:37
10	desta	_	ADP	ADP	_	11	case	_	TokenRange=38:43
11	semana	semana	NOUN	NOUN	_	9	nmod	_	TokenRange=44:50
12-13	na	_	_	_	_	_	_	_	TokenRange=51:53
12	em	em	ADP	ADP	_	14	case	_	_
13	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	14	det	_	_
14	camara	camara	NOUN	NOUN	_	9	nmod	_	TokenRange=54:60
15	e	e	CCONJ	CONJ	_	18	cc	_	TokenRange=61:62
16-17	no	_	_	_	_	_	_	_	TokenRange=63:65
16	em	em	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	senado	senado	NOUN	NOUN	_	14	conj	_	TokenRange=66:72
