# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja os chefes de estado destituidos ou forcados a renunciar ao cargo park geunhye entrou nesta sextafeira 10 para a longa lista de chefes de estado que foram afastados do poder apos enfrentar um processo de impeachment a sulcoreana park geunhye entrou nesta sextafeira 10 para a longa lista de chefes de estado que foram afastados do poder apos enfrentar um processo de destituicao um destino compartilhado com dilma rousseff alberto fujimori e fernando lugo entre outros brasil a presidente dilma rousseff eleita em 2010 foi destituida em 31 de agosto de 2016 por
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	os	o	DET	DET	_	3	det	_	TokenRange=5:7
3	chefes	chefe	NOUN	NOUN	_	1	obj	_	TokenRange=8:14
4	de	de	ADP	ADP	_	5	case	_	TokenRange=15:17
5	estado	estado	NOUN	NOUN	_	3	nmod	_	TokenRange=18:24
6	destituidos	destituido	ADJ	ADJ	_	3	amod	_	TokenRange=25:36
7	ou	ou	CCONJ	CONJ	_	8	cc	_	TokenRange=37:39
8	forcados	forcar	VERB	VERB	_	6	conj	_	TokenRange=40:48
9	a	_	ADP	ADP	_	10	mark	_	TokenRange=49:50
10	renunciar	renunciar	VERB	VERB	_	8	nmod	_	TokenRange=51:60
11-12	ao	_	_	_	_	_	_	_	TokenRange=61:63
11	a	a	ADP	ADP	_	13	case	_	_
12	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	cargo	cargo	NOUN	NOUN	_	10	nmod	_	TokenRange=64:69
14	park	_	NOUN	NOUN	_	16	nsubj	_	TokenRange=70:74
15	geunhye	_	NOUN	NOUN	_	14	flat	_	TokenRange=75:82
16	entrou	entrar	VERB	VERB	_	1	parataxis	_	TokenRange=83:89
17	nesta	_	ADP	ADP	_	18	case	_	TokenRange=90:95
18	sextafeira	_	PROPN	PNOUN	_	16	nmod	_	TokenRange=96:106
19	10	_	NUM	NUM	NumType=Card	18	nmod	_	TokenRange=107:109
20	para	para	ADP	ADP	_	23	case	_	TokenRange=110:114
21	a	o	DET	DET	_	23	det	_	TokenRange=115:116
22	longa	longo	ADJ	ADJ	_	23	amod	_	TokenRange=117:122
23	lista	lista	NOUN	NOUN	_	16	nmod	_	TokenRange=123:128
24	de	de	ADP	ADP	_	25	case	_	TokenRange=129:131
25	chefes	chefe	NOUN	NOUN	_	23	nmod	_	TokenRange=132:138
26	de	de	ADP	ADP	_	27	case	_	TokenRange=139:141
27	estado	estado	NOUN	NOUN	_	25	nmod	_	TokenRange=142:148
28	que	_	PRON	PRON	_	30	nsubj:pass	_	TokenRange=149:152
29	foram	_	AUX	AUX	_	30	aux:pass	_	TokenRange=153:158
30	afastados	afastar	VERB	VERB	_	25	acl:relcl	_	TokenRange=159:168
31-32	do	_	_	_	_	_	_	_	TokenRange=169:171
31	de	de	ADP	ADP	_	33	case	_	_
32	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	33	det	_	_
33	poder	poder	NOUN	NOUN	_	30	nmod	_	TokenRange=172:177
34	apos	_	ADP	ADP	_	35	mark	_	TokenRange=178:182
35	enfrentar	enfrentar	VERB	VERB	_	30	advcl	_	TokenRange=183:192
36	um	um	DET	DET	_	37	det	_	TokenRange=193:195
37	processo	processo	NOUN	NOUN	_	35	obj	_	TokenRange=196:204
38	de	de	ADP	ADP	_	39	case	_	TokenRange=205:207
39	impeachment	impeachment	NOUN	NOUN	_	37	nmod	_	TokenRange=208:219
40	a	o	DET	DET	_	41	det	_	TokenRange=220:221
41	sulcoreana	_	NOUN	NOUN	_	44	nsubj	_	TokenRange=222:232
42	park	_	NOUN	NOUN	_	41	appos	_	TokenRange=233:237
43	geunhye	_	NOUN	NOUN	_	42	flat	_	TokenRange=238:245
44	entrou	entrar	VERB	VERB	_	1	parataxis	_	TokenRange=246:252
45	nesta	_	ADP	ADP	_	46	case	_	TokenRange=253:258
46	sextafeira	_	NOUN	NOUN	_	44	nmod	_	TokenRange=259:269
47	10	_	NUM	NUM	NumType=Card	46	appos	_	TokenRange=270:272
48	para	para	ADP	ADP	_	51	case	_	TokenRange=273:277
49	a	o	DET	DET	_	51	det	_	TokenRange=278:279
50	longa	longo	ADJ	ADJ	_	51	amod	_	TokenRange=280:285
51	lista	lista	NOUN	NOUN	_	44	nmod	_	TokenRange=286:291
52	de	de	ADP	ADP	_	53	case	_	TokenRange=292:294
53	chefes	chefe	NOUN	NOUN	_	51	nmod	_	TokenRange=295:301
54	de	de	ADP	ADP	_	55	case	_	TokenRange=302:304
55	estado	estado	NOUN	NOUN	_	53	nmod	_	TokenRange=305:311
56	que	_	PRON	PRON	_	58	nsubj:pass	_	TokenRange=312:315
57	foram	_	AUX	AUX	_	58	aux:pass	_	TokenRange=316:321
58	afastados	afastar	VERB	VERB	_	53	acl:relcl	_	TokenRange=322:331
59-60	do	_	_	_	_	_	_	_	TokenRange=332:334
59	de	de	ADP	ADP	_	61	case	_	_
60	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	61	det	_	_
61	poder	poder	NOUN	NOUN	_	58	nmod	_	TokenRange=335:340
62	apos	_	ADP	ADP	_	63	mark	_	TokenRange=341:345
63	enfrentar	enfrentar	VERB	VERB	_	44	advcl	_	TokenRange=346:355
64	um	um	DET	DET	_	65	det	_	TokenRange=356:358
65	processo	processo	NOUN	NOUN	_	63	obj	_	TokenRange=359:367
66	de	de	ADP	ADP	_	67	case	_	TokenRange=368:370
67	destituicao	destituicao	NOUN	NOUN	_	65	nmod	_	TokenRange=371:382
68	um	um	DET	DET	_	69	det	_	TokenRange=383:385
69	destino	destino	NOUN	NOUN	_	63	obj	_	TokenRange=386:393
70	compartilhado	compartilhar	VERB	VERB	_	69	acl	_	TokenRange=394:407
71	com	com	ADP	ADP	_	72	case	_	TokenRange=408:411
72	dilma	dilma	NOUN	NOUN	_	70	nmod	_	TokenRange=412:417
73	rousseff	rousseff	NOUN	NOUN	_	72	flat	_	TokenRange=418:426
74	alberto	alberto	NOUN	NOUN	_	72	appos	_	TokenRange=427:434
75	fujimori	_	NOUN	NOUN	_	74	flat	_	TokenRange=435:443
76	e	e	CCONJ	CONJ	_	77	cc	_	TokenRange=444:445
77	fernando	fernando	NOUN	NOUN	_	74	conj	_	TokenRange=446:454
78	lugo	lugo	NOUN	NOUN	_	77	flat	_	TokenRange=455:459
79	entre	_	ADP	ADP	_	81	case	_	TokenRange=460:465
80	outros	_	DET	DET	_	81	det	_	TokenRange=466:472
81	brasil	brasil	NOUN	NOUN	_	70	nmod	_	TokenRange=473:479
82	a	o	DET	DET	_	83	det	_	TokenRange=480:481
83	presidente	presidente	NOUN	NOUN	_	90	nsubj:pass	_	TokenRange=482:492
84	dilma	dilma	ADJ	ADJ	_	83	appos	_	TokenRange=493:498
85	rousseff	rousseff	NOUN	NOUN	_	84	flat	_	TokenRange=499:507
86	eleita	eleger	VERB	VERB	_	83	acl	_	TokenRange=508:514
87	em	em	ADP	ADP	_	88	case	_	TokenRange=515:517
88	2010	_	NUM	NUM	NumType=Card	86	nmod	_	TokenRange=518:522
89	foi	_	AUX	AUX	_	90	aux:pass	_	TokenRange=523:526
90	destituida	destituir	VERB	VERB	_	44	parataxis	_	TokenRange=527:537
91	em	em	ADP	ADP	_	92	case	_	TokenRange=538:540
92	31	_	NUM	NUM	NumType=Card	90	nmod	_	TokenRange=541:543
93	de	de	ADP	ADP	_	94	case	_	TokenRange=544:546
94	agosto	_	PROPN	PNOUN	_	92	nmod	_	TokenRange=547:553
95	de	de	ADP	ADP	_	96	case	_	TokenRange=554:556
96	2016	_	NUM	NUM	NumType=Card	94	nmod	_	TokenRange=557:561
97	por	por	ADP	ADP	_	92	case	_	SpacesAfter=\s\s|TokenRange=562:565

