# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = quintafeira 16 de novembro de 2017 boa noite aqui estao as principais noticias para voce terminar o dia beminformado a cupula do pmdb na assembleia legislativa do rio esta presa o presidente da alerj jorge picciani e os deputados paulo melo e edson albertassi se entregaram a pf apos a justica decretar a prisao imediata dos parlamentares os tres sao suspeitos de usar os cargos para corrupcao e lavagem de
1	quintafeira	quintafeira	NOUN	NOUN	_	32	parataxis	_	TokenRange=0:11
2	16	_	NUM	NUM	NumType=Card	1	nmod	_	TokenRange=12:14
3	de	de	ADP	ADP	_	4	case	_	TokenRange=15:17
4	novembro	_	PROPN	PNOUN	_	2	nmod	_	TokenRange=18:26
5	de	de	ADP	ADP	_	6	case	_	TokenRange=27:29
6	2017	_	NUM	NUM	NumType=Card	4	nmod	_	TokenRange=30:34
7	boa	bom	ADJ	ADJ	_	8	amod	_	TokenRange=35:38
8	noite	noite	NOUN	NOUN	_	10	nsubj	_	TokenRange=39:44
9	aqui	aqui	ADV	ADV	_	10	advmod	_	TokenRange=45:49
10	estao	_	VERB	VERB	_	1	acl:relcl	_	TokenRange=50:55
11	as	o	DET	DET	_	13	det	_	TokenRange=56:58
12	principais	principal	ADJ	ADJ	_	13	amod	_	TokenRange=59:69
13	noticias	noticia	NOUN	NOUN	_	10	nsubj	_	TokenRange=70:78
14	para	_	ADP	ADP	_	16	mark	_	TokenRange=79:83
15	voce	_	PRON	PRON	_	16	nsubj	_	TokenRange=84:88
16	terminar	terminar	VERB	VERB	_	13	nmod	_	TokenRange=89:97
17	o	o	DET	DET	_	18	det	_	TokenRange=98:99
18	dia	dia	NOUN	NOUN	_	16	obj	_	TokenRange=100:103
19	beminformado	beminformado	ADJ	ADJ	_	18	amod	_	TokenRange=104:116
20	a	o	DET	DET	_	21	det	_	TokenRange=117:118
21	cupula	cupula	NOUN	NOUN	_	32	nsubj	_	TokenRange=119:125
22-23	do	_	_	_	_	_	_	_	TokenRange=126:128
22	de	de	ADP	ADP	_	24	case	_	_
23	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	24	det	_	_
24	pmdb	_	NOUN	NOUN	_	21	nmod	_	TokenRange=129:133
