# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ficou longe das noticias no fim de ano veja o que aconteceu no brasil e no mundo se voce se desligou entre o natal e o reveillon veja um resumo para comecar o ano beminformado entre o peru com farofa de natal e os fogos com espumante do ano novo voce pode nao ter lido que ja deu para entender a dinamica ne muita coisa aconteceu mas falta muito para resolver em 2018 entenda melhor os assuntos dos ultimos dias para comecar o ano bem informado o salario minimo sobe para r 954 em 2018 o aumento e de r 17 em relacao a 2017 o indice de reajuste e o menor desde 1994 a correcao tem uma formula que considera o pib de dois anos antes e a variacao de precos para o consumidor de 2017 a mega da virada de 2017 para 2018 teve 17 apostas vencedoras que levarao r 18 milhoes cada uma os ganhadores dividirao o premio de r 30671874371 cada uma levara exatamente r 1804227904 eles estao em sao paulo 6 apostas 4 na capital e 2 em guarulhos bahia 3 apostas prado urucuca e cruz das almas parana 2 apostas sao joao do triunfo e rio azul minas gerais 2 apostas carmo do cajuru e contagem rio de
1	ficou	ficar	VERB	VERB	_	0	root	_	TokenRange=0:5
2	longe	longe	ADV	ADV	_	1	advmod	_	TokenRange=6:11
3-4	das	_	_	_	_	_	_	_	TokenRange=12:15
3	de	de	ADP	ADP	_	5	case	_	_
4	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	5	det	_	_
5	noticias	noticia	NOUN	NOUN	_	2	nmod	_	TokenRange=16:24
6-7	no	_	_	_	_	_	_	_	TokenRange=25:27
6	em	em	ADP	ADP	_	8	case	_	_
7	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	8	det	_	_
8	fim	fim	NOUN	NOUN	_	1	nmod	_	TokenRange=28:31
9	de	de	ADP	ADP	_	10	case	_	TokenRange=32:34
10	ano	ano	NOUN	NOUN	_	8	nmod	_	TokenRange=35:38
11	veja	ver	VERB	VERB	_	1	parataxis	_	TokenRange=39:43
12	o	_	PRON	PRON	_	11	obj	_	TokenRange=44:45
13	que	_	PRON	PRON	_	14	nsubj	_	TokenRange=46:49
14	aconteceu	acontecer	VERB	VERB	_	12	acl:relcl	_	TokenRange=50:59
15-16	no	_	_	_	_	_	_	_	TokenRange=60:62
15	em	em	ADP	ADP	_	17	case	_	_
16	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	17	det	_	_
17	brasil	brasil	NOUN	NOUN	_	14	nmod	_	TokenRange=63:69
18	e	e	CCONJ	CONJ	_	21	cc	_	TokenRange=70:71
19-20	no	_	_	_	_	_	_	_	TokenRange=72:74
19	em	em	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	mundo	mundo	NOUN	NOUN	_	17	conj	_	TokenRange=75:80
22	se	_	CCONJ	CONJ	_	25	mark	_	TokenRange=81:83
23	voce	_	PRON	PRON	_	25	nsubj	_	TokenRange=84:88
24	se	_	PRON	PRON	_	25	obj	_	TokenRange=89:91
25	desligou	desligar	VERB	VERB	_	32	advcl	_	TokenRange=92:100
26	entre	_	ADP	ADP	_	28	case	_	TokenRange=101:106
27	o	o	DET	DET	_	28	det	_	TokenRange=107:108
28	natal	_	PROPN	PNOUN	_	25	nmod	_	TokenRange=109:114
29	e	e	CCONJ	CONJ	_	31	cc	_	TokenRange=115:116
30	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	31	det	_	TokenRange=117:118
31	reveillon	_	NOUN	NOUN	_	28	conj	_	TokenRange=119:128
32	veja	ver	VERB	VERB	_	1	conj	_	TokenRange=129:133
33	um	um	DET	DET	_	34	det	_	TokenRange=134:136
34	resumo	resumo	NOUN	NOUN	_	32	obj	_	TokenRange=137:143
35	para	_	ADP	ADP	_	36	mark	_	TokenRange=144:148
36	comecar	comecar	VERB	VERB	_	34	nmod	_	TokenRange=149:156
37	o	o	DET	DET	_	38	det	_	TokenRange=157:158
38	ano	ano	NOUN	NOUN	_	36	obj	_	TokenRange=159:162
39	beminformado	beminformado	ADJ	ADJ	_	38	amod	_	TokenRange=163:175
40	entre	_	ADP	ADP	_	42	case	_	TokenRange=176:181
41	o	o	DET	DET	_	42	det	_	TokenRange=182:183
42	peru	_	NOUN	NOUN	_	36	nmod	_	TokenRange=184:188
43	com	com	ADP	ADP	_	44	case	_	TokenRange=189:192
44	farofa	farofa	NOUN	NOUN	_	42	nmod	_	TokenRange=193:199
45	de	de	ADP	ADP	_	46	case	_	TokenRange=200:202
46	natal	_	PROPN	PNOUN	_	44	nmod	_	TokenRange=203:208
47	e	e	CCONJ	CONJ	_	49	cc	_	TokenRange=209:210
48	os	o	DET	DET	_	49	det	_	TokenRange=211:213
49	fogos	fogo	NOUN	NOUN	_	44	conj	_	TokenRange=214:219
50	com	com	ADP	ADP	_	51	case	_	TokenRange=220:223
51	espumante	espumante	NOUN	NOUN	_	166	nmod	_	TokenRange=224:233
52-53	do	_	_	_	_	_	_	_	TokenRange=234:236
52	de	de	ADP	ADP	_	54	case	_	_
53	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	54	det	_	_
54	ano	ano	NOUN	NOUN	_	51	nmod	_	TokenRange=237:240
55	novo	novo	ADJ	ADJ	_	54	amod	_	TokenRange=241:245
56	voce	_	PRON	PRON	_	60	nsubj	_	TokenRange=246:250
57	pode	_	AUX	AUX	_	60	aux	_	TokenRange=251:255
58	nao	nao	ADV	ADV	Polarity=Neg	60	advmod	_	TokenRange=256:259
59	ter	ter	AUX	AUX	_	60	aux	_	TokenRange=260:263
60	lido	_	VERB	VERB	_	1	parataxis	_	TokenRange=264:268
61	que	que	CCONJ	CONJ	_	63	mark	_	TokenRange=269:272
62	ja	ja	ADV	ADV	_	63	advmod	_	TokenRange=273:275
63	deu	dar	VERB	VERB	_	60	ccomp	_	TokenRange=276:279
64	para	_	ADP	ADP	_	65	mark	_	TokenRange=280:284
65	entender	entender	VERB	VERB	_	63	advcl	_	TokenRange=285:293
66	a	o	DET	DET	_	67	det	_	TokenRange=294:295
67	dinamica	_	NOUN	NOUN	_	65	obj	_	TokenRange=296:304
68	ne	_	CCONJ	CONJ	_	71	mark	_	TokenRange=305:307
69	muita	_	DET	DET	_	70	det	_	TokenRange=308:313
70	coisa	coisa	NOUN	NOUN	_	71	nsubj	_	TokenRange=314:319
71	aconteceu	acontecer	VERB	VERB	_	179	advcl	_	TokenRange=320:329
72	mas	mas	CCONJ	CONJ	_	73	cc	_	TokenRange=330:333
73	falta	faltar	VERB	VERB	_	60	conj	_	TokenRange=334:339
74	muito	muito	ADV	ADV	_	73	nsubj	_	TokenRange=340:345
75	para	_	ADP	ADP	_	76	mark	_	TokenRange=346:350
76	resolver	resolver	VERB	VERB	_	73	nmod	_	TokenRange=351:359
77	em	em	ADP	ADP	_	78	case	_	TokenRange=360:362
78	2018	_	NUM	NUM	NumType=Card	76	nmod	_	TokenRange=363:367
79	entenda	entender	VERB	VERB	_	63	conj	_	TokenRange=368:375
80	melhor	melhor	ADV	ADV	_	79	advmod	_	TokenRange=376:382
81	os	o	DET	DET	_	82	det	_	TokenRange=383:385
82	assuntos	assunto	NOUN	NOUN	_	79	obj	_	TokenRange=386:394
83-84	dos	_	_	_	_	_	_	_	TokenRange=395:398
83	de	de	ADP	ADP	_	86	case	_	_
84	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	86	det	_	_
85	ultimos	ultimo	ADJ	ADJ	_	86	amod	_	TokenRange=399:406
86	dias	dia	NOUN	NOUN	_	82	nmod	_	TokenRange=407:411
87	para	_	ADP	ADP	_	88	mark	_	TokenRange=412:416
88	comecar	comecar	VERB	VERB	_	205	nmod	_	TokenRange=417:424
89	o	o	DET	DET	_	90	det	_	TokenRange=425:426
90	ano	ano	NOUN	NOUN	_	88	obj	_	TokenRange=427:430
91	bem	bem	ADV	ADV	_	92	advmod	_	TokenRange=431:434
92	informado	informado	ADJ	ADJ	_	90	amod	_	TokenRange=435:444
93	o	o	DET	DET	_	94	det	_	TokenRange=445:446
94	salario	salario	NOUN	NOUN	_	96	nsubj	_	TokenRange=447:454
95	minimo	minimo	ADJ	ADJ	_	94	amod	_	TokenRange=455:461
96	sobe	subir	VERB	VERB	_	79	parataxis	_	TokenRange=462:466
97	para	para	ADP	ADP	_	98	case	_	TokenRange=467:471
98	r	r	NOUN	NOUN	_	96	nmod	_	TokenRange=472:473
99	954	_	NUM	NUM	NumType=Card	98	appos	_	TokenRange=474:477
100	em	em	ADP	ADP	_	101	case	_	TokenRange=478:480
