# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ao g20 ocde volta a ressaltar importancia de reformas globais em 2018 organizacao para cooperacao e desenvolvimento economico ocde recomendou menor distorcao fiscal e que o brasil reduza barreiras comerciais londres a organizacao para cooperacao e desenvolvimento economico ocde volta a ressaltar a necessidade de reformas de politica economica em todo o mundo em 2018 no relatorio going for growth a caminho do crescimento que foi apresentado nesta segundafeira 19 em buenos aires aos presidentes de bancos centrais e ministro das financas do g20 grupo das 20 maiores economias do globo a instituicao que tem sede em paris analisa o que os paises fizeram em termos de reformas para impulsionar o crescimento de longo prazo melhorar a competitividade e a produtividade criar empregos e garantir ganhos economicos que
1-2	ao	_	_	_	_	_	_	_	TokenRange=0:2
1	a	a	ADP	ADP	_	3	case	_	_
2	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	3	det	_	_
3	g20	g20	NOUN	NOUN	_	7	nmod	_	TokenRange=3:6
4	ocde	ocde	NOUN	NOUN	_	3	appos	_	TokenRange=7:11
5	volta	voltar	AUX	AUX	_	7	aux	_	TokenRange=12:17
6	a	_	ADP	ADP	_	7	mark	_	TokenRange=18:19
7	ressaltar	ressaltar	VERB	VERB	_	0	root	_	TokenRange=20:29
8	importancia	importancia	NOUN	NOUN	_	7	obj	_	TokenRange=30:41
9	de	de	ADP	ADP	_	10	case	_	TokenRange=42:44
10	reformas	reforma	NOUN	NOUN	_	8	nmod	_	TokenRange=45:53
11	globais	global	ADJ	ADJ	_	10	amod	_	TokenRange=54:61
12	em	em	ADP	ADP	_	13	case	_	TokenRange=62:64
13	2018	_	NUM	NUM	NumType=Card	7	nmod	_	TokenRange=65:69
14	organizacao	organizacao	NOUN	NOUN	_	7	nsubj	_	TokenRange=70:81
15	para	para	ADP	ADP	_	16	case	_	TokenRange=82:86
16	cooperacao	cooperacao	NOUN	NOUN	_	14	nmod	_	TokenRange=87:97
17	e	e	CCONJ	CONJ	_	18	cc	_	TokenRange=98:99
18	desenvolvimento	desenvolvimento	NOUN	NOUN	_	16	conj	_	TokenRange=100:115
19	economico	economico	ADJ	ADJ	_	18	amod	_	TokenRange=116:125
20	ocde	ocde	NOUN	NOUN	_	21	nsubj	_	TokenRange=126:130
21	recomendou	recomendar	VERB	VERB	_	7	parataxis	_	TokenRange=131:141
22	menor	menor	ADJ	ADJ	_	23	amod	_	TokenRange=142:147
23	distorcao	distorcao	NOUN	NOUN	_	21	obj	_	TokenRange=148:157
24	fiscal	fiscal	ADJ	ADJ	_	23	amod	_	TokenRange=158:164
25	e	e	CCONJ	CONJ	_	29	cc	_	TokenRange=165:166
26	que	que	CCONJ	CONJ	_	29	mark	_	TokenRange=167:170
27	o	o	DET	DET	_	28	det	_	TokenRange=171:172
28	brasil	brasil	NOUN	NOUN	_	29	nsubj	_	TokenRange=173:179
29	reduza	reduzir	VERB	VERB	_	21	conj	_	TokenRange=180:186
30	barreiras	barreira	NOUN	NOUN	_	29	obj	_	TokenRange=187:196
31	comerciais	comercial	ADJ	ADJ	_	30	amod	_	TokenRange=197:207
32	londres	londr	ADJ	ADJ	_	29	xcomp	_	TokenRange=208:215
33	a	o	DET	DET	_	34	det	_	TokenRange=216:217
34	organizacao	organizacao	NOUN	NOUN	_	43	nsubj	_	TokenRange=218:229
35	para	para	ADP	ADP	_	36	case	_	TokenRange=230:234
36	cooperacao	cooperacao	NOUN	NOUN	_	34	nmod	_	TokenRange=235:245
37	e	e	CCONJ	CONJ	_	38	cc	_	TokenRange=246:247
38	desenvolvimento	desenvolvimento	NOUN	NOUN	_	36	conj	_	TokenRange=248:263
39	economico	economico	ADJ	ADJ	_	38	amod	_	TokenRange=264:273
40	ocde	ocde	NOUN	NOUN	_	43	nsubj	_	TokenRange=274:278
41	volta	voltar	AUX	AUX	_	43	aux	_	TokenRange=279:284
42	a	_	ADP	ADP	_	43	mark	_	TokenRange=285:286
43	ressaltar	ressaltar	VERB	VERB	_	7	parataxis	_	TokenRange=287:296
44	a	o	DET	DET	_	45	det	_	TokenRange=297:298
45	necessidade	necessidade	NOUN	NOUN	_	43	obj	_	TokenRange=299:310
46	de	de	ADP	ADP	_	47	case	_	TokenRange=311:313
47	reformas	reforma	NOUN	NOUN	_	45	nmod	_	TokenRange=314:322
48	de	de	ADP	ADP	_	49	case	_	TokenRange=323:325
49	politica	_	NOUN	NOUN	_	47	nmod	_	TokenRange=326:334
50	economica	economico	ADJ	ADJ	_	49	amod	_	TokenRange=335:344
51	em	em	ADP	ADP	_	54	case	_	TokenRange=345:347
52	todo	_	DET	DET	_	54	det	_	TokenRange=348:352
53	o	o	DET	DET	_	54	det	_	TokenRange=353:354
54	mundo	mundo	NOUN	NOUN	_	47	nmod	_	TokenRange=355:360
