# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba como foi a semana na economia reducao da taxa basica de juros resultado do pib e acordo de leniencia firmado pela jbs foram destaques conforme esperado pelos economistas o banco central reduziu a selic a taxa basica de juros em 1 ponto porcentual outro resultado esperado era do produto interno bruto pib do brasil que registrou alta apos oito trimestres no vermelho confira a seguir um resumo dos acontecimentos mais relevantes dos ultimos dias pib sobe 1 no 1 trimestre o produto interno bruto pib brasileiro cresceu 1 no primeiro trimestre deste ano em relacao ao quarto trimestre de 2016 interrompendo um ciclo de oito quedas trimestrais consecutivas informou o instituto brasileiro de geografia e estatistica ibge ainda segundo o instituto o pib do primeiro trimestre do ano totalizou r 1594 trilhao na avaliacao de economistas ainda e cedo para dizer que o brasil saiu da recessao pois os resultados dos proximos trimestres ainda poderao ser estaveis e sofrer pequena variacao leia mais pib do brasil ocupa ultima posicao em ranking com 39 paises novo corte na taxa basica de juros em meio as duvidas sobre o futuro do governo michel temer o banco central reduziu a selic os juros basicos da economia em 1 ponto porcentual de 1125 para 1025 ao ano e a menor taxa desde o fim de 2013 a decisao era esperada pelo mercado financeiro que via pouco espaco para uma reducao maior dos juros em funcao da crise politica jbs e investigada pela cvm e fecha maior acordo de leniencia da historia a comissao de valores mobiliarios cvm orgao regulador do mercado de capitais
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
2	como	como	ADV	ADV	_	3	mark	_	TokenRange=6:10
3	foi	_	VERB	VERB	_	1	advcl	_	TokenRange=11:14
4	a	o	DET	DET	_	5	det	_	TokenRange=15:16
5	semana	semana	NOUN	NOUN	_	3	nsubj	_	TokenRange=17:23
6-7	na	_	_	_	_	_	_	_	TokenRange=24:26
6	em	em	ADP	ADP	_	8	case	_	_
7	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	8	det	_	_
8	economia	economia	NOUN	NOUN	_	5	nmod	_	TokenRange=27:35
9	reducao	reducao	NOUN	NOUN	_	29	nsubj	_	TokenRange=36:43
10-11	da	_	_	_	_	_	_	_	TokenRange=44:46
10	de	de	ADP	ADP	_	12	case	_	_
11	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	12	det	_	_
12	taxa	taxa	NOUN	NOUN	_	9	nmod	_	TokenRange=47:51
13	basica	basico	ADJ	ADJ	_	12	amod	_	TokenRange=52:58
14	de	de	ADP	ADP	_	15	case	_	TokenRange=59:61
15	juros	juro	NOUN	NOUN	_	12	nmod	_	TokenRange=62:67
16	resultado	resultado	NOUN	NOUN	_	29	nsubj	_	TokenRange=68:77
17-18	do	_	_	_	_	_	_	_	TokenRange=78:80
17	de	de	ADP	ADP	_	19	case	_	_
18	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	19	det	_	_
19	pib	pib	NOUN	NOUN	_	16	nmod	_	TokenRange=81:84
20	e	e	CCONJ	CONJ	_	21	cc	_	TokenRange=85:86
21	acordo	acordo	NOUN	NOUN	_	16	conj	_	TokenRange=87:93
22	de	de	ADP	ADP	_	23	case	_	TokenRange=94:96
23	leniencia	leniencia	NOUN	NOUN	_	21	nmod	_	TokenRange=97:106
24	firmado	firmar	VERB	VERB	_	21	acl	_	TokenRange=107:114
25-26	pela	_	_	_	_	_	_	_	TokenRange=115:119
25	por	por	ADP	ADP	_	27	case	_	_
26	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	27	det	_	_
27	jbs	_	NOUN	NOUN	_	24	nmod	_	TokenRange=120:123
28	foram	_	AUX	AUX	_	29	cop	_	TokenRange=124:129
29	destaques	destaque	NOUN	NOUN	_	1	ccomp	_	TokenRange=130:139
30	conforme	_	CCONJ	CONJ	_	31	mark	_	TokenRange=140:148
31	esperado	esperar	VERB	VERB	_	29	acl	_	TokenRange=149:157
32-33	pelos	_	_	_	_	_	_	_	TokenRange=158:163
32	por	por	ADP	ADP	_	34	case	_	_
33	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	34	det	_	_
34	economistas	economista	NOUN	NOUN	_	31	nmod	_	TokenRange=164:175
35	o	o	DET	DET	_	36	det	_	TokenRange=176:177
36	banco	banco	NOUN	NOUN	_	38	nsubj	_	TokenRange=178:183
37	central	central	ADJ	ADJ	_	36	amod	_	TokenRange=184:191
38	reduziu	reduzir	VERB	VERB	_	29	advcl	_	TokenRange=192:199
39	a	_	ADP	ADP	_	40	case	_	TokenRange=200:201
40	selic	selic	NOUN	NOUN	_	38	nmod	_	TokenRange=202:207
41	a	o	DET	DET	_	42	det	_	TokenRange=208:209
42	taxa	taxa	NOUN	NOUN	_	38	obj	_	TokenRange=210:214
43	basica	basico	ADJ	ADJ	_	42	amod	_	TokenRange=215:221
44	de	de	ADP	ADP	_	45	case	_	TokenRange=222:224
45	juros	juro	NOUN	NOUN	_	42	nmod	_	TokenRange=225:230
46	em	em	ADP	ADP	_	48	case	_	TokenRange=231:233
47	1	_	NUM	NUM	NumType=Card	48	nummod	_	TokenRange=234:235
48	ponto	ponto	NOUN	NOUN	_	38	nmod	_	TokenRange=236:241
49	porcentual	porcentual	ADJ	ADJ	_	48	amod	_	TokenRange=242:252
50	outro	_	DET	DET	_	216	det	_	TokenRange=253:258
51	resultado	resultado	NOUN	NOUN	_	218	nsubj	_	TokenRange=259:268
52	esperado	esperar	VERB	VERB	_	51	acl	_	TokenRange=269:277
53	era	_	VERB	VERB	_	29	acl:relcl	_	TokenRange=278:281
54-55	do	_	_	_	_	_	_	_	TokenRange=282:284
54	de	de	ADP	ADP	_	56	case	_	_
