# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na minha travessia da infancia para a adolescencia internado no instituto redentorista santos anjos em bodocongo campina grande paraiba eu morria de saudade de minha casa paterna a 360 quilometros de distancia do seminario em pleno sertao e por incrivel que pareca meu lenitivo musical ainda nao era luiz gonzaga o rei do baiao jackson do pandeiro o bamba do coco ou ainda genival lacerda seu vava o democratico senador do rojao mas sim uma cancao de dominio publico norteamericana que desafinado como sempre cantava fazendo a segunda voz do coro nas festas mundanas do internato seu titulo greenfield nao os campos do sertao normalmente eram ressequidos e cinzentos nada tendo que ver com o verde da nostalgica cancao folclorica dos ianques mas sempre me bate uma saudade dolente quando a ouco nao tanto mais agora que os agentes policiais e procuradores federais recorreram ao titulo para batizar mais uma daquelas equipes de tarefas policiaisjudiciais com que se pretende por fim ao descalabro da corrupcao no servico publico nacional informa o novo pai dos inocentes o google que ela foi deflagrada em 5 de setembro de 2016
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	4	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
3	minha	_	DET	DET	_	4	det:poss	_	TokenRange=3:8
4	travessia	travessia	NOUN	NOUN	_	24	nmod	_	TokenRange=9:18
5-6	da	_	_	_	_	_	_	_	TokenRange=19:21
5	de	de	ADP	ADP	_	7	case	_	_
6	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	7	det	_	_
7	infancia	infancia	NOUN	NOUN	_	4	nmod	_	TokenRange=22:30
8	para	para	ADP	ADP	_	10	case	_	TokenRange=31:35
9	a	o	DET	DET	_	10	det	_	TokenRange=36:37
10	adolescencia	adolescencia	NOUN	NOUN	_	7	nmod	_	TokenRange=38:50
11	internado	internar	VERB	VERB	_	4	acl	_	TokenRange=51:60
12-13	no	_	_	_	_	_	_	_	TokenRange=61:63
12	em	em	ADP	ADP	_	14	case	_	_
13	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	14	det	_	_
14	instituto	instituto	NOUN	NOUN	_	11	nmod	_	TokenRange=64:73
15	redentorista	redentorista	ADJ	ADJ	_	14	amod	_	TokenRange=74:86
16	santos	santo	ADJ	ADJ	_	14	appos	_	TokenRange=87:93
17	anjos	anjo	NOUN	NOUN	_	14	appos	_	TokenRange=94:99
18	em	em	ADP	ADP	_	19	case	_	TokenRange=100:102
19	bodocongo	bodocongo	NOUN	NOUN	_	11	nmod	_	TokenRange=103:112
20	campina	campina	NOUN	NOUN	_	19	appos	_	TokenRange=113:120
21	grande	grande	ADJ	ADJ	_	19	amod	_	TokenRange=121:127
22	paraiba	paraiba	NOUN	NOUN	_	19	appos	_	TokenRange=128:135
23	eu	_	PRON	PRON	_	24	nsubj	_	TokenRange=136:138
24	morria	morrer	VERB	VERB	_	0	root	_	TokenRange=139:145
