# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = economia imigracao popularidade o 1 ano de governo trump em seis graficos presidente dos estados unidos afirmou que sua gestao representou um avanco incrivel sera que os fatos confirmam a declaracao veja a analise da nova gestao em diversas areas donald trump tomou posse como presidente dos estados unidos ha um ano prometendo mudar a cara da politica americana e transferir o poder de volta ao povo mas o que de fato ele conseguiu fazer ate agora a bbc preparou seis graficos que analisam os primeiros 12 meses do seu governo incluindo comparacoes interessantes e ate surpreendentes com seus antecessores trump e um dos presidentes mais impopulares da era moderna sua taxa de aprovacao semanal gira em torno de 39 apos 12 meses no cargo de acordo com o instituto gallup os presidentes barack obama 50 bill clinton 54 e george w bush 83 apresentavam indices muito maiores no mesmo periodo de seus respectivos mandatos a media de aprovacao de trump ao longo do ano tambem e de 39 a mais baixa registrada entre os presidentes em seu primeiro mandato clinton apresenta por sua vez a segunda menor taxa 49 mesmo gerald ford que assumiu a presidencia apos a renuncia de richard nixon e o escandalo de watergate tinha cerca de 40 de aprovacao apos 12 meses no cargo segundo o gallup quando trump tomou posse
1	economia	economia	NOUN	NOUN	_	18	parataxis	_	TokenRange=0:8
2	imigracao	imigracao	ADJ	ADJ	_	1	amod	_	TokenRange=9:18
3	popularidade	popularidade	NOUN	NOUN	_	1	appos	_	TokenRange=19:31
4	o	o	DET	DET	_	6	det	_	TokenRange=32:33
5	1	_	NUM	NUM	NumType=Card	6	nummod	_	TokenRange=34:35
6	ano	ano	NOUN	NOUN	_	1	appos	_	TokenRange=36:39
7	de	de	ADP	ADP	_	8	case	_	TokenRange=40:42
8	governo	governo	NOUN	NOUN	_	6	nmod	_	TokenRange=43:50
9	trump	trump	ADJ	NOUN	_	8	appos	_	TokenRange=51:56
10	em	em	ADP	ADP	_	12	case	_	TokenRange=57:59
11	seis	_	NUM	NUM	NumType=Card	12	nummod	_	TokenRange=60:64
12	graficos	grafico	NOUN	NOUN	_	18	nmod	_	TokenRange=65:73
13	presidente	presidente	NOUN	NOUN	_	12	appos	_	TokenRange=74:84
14-15	dos	_	_	_	_	_	_	_	TokenRange=85:88
14	de	de	ADP	ADP	_	16	case	_	_
15	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	16	det	_	_
16	estados	estado	NOUN	NOUN	_	13	nmod	_	TokenRange=89:96
17	unidos	unido	ADJ	ADJ	_	16	amod	_	TokenRange=97:103
18	afirmou	afirmar	VERB	VERB	_	0	root	_	TokenRange=104:111
19	que	que	CCONJ	CONJ	_	22	mark	_	TokenRange=112:115
20	sua	_	DET	DET	_	21	det:poss	_	TokenRange=116:119
21	gestao	gestao	NOUN	NOUN	_	22	nsubj	_	TokenRange=120:126
22	representou	representar	VERB	VERB	_	18	ccomp	_	TokenRange=127:138
23	um	um	DET	DET	_	24	det	_	TokenRange=139:141
24	avanco	avanco	NOUN	NOUN	_	22	obj	_	TokenRange=142:148
25	incrivel	incrivel	ADJ	ADJ	_	24	amod	_	TokenRange=149:157
26	sera	_	VERB	VERB	_	18	ccomp	_	TokenRange=158:162
27	que	que	CCONJ	CONJ	_	30	mark	_	TokenRange=163:166
28	os	o	DET	DET	_	29	det	_	TokenRange=167:169
29	fatos	fato	NOUN	NOUN	_	30	nsubj	_	TokenRange=170:175
30	confirmam	confirmar	VERB	VERB	_	26	csubj	_	TokenRange=176:185
31	a	o	DET	DET	_	32	det	_	TokenRange=186:187
32	declaracao	declaracao	NOUN	NOUN	_	30	obj	_	TokenRange=188:198
33	veja	ver	VERB	VERB	_	18	ccomp	_	TokenRange=199:203
34	a	o	DET	DET	_	35	det	_	TokenRange=204:205
35	analise	analise	NOUN	NOUN	_	33	obj	_	TokenRange=206:213
36-37	da	_	_	_	_	_	_	_	TokenRange=214:216
36	de	de	ADP	ADP	_	39	case	_	_
37	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	39	det	_	_
38	nova	novo	ADJ	ADJ	_	39	amod	_	TokenRange=217:221
39	gestao	gestao	NOUN	NOUN	_	35	nmod	_	TokenRange=222:228
40	em	em	ADP	ADP	_	42	case	_	TokenRange=229:231
41	diversas	_	DET	DET	_	42	det	_	TokenRange=232:240
42	areas	_	NOUN	NOUN	_	35	nmod	_	TokenRange=241:246
43	donald	_	PROPN	PNOUN	_	45	nsubj	_	TokenRange=247:253
44	trump	_	PROPN	PNOUN	_	45	nsubj	_	TokenRange=254:259
45	tomou	tomar	VERB	VERB	_	42	acl:relcl	_	TokenRange=260:265
46	posse	posse	NOUN	NOUN	_	45	obj	_	TokenRange=266:271
47	como	como	ADP	ADP	_	48	case	_	TokenRange=272:276
48	presidente	presidente	NOUN	NOUN	_	45	nmod	_	TokenRange=277:287
49-50	dos	_	_	_	_	_	_	_	TokenRange=288:291
49	de	de	ADP	ADP	_	51	case	_	_
50	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	51	det	_	_
51	estados	estado	NOUN	NOUN	_	48	nmod	_	TokenRange=292:299
52	unidos	unido	ADJ	ADJ	_	51	amod	_	TokenRange=300:306
53	ha	_	VERB	VERB	_	45	advcl	_	TokenRange=307:309
54	um	_	NUM	NUM	NumType=Card	55	nummod	_	TokenRange=310:312
55	ano	ano	NOUN	NOUN	_	53	nmod	_	TokenRange=313:316
56	prometendo	prometer	VERB	VERB	_	45	acl	_	TokenRange=317:327
57	mudar	mudar	VERB	VERB	_	56	xcomp	_	TokenRange=328:333
58	a	o	DET	DET	_	59	det	_	TokenRange=334:335
59	cara	cara	NOUN	NOUN	_	57	obj	_	TokenRange=336:340
60-61	da	_	_	_	_	_	_	_	TokenRange=341:343
60	de	de	ADP	ADP	_	62	case	_	_
61	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	62	det	_	_
62	politica	_	NOUN	NOUN	_	59	nmod	_	TokenRange=344:352
63	americana	americano	ADJ	ADJ	_	62	amod	_	TokenRange=353:362
64	e	e	CCONJ	CONJ	_	65	cc	_	TokenRange=363:364
65	transferir	transferir	VERB	VERB	_	57	conj	_	TokenRange=365:375
66	o	o	DET	DET	_	67	det	_	TokenRange=376:377
67	poder	poder	NOUN	NOUN	_	65	obj	_	TokenRange=378:383
68	de	de	ADP	ADP	_	69	case	_	TokenRange=384:386
69	volta	volta	NOUN	NOUN	_	65	nmod	_	TokenRange=387:392
70-71	ao	_	_	_	_	_	_	_	TokenRange=393:395
70	a	a	ADP	ADP	_	72	case	_	_
71	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	72	det	_	_
72	povo	povo	NOUN	NOUN	_	69	nmod	_	TokenRange=396:400
73	mas	mas	CCONJ	CONJ	_	194	cc	_	TokenRange=401:404
74	o	_	PRON	PRON	_	194	nsubj	_	TokenRange=405:406
75	que	_	PRON	PRON	_	79	obj	_	TokenRange=407:410
76	de	de	ADP	ADP	_	77	case	_	TokenRange=411:413
77	fato	fato	NOUN	NOUN	_	79	nmod	_	TokenRange=414:418
78	ele	_	PRON	PRON	_	79	nsubj	_	TokenRange=419:422
79	conseguiu	conseguir	VERB	VERB	_	74	acl:relcl	_	TokenRange=423:432
80	fazer	fazer	VERB	VERB	_	79	xcomp	_	TokenRange=433:438
81	ate	_	ADP	ADP	_	82	mark	_	TokenRange=439:442
82	agora	agora	ADV	ADV	_	80	nmod	_	TokenRange=443:448
83	a	o	DET	DET	_	84	det	_	TokenRange=449:450
84	bbc	bbc	NOUN	NOUN	_	194	nsubj	_	TokenRange=451:454
85	preparou	preparar	VERB	VERB	_	18	conj	_	TokenRange=455:463
86	seis	_	NUM	NUM	NumType=Card	87	nummod	_	TokenRange=464:468
87	graficos	grafico	NOUN	NOUN	_	85	obj	_	TokenRange=469:477
88	que	_	PRON	PRON	_	89	nsubj	_	TokenRange=478:481
89	analisam	analisar	VERB	VERB	_	87	acl:relcl	_	TokenRange=482:490
90	os	o	DET	DET	_	93	det	_	TokenRange=491:493
91	primeiros	primeiro	ADJ	ADJ	_	93	amod	_	TokenRange=494:503
92	12	_	NUM	NUM	NumType=Card	93	nummod	_	TokenRange=504:506
