# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ser mae na colmeia detenta gravida e com filha de 1 ano aguarda sentenca ha 4 meses jovem diz estar esperancosa com recente decisao do stf ao todo 19 mulheres presas no df sao gestantes ou amamentam a filha de josiele dos santos sofreu um desmame abrupto com menos de 2 anos de idade sem o colo da mae ha quase quatro meses a crianca precisou reconhecer na avo os lacos maternos josiele foi levada para a penitenciaria feminina do distrito federal colmeia em 8 de novembro de 2017 e nao conseguiu se despedir da menina na carceragem recebeu a confirmacao de
1	ser	ser	AUX	AUX	_	6	csubj	_	TokenRange=0:3
2	mae	mae	NOUN	NOUN	_	6	nsubj	_	TokenRange=4:7
3-4	na	_	_	_	_	_	_	_	TokenRange=8:10
3	em	em	ADP	ADP	_	5	case	_	_
4	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	5	det	_	_
5	colmeia	colmeia	NOUN	NOUN	_	2	nmod	_	TokenRange=11:18
6	detenta	detentar	VERB	VERB	_	0	root	_	TokenRange=19:26
7	gravida	gravido	ADJ	ADJ	_	6	xcomp	_	TokenRange=27:34
8	e	e	CCONJ	CONJ	_	10	cc	_	TokenRange=35:36
9	com	com	ADP	ADP	_	10	case	_	TokenRange=37:40
10	filha	filho	NOUN	NOUN	_	7	conj	_	TokenRange=41:46
11	de	de	ADP	ADP	_	13	case	_	TokenRange=47:49
12	1	_	NUM	NUM	NumType=Card	13	nummod	_	TokenRange=50:51
13	ano	ano	NOUN	NOUN	_	10	nmod	_	TokenRange=52:55
14	aguarda	aguardar	VERB	VERB	_	6	conj	_	TokenRange=56:63
15	sentenca	_	NOUN	NOUN	_	6	obj	_	TokenRange=64:72
16	ha	_	VERB	VERB	_	20	advcl	_	TokenRange=73:75
17	4	_	NUM	NUM	NumType=Card	18	nummod	_	TokenRange=76:77
18	meses	mês	NOUN	NOUN	_	16	nmod	_	TokenRange=78:83
19	jovem	jovem	ADJ	ADJ	_	18	amod	_	TokenRange=84:89
20	diz	dizer	VERB	VERB	_	6	conj	_	TokenRange=90:93
21	estar	estar	VERB	VERB	_	20	xcomp	_	TokenRange=94:99
22	esperancosa	esperancoso	ADJ	ADJ	_	21	xcomp	_	TokenRange=100:111
23	com	com	ADP	ADP	_	25	case	_	TokenRange=112:115
24	recente	recente	ADJ	ADJ	_	25	amod	_	TokenRange=116:123
25	decisao	decisao	NOUN	NOUN	_	21	nmod	_	TokenRange=124:131
26-27	do	_	_	_	_	_	_	_	TokenRange=132:134
26	de	de	ADP	ADP	_	28	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	28	det	_	_
28	stf	_	NOUN	NOUN	_	25	nmod	_	TokenRange=135:138
29-30	ao	_	_	_	_	_	_	_	TokenRange=139:141
29	a	a	ADP	ADP	_	31	case	_	_
30	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	31	det	_	_
31	todo	todo	NOUN	NOUN	_	28	nmod	_	TokenRange=142:146
32	19	_	NUM	NUM	NumType=Card	33	nummod	_	TokenRange=147:149
33	mulheres	mulher	NOUN	NOUN	_	38	nsubj	_	TokenRange=150:158
34	presas	_	VERB	VERB	_	33	acl	_	TokenRange=159:165
35-36	no	_	_	_	_	_	_	_	TokenRange=166:168
35	em	em	ADP	ADP	_	37	case	_	_
36	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	37	det	_	_
37	df	_	NOUN	NOUN	_	34	nmod	_	TokenRange=169:171
38	sao	_	VERB	VERB	_	6	parataxis	_	TokenRange=172:175
39	gestantes	gestante	ADJ	ADJ	_	38	xcomp	_	TokenRange=176:185
40	ou	ou	CCONJ	CONJ	_	41	cc	_	TokenRange=186:188
41	amamentam	amamentar	VERB	VERB	_	38	conj	_	TokenRange=189:198
42	a	o	DET	DET	_	43	det	_	TokenRange=199:200
43	filha	filho	NOUN	NOUN	_	38	nsubj	_	TokenRange=201:206
44	de	de	ADP	ADP	_	45	case	_	TokenRange=207:209
45	josiele	josiele	NOUN	NOUN	_	43	nmod	_	TokenRange=210:217
46-47	dos	_	_	_	_	_	_	_	TokenRange=218:221
46	de	de	ADP	ADP	_	48	case	_	_
47	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	48	det	_	_
48	santos	santo	NOUN	NOUN	_	45	nmod	_	TokenRange=222:228
49	sofreu	sofrer	VERB	VERB	_	38	parataxis	_	TokenRange=229:235
50	um	um	DET	DET	_	51	det	_	TokenRange=236:238
51	desmame	desmame	NOUN	NOUN	_	49	obj	_	TokenRange=239:246
52	abrupto	abrupto	ADJ	ADJ	_	51	amod	_	TokenRange=247:254
53	com	com	ADP	ADP	_	57	case	_	TokenRange=255:258
54	menos	menos	ADV	ADV	_	56	advmod	_	TokenRange=259:264
55	de	de	ADP	ADP	_	54	case	_	TokenRange=265:267
56	2	_	NUM	NUM	NumType=Card	57	nummod	_	TokenRange=268:269
57	anos	ano	NOUN	NOUN	_	49	nmod	_	TokenRange=270:274
58	de	de	ADP	ADP	_	59	case	_	TokenRange=275:277
59	idade	idade	NOUN	NOUN	_	57	nmod	_	TokenRange=278:283
60	sem	_	ADP	ADP	_	62	case	_	TokenRange=284:287
61	o	o	DET	DET	_	62	det	_	TokenRange=288:289
62	colo	colo	NOUN	NOUN	_	49	nmod	_	TokenRange=290:294
63-64	da	_	_	_	_	_	_	_	TokenRange=295:297
63	de	de	ADP	ADP	_	65	case	_	_
64	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	65	det	_	_
65	mae	mae	NOUN	NOUN	_	62	nmod	_	TokenRange=298:301
66	ha	_	VERB	VERB	_	72	advcl	_	TokenRange=302:304
67	quase	quase	ADV	ADV	_	68	advmod	_	TokenRange=305:310
68	quatro	_	NUM	NUM	NumType=Card	69	nummod	_	TokenRange=311:317
69	meses	mês	NOUN	NOUN	_	66	nmod	_	TokenRange=318:323
70	a	o	DET	DET	_	71	det	_	TokenRange=324:325
71	crianca	crianca	NOUN	NOUN	_	72	nsubj	_	TokenRange=326:333
72	precisou	precisar	VERB	VERB	_	49	conj	_	TokenRange=334:342
73	reconhecer	reconhecer	VERB	VERB	_	72	xcomp	_	TokenRange=343:353
74-75	na	_	_	_	_	_	_	_	TokenRange=354:356
74	em	em	ADP	ADP	_	76	case	_	_
75	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	76	det	_	_
76	avo	avo	NOUN	NOUN	_	73	nmod	_	TokenRange=357:360
77	os	o	DET	DET	_	78	det	_	TokenRange=361:363
78	lacos	laco	NOUN	NOUN	_	73	obj	_	TokenRange=364:369
79	maternos	materno	ADJ	ADJ	_	78	amod	_	TokenRange=370:378
80	josiele	_	NOUN	NOUN	_	82	nsubj:pass	_	TokenRange=379:386
81	foi	_	AUX	AUX	_	82	aux:pass	_	TokenRange=387:390
82	levada	levar	VERB	VERB	_	72	parataxis	_	TokenRange=391:397
83	para	para	ADP	ADP	_	85	case	_	TokenRange=398:402
84	a	o	DET	DET	_	85	det	_	TokenRange=403:404
85	penitenciaria	penitenciaria	NOUN	NOUN	_	82	nmod	_	TokenRange=405:418
86	feminina	feminino	ADJ	ADJ	_	85	amod	_	TokenRange=419:427
87-88	do	_	_	_	_	_	_	_	TokenRange=428:430
87	de	de	ADP	ADP	_	89	case	_	_
88	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	89	det	_	_
89	distrito	distrito	NOUN	NOUN	_	85	nmod	_	TokenRange=431:439
90	federal	federal	ADJ	ADJ	_	89	amod	_	TokenRange=440:447
91	colmeia	colmeia	NOUN	NOUN	_	89	appos	_	TokenRange=448:455
92	em	em	ADP	ADP	_	93	case	_	TokenRange=456:458
93	8	_	NUM	NUM	NumType=Card	82	nmod	_	TokenRange=459:460
94	de	de	ADP	ADP	_	95	case	_	TokenRange=461:463
95	novembro	_	PROPN	PNOUN	_	93	nmod	_	TokenRange=464:472
96	de	de	ADP	ADP	_	97	case	_	TokenRange=473:475
97	2017	_	NUM	NUM	NumType=Card	95	nmod	_	TokenRange=476:480
98	e	e	CCONJ	CONJ	_	100	cc	_	TokenRange=481:482
99	nao	nao	ADV	ADV	Polarity=Neg	100	advmod	_	TokenRange=483:486
100	conseguiu	conseguir	VERB	VERB	_	82	conj	_	TokenRange=487:496
101	se	_	PRON	PRON	_	102	obj	_	TokenRange=497:499
102	despedir	despedir	VERB	VERB	_	100	xcomp	_	TokenRange=500:508
103-104	da	_	_	_	_	_	_	_	TokenRange=509:511
103	de	de	ADP	ADP	_	105	case	_	_
104	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	105	det	_	_
105	menina	menino	NOUN	NOUN	_	102	nmod	_	TokenRange=512:518
106-107	na	_	_	_	_	_	_	_	TokenRange=519:521
106	em	em	ADP	ADP	_	108	case	_	_
107	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	108	det	_	_
108	carceragem	carceragem	NOUN	NOUN	_	102	nmod	_	TokenRange=522:532
109	recebeu	receber	VERB	VERB	_	82	conj	_	TokenRange=533:540
110	a	o	DET	DET	_	111	det	_	TokenRange=541:542
111	confirmacao	confirmacao	NOUN	NOUN	_	109	obj	_	TokenRange=543:554
112	de	_	ADP	ADP	_	109	mark	_	SpacesAfter=\s\s|TokenRange=555:557

