# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = confira o que abre e o que fecha no feriado da data magna de pernambuco na tercafeira 6 algumas reparticoes publicas nao vao funcionar o comercio tem ponto facultativo na primeira comemoracao da data magna de pernambuco depois do decreto de feriado em 2017 o comercio os shoppings e reparticoes publicas adequam seu horario de funcionamento para o centro comercial do recife o expediente e facultativo algumas reparticoes publicas nao vao funcionar todas as agencias dos correios do estado estarao fechadas no feriado e retornam as suas atividades normais
1	confira	conferir	VERB	VERB	_	0	root	_	TokenRange=0:7
2	o	_	PRON	PRON	_	1	obj	_	TokenRange=8:9
3	que	_	PRON	PRON	_	4	nsubj	_	TokenRange=10:13
4	abre	abrir	VERB	VERB	_	2	acl:relcl	_	TokenRange=14:18
5	e	e	CCONJ	CONJ	_	8	cc	_	TokenRange=19:20
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	8	det	_	TokenRange=21:22
7	que	_	PRON	PRON	_	8	nsubj	_	TokenRange=23:26
8	fecha	fechar	VERB	VERB	_	4	conj	_	TokenRange=27:32
9-10	no	_	_	_	_	_	_	_	TokenRange=33:35
9	em	em	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	feriado	feriado	NOUN	NOUN	_	8	nmod	_	TokenRange=36:43
12-13	da	_	_	_	_	_	_	_	TokenRange=44:46
12	de	de	ADP	ADP	_	14	case	_	_
13	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	14	det	_	_
14	data	data	NOUN	NOUN	_	11	nmod	_	TokenRange=47:51
15	magna	magno	ADJ	ADJ	_	14	amod	_	TokenRange=52:57
16	de	de	ADP	ADP	_	17	case	_	TokenRange=58:60
17	pernambuco	pernambuco	NOUN	NOUN	_	14	nmod	_	TokenRange=61:71
18-19	na	_	_	_	_	_	_	_	TokenRange=72:74
18	em	em	ADP	ADP	_	20	case	_	_
19	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	20	det	_	_
20	tercafeira	tercafeira	NOUN	NOUN	_	14	nmod	_	TokenRange=75:85
21	6	_	NUM	NUM	NumType=Card	20	appos	_	TokenRange=86:87
22	algumas	_	DET	DET	_	23	det	_	TokenRange=88:95
23	reparticoes	_	NOUN	NOUN	_	27	nsubj	_	TokenRange=96:107
24	publicas	publico	ADJ	ADJ	_	23	amod	_	TokenRange=108:116
25	nao	nao	ADV	ADV	Polarity=Neg	27	advmod	_	TokenRange=117:120
26	vao	ir	AUX	AUX	_	27	aux	_	TokenRange=121:124
27	funcionar	funcionar	VERB	VERB	_	1	conj	_	TokenRange=125:134
28	o	o	DET	DET	_	29	det	_	TokenRange=135:136
29	comercio	comercio	NOUN	NOUN	_	30	nsubj	_	TokenRange=137:145
30	tem	ter	VERB	VERB	_	1	parataxis	_	TokenRange=146:149
31	ponto	ponto	NOUN	NOUN	_	30	obj	_	TokenRange=150:155
32	facultativo	facultativo	ADJ	ADJ	_	31	amod	_	TokenRange=156:167
33-34	na	_	_	_	_	_	_	_	TokenRange=168:170
33	em	em	ADP	ADP	_	36	case	_	_
34	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	36	det	_	_
35	primeira	primeiro	ADJ	ADJ	_	36	amod	_	TokenRange=171:179
36	comemoracao	comemoracao	NOUN	NOUN	_	30	nmod	_	TokenRange=180:191
37-38	da	_	_	_	_	_	_	_	TokenRange=192:194
37	de	de	ADP	ADP	_	39	case	_	_
38	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	39	det	_	_
39	data	data	NOUN	NOUN	_	36	nmod	_	TokenRange=195:199
40	magna	magno	ADJ	ADJ	_	39	amod	_	TokenRange=200:205
41	de	de	ADP	ADP	_	42	case	_	TokenRange=206:208
42	pernambuco	pernambuco	NOUN	NOUN	_	39	nmod	_	TokenRange=209:219
43	depois	depois	ADV	ADV	_	46	case	_	TokenRange=220:226
44-45	do	_	_	_	_	_	_	_	TokenRange=227:229
44	de	de	ADP	ADP	_	43	case	_	_
45	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	43	det	_	_
46	decreto	decreto	NOUN	NOUN	_	30	nmod	_	TokenRange=230:237
47	de	de	ADP	ADP	_	48	case	_	TokenRange=238:240
48	feriado	feriado	NOUN	NOUN	_	46	nmod	_	TokenRange=241:248
49	em	em	ADP	ADP	_	50	case	_	TokenRange=249:251
50	2017	_	NUM	NUM	NumType=Card	46	nmod	_	TokenRange=252:256
51	o	o	DET	DET	_	52	det	_	TokenRange=257:258
52	comercio	comercio	NOUN	NOUN	_	58	nsubj	_	TokenRange=259:267
53	os	o	DET	DET	_	54	det	_	TokenRange=268:270
54	shoppings	shopping	NOUN	NOUN	_	58	nsubj	_	TokenRange=271:280
55	e	e	CCONJ	CONJ	_	56	cc	_	TokenRange=281:282
56	reparticoes	_	NOUN	NOUN	_	54	conj	_	TokenRange=283:294
57	publicas	publico	ADJ	ADJ	_	56	amod	_	TokenRange=295:303
58	adequam	adequir	VERB	VERB	_	1	conj	_	TokenRange=304:311
59	seu	_	DET	DET	_	60	det:poss	_	TokenRange=312:315
60	horario	horario	NOUN	NOUN	_	58	obj	_	TokenRange=316:323
61	de	de	ADP	ADP	_	62	case	_	TokenRange=324:326
62	funcionamento	funcionamento	NOUN	NOUN	_	60	nmod	_	TokenRange=327:340
63	para	para	ADP	ADP	_	65	case	_	TokenRange=341:345
64	o	o	DET	DET	_	65	det	_	TokenRange=346:347
65	centro	centro	NOUN	NOUN	_	58	nmod	_	TokenRange=348:354
66	comercial	comercial	ADJ	ADJ	_	65	amod	_	TokenRange=355:364
67-68	do	_	_	_	_	_	_	_	TokenRange=365:367
67	de	de	ADP	ADP	_	69	case	_	_
68	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	69	det	_	_
69	recife	recife	NOUN	NOUN	_	65	nmod	_	TokenRange=368:374
70	o	o	DET	DET	_	71	det	_	TokenRange=375:376
71	expediente	expediente	NOUN	NOUN	_	58	nsubj	_	TokenRange=377:387
72	e	e	CCONJ	CONJ	_	73	cc	_	TokenRange=388:389
73	facultativo	facultativo	ADJ	ADJ	_	71	conj	_	TokenRange=390:401
74	algumas	_	DET	DET	_	75	det	_	TokenRange=402:409
75	reparticoes	reparticoe	NOUN	NOUN	_	58	nsubj	_	TokenRange=410:421
76	publicas	publico	ADJ	ADJ	_	75	amod	_	TokenRange=422:430
77	nao	nao	ADV	ADV	Polarity=Neg	79	advmod	_	TokenRange=431:434
78	vao	ir	AUX	AUX	_	79	aux	_	TokenRange=435:438
79	funcionar	funcionar	VERB	VERB	_	58	conj	_	TokenRange=439:448
80	todas	_	DET	DET	_	82	det	_	TokenRange=449:454
81	as	o	DET	DET	_	82	det	_	TokenRange=455:457
82	agencias	agencia	NOUN	NOUN	_	89	nsubj	_	TokenRange=458:466
83-84	dos	_	_	_	_	_	_	_	TokenRange=467:470
83	de	de	ADP	ADP	_	85	case	_	_
84	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	85	det	_	_
85	correios	correio	NOUN	NOUN	_	82	nmod	_	TokenRange=471:479
86-87	do	_	_	_	_	_	_	_	TokenRange=480:482
86	de	de	ADP	ADP	_	88	case	_	_
87	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	88	det	_	_
88	estado	estado	NOUN	NOUN	_	85	nmod	_	TokenRange=483:489
89	estarao	estar	VERB	VERB	_	58	parataxis	_	TokenRange=490:497
90	fechadas	fechado	ADJ	ADJ	_	89	xcomp	_	TokenRange=498:506
91-92	no	_	_	_	_	_	_	_	TokenRange=507:509
91	em	em	ADP	ADP	_	93	case	_	_
92	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	93	det	_	_
93	feriado	feriado	NOUN	NOUN	_	90	nmod	_	TokenRange=510:517
94	e	e	CCONJ	CONJ	_	95	cc	_	TokenRange=518:519
95	retornam	retornar	VERB	VERB	_	89	conj	_	TokenRange=520:528
96	as	o	DET	DET	_	98	det	_	TokenRange=529:531
97	suas	_	DET	DET	_	98	det:poss	_	TokenRange=532:536
98	atividades	atividade	NOUN	NOUN	_	95	obj	_	TokenRange=537:547
99	normais	normal	ADJ	ADJ	_	98	amod	_	SpacesAfter=\s\s|TokenRange=548:555

