1 apos 2 ADP mark
2 cuspir 6 VERB advcl
3 bolsonaro 2 NOUN obj
4 jean 6 NOUN nsubj
5 wyllys 4 NOUN flat
6 recebe 0 VERB root
7 punicao 6 NOUN obj
8 leve 7 ADJ amod
9 debocha 6 NOUN nsubj
10 povo 6 NOUN nsubj
11 etica 10 ADJ amod
12 venceu 6 VERB parataxis
13 receber 12 VERB xcomp
14 advertencia 13 NOUN obj
15 conselho 14 NOUN appos
16 etica 15 ADJ amod
17 camara 13 NOUN appos
18 wyllys 17 NOUN flat
19 ainda 20 ADV advmod
20 tempo 21 NOUN nsubj
21 tirar 17 VERB acl:relcl
22 sarro 21 NOUN obj
23 povo 21 NOUN nsubj
24 deputado 23 NOUN flat
25 disse 22 VERB acl:relcl
26 decisao 25 NOUN obj
27 conselho 29 NOUN nsubj
28 vitoria 30 NOUN flat
29 guardara 26 VERB acl:relcl
30 trofeu 29 NOUN obj
31 ricardo 30 NOUN amod
32 izar 30 NOUN appos
33 deputado 30 NOUN appos
34 relator 33 NOUN flat
35 caso 36 NOUN case
36 pedido 29 NOUN nmod
37 suspensao 38 ADJ amod
38 mandato 29 NOUN obj
39 wyllys 38 NOUN appos
40 periodo 38 NOUN appos
41 1 42 NUM nummod
42 mes 43 NOUN nmod
43 abaixo 49 ADV advmod
44 discurso 29 NOUN nsubj
45 vitoria 44 NOUN amod
46 exbbb 44 NOUN appos
47 fascistas 46 NOUN flat
48 reacionarios 46 ADJ amod
49 esperavam 44 VERB acl:relcl
50 punido 49 ADJ xcomp
51 agora 53 ADV advmod
52 vao 53 AUX aux
53 chorar 49 VERB ccomp
54 redes 53 NOUN obj
55 sociais 54 ADJ amod
56 chorem 53 VERB ccomp
57 democracia 56 NOUN obj
58 etica 57 ADJ amod
59 venceram 60 VERB parataxis
60 disse 49 VERB conj
61 deputado 60 NOUN nsubj
62 revista 60 NOUN nsubj
63 epoca 62 NOUN flat
64 expresso 62 ADJ amod
