1 ta ta 2 DET det
2 sacanagem sacanagem 7 NOUN nsubj
3 defesa defesa 2 NOUN appos
4 lula lula 2 NOUN appos
5 ateu ateu 2 NOUN appos
6 carteirinha carteirinha 2 NOUN appos
7 compara comparar 0 VERB root
8 petista petista 7 NOUN obj
9 papa papa 8 NOUN appos
10 francisco francisco 9 NOUN flat
11 defesa defesa 2 NOUN appos
12 lula lula 11 NOUN flat
13 protocolou protocolar 2 VERB parataxis
14 tarde tarde 13 ADV advmod
15 hoje hoje 13 ADV advmod
16 justica justica 13 NOUN obj
17 federal federal 16 ADJ amod
18 parana parana 19 ADJ amod
19 defesa defesa 13 NOUN nsubj
20 previa previo 21 ADJ amod
21 processo processo 23 NOUN nsubj
22 petista petista 21 ADJ amod
23 responde responder 13 VERB parataxis
24 operacao operacao 23 NOUN obj
25 lava lava 24 NOUN flat
26 jato jato 27 NOUN flat
27 argumentos argumento 24 NOUN appos
28 exdruxulos exdruxulo 27 ADJ amod
29 usados usar 27 VERB acl
30 advogados advogado 32 NOUN obj
31 audacia audacia 30 NOUN flat
32 comparar comparar 23 VERB parataxis
33 lula lula 32 NOUN obj
34 papa papa 33 NOUN appos
35 francisco francisco 34 ADJ amod
36 acordo acordo 32 NOUN obj
37 defesa defesa 34 NOUN flat
38 atribuir atribuir 32 VERB ccomp
39 expresidente expresidente 38 NOUN obj
40 responsabilidade responsabilidade 38 NOUN obj
41 atos ato 38 NOUN nsubj
42 subordinados subordinado 41 ADJ amod
43 comissionados comissionado 41 ADJ amod
44 exerciam exercer 41 VERB acl:relcl
45 cargos cargo 44 NOUN obj
46 confianca confianca 45 ADJ amod
47 retrocesso retrocesso 44 NOUN nsubj
48 responsabilizar responsabilizar 44 VERB ccomp
49 papa papa 48 NOUN obj
50 francisco francisco 49 ADJ flat
51 acoes acoe 48 NOUN obj
52 pessoais pessoal 51 ADJ amod
53 cardeais cardeal 51 ADJ amod
54 bispos bispo 51 NOUN appos
55 nomeados nomeado 54 ADJ amod
56 responsabilizar responsabilizar 54 VERB acl
57 bispos bispo 56 NOUN obj
58 acoes acoe 56 NOUN obj
59 pessoais pessoal 58 ADJ amod
60 padres padres 58 ADJ amod
61 cometam cometer 44 VERB parataxis
62 infracoes infracoes 63 NOUN obj
63 argumentou argumentar 61 VERB parataxis
64 defesa defesa 63 NOUN obj
