1 eua eua 3 DET det
2 united united 3 ADJ amod
3 states states 6 NOUN nsubj
4 air air 3 NOUN flat
5 force force 3 NOUN flat
6 envia enviar 0 VERB root
7 dois dois 8 NUM nummod
8 bombardeiros bombardeiro 6 NOUN obj
9 coreia coreia 6 NOUN obj
10 sul sul 9 ADJ amod
11 forca forca 6 NOUN nsubj
12 aerea aereo 11 ADJ amod
13 americana americano 11 ADJ amod
14 enviara enviar 6 VERB conj
15 dois dois 16 NUM nummod
16 bombardeiros bombardeiro 14 NOUN obj
17 coreia coreia 16 NOUN appos
18 sul sul 17 ADJ amod
19 ainda ainda 20 ADV advmod
20 semana semana 14 NOUN nmod
21 estados estado 23 NOUN nsubj
22 unidos unido 21 ADJ amod
23 mantem mantar 6 VERB parataxis
24 alianca alianca 23 NOUN obj
25 militar militar 24 ADJ amod
26 coreia coreia 24 NOUN appos
27 sul sul 26 ADJ amod
28 desde desde 29 ADP case
29 1953 1953 14 NUM nmod
30 onde onde 31 ADV advmod
31 compromete comprometer 29 VERB acl:relcl
32 defender defender 31 VERB xcomp
33 aliado aliado 32 NOUN obj
34 provavel provavel 35 ADJ amod
35 conflito conflito 32 NOUN obj
36 coreia coreia 35 NOUN appos
37 norte norte 35 ADJ amod
38 ultimo ultimo 39 ADJ amod
39 dia dia 32 NOUN nmod
40 13 13 39 NUM nummod
41 setembro setembro 39 PROPN nmod
42 bombardeiros bombardeiro 49 NOUN nsubj
43 supersonicos supersonico 42 ADJ amod
44 forca forca 49 NOUN nsubj
45 aerea aereo 42 ADJ amod
46 estados estado 49 NOUN nsubj
47 unidos unido 46 ADJ amod
48 haviam haver 49 AUX aux
49 sobrevoado sobrevoar 14 VERB parataxis
50 coreia coreia 49 NOUN obj
51 sul sul 50 ADJ amod
52 mandando mandar 49 VERB acl
53 recado recado 52 NOUN obj
54 claro claro 53 ADJ amod
55 kim kim 58 NOUN nsubj
56 jongun jongun 55 NOUN flat
57 obama obama 55 NOUN flat
58 deu dar 49 VERB parataxis
59 sinal sinal 58 NOUN obj
60 advertencia advertencia 59 ADJ amod
61 governo governo 58 NOUN nsubj
62 kim kim 61 PROPN appos
63 jongun jongun 62 NOUN flat
64 apos apos 66 ADP case
65 quinto quinto 66 ADJ amod
66 teste teste 69 NOUN nmod
67 nuclear nuclear 66 ADJ amod
68 general general 66 NOUN amod
69 comandou comandar 58 VERB parataxis
70 acao acao 69 NOUN obj
71 disse dizer 69 VERB parataxis
72 alerta alerta 71 ADJ xcomp
73 exemplo exemplo 75 NOUN nsubj
74 podera podera 75 AUX aux
75 acontecer acontecer 71 VERB ccomp
76 caso caso 80 CCONJ mark
77 kim kim 80 PROPN nsubj
78 jonun jonun 77 NOUN flat
79 continue continuar 80 AUX aux
80 desafiando desafiar 75 VERB advcl
81 mundo mundo 80 NOUN obj
82 poderao poder 83 AUX aux
83 voltar voltar 75 VERB ccomp
84 contra contra 85 ADP case
85 testes teste 83 NOUN nmod
86 nucleares nuclear 85 ADJ amod
