1 vai ir 2 AUX aux
2 arrepiar arrepiar 0 VERB root
3 durante durante 4 ADP case
4 show show 2 NOUN nmod
5 rock rock 4 NOUN flat
6 plateia plateia 7 NOUN nsubj
7 reconhece reconhecer 2 VERB ccomp
8 sergio sergio 7 NOUN obj
9 moro moro 8 NOUN flat
10 juiz juiz 7 NOUN obj
11 ovacionado ovacionado 14 ADJ amod
12 sergio sergio 13 ADJ amod
13 moro moro 14 NOUN appos
14 juiz juiz 10 NOUN appos
15 implacavel implacavel 14 ADJ amod
16 contra contra 17 ADP case
17 corruptos corrupto 14 NOUN nmod
18 ovacionado ovacionado 17 ADJ amod
19 publico publico 17 ADJ amod
20 noite noite 17 NOUN appos
21 ontem ontem 22 ADV advmod
22 25 25 20 NUM appos
23 durante durante 24 ADP case
24 show show 30 NOUN nmod
25 capital capital 24 NOUN appos
26 inicial inicial 27 ADJ amod
27 capital capital 24 NOUN appos
28 paranaense paranaense 27 ADJ amod
29 moro moro 30 NOUN nsubj
30 levantou levantar 2 VERB parataxis
31 agradeceu agradecer 30 VERB ccomp
32 aplausos aplauso 34 NOUN obj
33 plateia plateia 34 NOUN nsubj
34 bateu bater 31 VERB parataxis
35 palmas palmas 34 NOUN obj
36 minuto minuto 37 NOUN amod
37 apresentacao apresentacao 34 NOUN obj
38 capital capital 34 NOUN nsubj
39 inicial inicial 38 ADJ amod
40 ocorreu ocorrer 30 VERB parataxis
41 teatro teatro 40 NOUN obj
42 positivo positivo 41 ADJ amod
43 moro moro 44 NOUN nsubj
44 assistiu assistir 40 VERB parataxis
45 espetaculo espetaculo 44 NOUN obj
46 camorote camorote 45 NOUN appos
47 dinho dinho 45 NOUN appos
48 ouro ouro 47 NOUN flat
49 preto preto 48 ADJ amod
50 vocalista vocalista 52 NOUN nsubj
51 banda banda 50 NOUN appos
52 mencionou mencionar 44 VERB parataxis
53 nome nome 52 NOUN obj
54 sergio sergio 53 NOUN appos
55 moro moro 54 NOUN flat
56 antes antes 57 ADV advmod
57 cantar cantar 53 VERB acl:inf
58 musica musica 57 NOUN obj
59 pais pais 58 NOUN flat
60 publico publico 58 ADJ amod
61 delirou delirar 52 VERB parataxis
62 video video 61 NOUN obj
63 1 1 62 NUM appos
64 video video 62 NOUN appos
65 2 2 64 NUM appos
