1 r r 4 CCONJ case
2 11 11 3 NUM nummod
3 milhoes milhoes 4 NUM nummod
4 dinheiro dinheiro 12 NOUN nsubj
5 verba verba 4 NOUN flat
6 petrobras petrobra 4 NOUN flat
7 usada usar 4 VERB acl
8 sustentar sustentar 7 VERB xcomp
9 sites site 8 NOUN obj
10 petistas petista 9 ADJ amod
11 petrobras petrobra 9 NOUN amod
12 bancou bancar 0 VERB root
13 generosos generoso 14 ADJ amod
14 patrocinios patrocinios 12 NOUN obj
15 sites site 14 NOUN appos
16 amigos amigo 14 NOUN appos
17 lula lula 43 NOUN appos
18 dilma dilma 43 ADJ amod
19 site site 20 NOUN nsubj
20 faturou faturar 12 VERB parataxis
21 generosas generoso 22 ADJ amod
22 doacoes doacoes 20 NOUN obj
23 brasil brasil 22 NOUN appos
24 247 247 22 NUM appos
25 papou papar 20 VERB parataxis
26 r r 30 NOUN appos
27 2 2 29 NUM nummod
28 1 1 29 NUM nummod
29 milhoes milhoes 30 NUM nummod
30 dinheiro dinheiro 25 NOUN obj
31 publico publico 30 ADJ amod
32 segundo segundo 33 ADJ amod
33 lugar lugar 34 NOUN nsubj
34 ficou ficar 12 VERB parataxis
35 site site 34 NOUN nsubj
36 opera opera 35 NOUN appos
37 mundi mundi 36 ADJ amod
38 embolsou embolsar 35 VERB acl:relcl
39 r r 38 NOUN obj
40 750 750 41 NUM nummod
41 mil mil 43 NUM nummod
42 estatal estatal 43 ADJ amod
43 contratos contrato 38 NOUN nsubj
44 firmados firmar 43 VERB acl
45 vesperas vesper 46 ADJ amod
46 impeachment impeachment 44 NOUN nsubj
47 somam somar 82 VERB acl:relcl
48 r r 47 NOUN obj
49 11 11 51 NUM nummod
50 2 2 51 NUM nummod
51 milhoes milhoes 86 NUM nummod
52 gastos gasto 47 NOUN nsubj
53 publicidade publicidade 92 NOUN appos
54 internet internet 52 PROPN appos
55 assumir assumir 92 VERB acl:relcl
56 governo governo 55 NOUN obj
57 michel michel 56 ADJ amod
58 temer temer 56 NOUN appos
59 determinou determinar 20 VERB parataxis
60 suspensao suspensao 59 NOUN obj
61 pagamentos pagamento 59 NOUN obj
62 blogs blog 63 ADJ amod
63 sites site 59 NOUN obj
64 petistas petista 63 ADJ amod
65 cancelamento cancelamento 63 VERB appos
66 contratos contrato 65 NOUN obj
67 brasil brasil 66 ADJ amod
68 247 247 71 NUM nummod
69 2 2 117 NUM nummod
70 1 1 71 NUM nummod
71 milhoes milhoes 66 NOUN appos
72 dcm dcm 76 NOUN appos
73 1 1 75 NUM nummod
74 11 11 75 NUM nummod
75 milhao milhao 76 NUM nummod
76 carta carta 12 NOUN obj
77 maior maior 76 ADJ amod
78 site site 76 NOUN appos
79 r r 82 PUNCT punct
80 921 921 81 NUM nummod
81 mil mil 82 NUM nummod
82 forum forum 76 NOUN appos
83 r r 86 PUNCT punct
84 921 921 85 NUM nummod
85 mil mil 86 NUM nummod
86 paulo paulo 82 NOUN appos
87 henrique henrique 86 NOUN flat
88 amorim amorim 86 NOUN flat
89 r r 92 PUNCT punct
90 865 865 91 NUM nummod
91 mil mil 86 NUM nummod
92 opera opera 82 NOUN appos
93 mundi mundi 92 ADJ amod
94 breno breno 92 ADJ amod
95 altman altman 92 NOUN flat
96 r r 99 PUNCT punct
97 83 83 98 NUM nummod
98 mil mil 99 NUM nummod
99 luis luis 92 NOUN appos
100 nassif nassif 99 NOUN flat
101 r r 99 NOUN punct
102 814 814 103 NUM nummod
103 mil mil 99 NUM nummod
104 alem alem 92 NOUN appos
105 contrato contrato 92 NOUN flat
106 ebc ebc 66 NOUN appos
107 carta carta 99 NOUN flat
108 capital capital 66 ADJ amod
109 site site 66 NOUN flat
110 r r 113 PUNCT punct
111 664 664 112 NUM nummod
112 mil mil 113 NUM nummod
113 sidney sidney 66 NOUN appos
114 rezende rezende 113 NOUN flat
115 409 409 117 NUM nummod
116 5 5 117 NUM nummod
117 mil mil 113 NUM nummod
118 cgm cgm 113 NOUN appos
119 r r 122 PUNCT punct
120 359 359 121 NUM nummod
121 mil mil 122 NUM nummod
122 pragmatismo pragmatismo 113 NOUN appos
123 politico politico 122 ADJ amod
124 219 219 129 NUM nummod
125 mil mil 126 NUM nummod
126 blog blog 113 NOUN appos
127 esmael esmael 126 NOUN flat
128 169 169 129 NUM nummod
129 mil mil 130 NUM nummod
130 viomundo viomundo 126 NOUN appos
131 lc lc 130 NOUN flat
132 azenha azenha 130 NOUN flat
133 r r 136 PUNCT punct
134 166 166 139 NUM nummod
135 mil mil 136 NUM nummod
136 cafezinho cafezinho 130 NOUN appos
137 r r 136 PUNCT punct
138 124 124 139 NUM nummod
139 mil mil 136 NUM nummod
