1 antes antes 4 ADV advmod
2 sairgoverno sairgoverno 4 NOUN nsubj
3 dilma dilma 4 NOUN nsubj
4 autorizou autorizar 0 VERB root
5 aumento aumento 4 NOUN obj
6 237 237 7 NUM nummod
7 prestacoes prestacoe 5 NOUN appos
8 casa casa 9 ADJ amod
9 vida vida 7 NOUN nmod
10 prestacoes prestacoe 7 NOUN appos
11 imoveis imovel 10 ADJ amod
12 financiados financiar 10 ADJ acl
13 casa casa 14 NOUN amod
14 vida vida 10 NOUN flat
15 ficarao ficar 4 VERB parataxis
16 237 237 18 NUM nummod
17 5 5 18 NUM nummod
18 caras cara 15 NOUN nsubj
19 partir partir 15 VERB parataxis
20 julho julho 19 PROPN nmod
21 valor valor 23 NOUN nsubj
22 maximo maximo 21 ADJ amod
23 passara passar 4 VERB parataxis
24 r r 23 NOUN obj
25 80 80 24 NUM appos
26 r r 24 NOUN appos
27 270 270 26 NUM nummod
28 mes mes 29 NOUN appos
29 rendimento rendimento 24 NOUN conj
30 r r 29 NOUN punct
31 1200 1200 32 NUM nummod
32 01 01 29 NUM appos
33 r r 32 NOUN flat
34 1800 1800 35 NUM nummod
35 valor valor 23 NOUN conj
36 minimo minimo 35 ADJ amod
37 familias familias 35 NOUN appos
38 renda renda 35 NOUN flat
39 r r 41 PUNCT punct
40 800 800 41 NUM nsubj
41 subira subira 35 VERB acl:relcl
42 220 220 41 NUM nmod
43 r r 41 NOUN obj
44 25 25 43 NUM nummod
45 r r 43 NOUN appos
46 80 80 43 NUM nummod
47 ministerio ministerio 49 NOUN nsubj
48 cidades cidade 47 NOUN flat
49 informou informar 4 VERB conj
50 novos novo 51 ADJ amod
51 valores valores 49 NOUN obj
52 passarao passar 53 AUX aux
53 valer valer 49 VERB ccomp
54 contratos contrato 53 NOUN obj
55 assinados assinado 54 ADJ amod
56 caixa caixa 53 NOUN nsubj
57 economica economico 56 ADJ amod
58 federal federal 56 ADJ amod
59 banco banco 54 NOUN appos
60 brasil brasil 59 ADJ amod
61 partir partir 49 VERB parataxis
62 dia dia 61 NOUN nmod
63 1 1 62 NUM nmod
64 julho julho 63 PROPN nmod
65 nota nota 67 NOUN nsubj
66 ministerio ministerio 65 NOUN flat
67 alegou alegar 49 VERB parataxis
68 reajustes reajuste 67 NOUN obj
69 devem devem 67 VERB ccomp
70 atualizacao atualizacao 71 ADJ amod
71 custos custo 69 NOUN obj
72 construcao construcao 71 ADJ amod
73 melhorias melhoria 71 NOUN appos
74 estabelecidas estabelecer 73 VERB acl
75 nesta nesta 77 ADP case
76 nova novo 77 ADJ amod
77 fase fase 74 NOUN nmod
78 ajuste ajustar 74 NOUN parataxis
79 autorizado autorizado 78 ADJ amod
80 exgoverno exgoverno 78 NOUN appos
81 dilma dilma 78 NOUN appos
82 rousseff rousseff 81 NOUN flat
