1 ta ta 2 CCONJ mark
2 explicado explicar 4 VERB acl
3 deputado deputado 4 NOUN nsubj
4 tentou tentar 0 VERB root
5 anular anular 4 VERB xcomp
6 impeachment impeachment 5 NOUN obj
7 atolado atolado 8 ADJ amod
8 dividas divida 6 NOUN appos
9 politico politico 8 ADJ amod
10 protagonizou protagonizar 4 VERB parataxis
11 espetaculo espetaculo 10 NOUN obj
12 circense circense 11 ADJ amod
13 mando mando 11 NOUN appos
14 dilma dilma 13 NOUN appos
15 lula lula 13 NOUN flat
16 atolado atolado 17 ADJ amod
17 dividas divida 18 ADJ amod
18 campanha campanha 10 NOUN nsubj
19 deputado deputado 18 NOUN appos
20 waldir waldir 18 NOUN appos
21 maranhao maranhao 20 NOUN flat
22 pp pp 18 NOUN flat
23 prestes prestes 18 ADJ amod
24 perder perder 18 VERB acl:inf
25 propria proprio 26 ADJ amod
26 casa casa 24 NOUN obj
27 bairro bairro 26 NOUN appos
28 nobre nobre 27 ADJ amod
29 luis luis 27 NOUN appos
30 ma ma 31 DET det
31 materia materia 33 NOUN nsubj
32 estado estado 31 NOUN appos
33 diz dizer 10 VERB parataxis
34 presidente presidente 33 NOUN obj
35 exercicio exercicio 34 ADJ amod
36 camara camara 34 NOUN amod
37 deu dar 10 VERB conj
38 calote calote 37 NOUN obj
39 grafica grafico 38 ADJ amod
40 quality quality 37 NOUN obj
41 r r 40 NOUN flat
42 1 1 44 NUM nummod
43 3 3 44 NUM nummod
44 milhao milhao 40 NUM nummod
45 durante durante 46 ADP case
46 campanha campanha 37 NOUN nmod
47 deputado deputado 46 NOUN appos
48 federal federal 47 ADJ amod
49 2010 2010 50 NUM nummod
50 tribunal tribunal 53 NOUN nsubj
51 justica justico 50 ADJ amod
52 maranhao maranhao 50 ADJ amod
53 penhorou penhorar 37 VERB parataxis
54 4 4 55 NUM nummod
55 imoveis imovel 53 NOUN obj
56 parlamentar parlamentar 55 ADJ amod
57 provavelmente provavelmente 58 ADV advmod
58 irao irao 53 VERB parataxis
59 leilao leilao 58 ADJ xcomp
60 motivo motivo 62 NOUN nsubj
61 maranhao maranhao 60 NOUN flat
62 vendeu vender 58 VERB conj
63 pt pt 62 NOUN obj
64 quitar quitar 62 VERB xcomp
65 dividas divida 64 NOUN obj
