1 porque porque 2 CCONJ mark
2 acreditar acreditar 8 VERB advcl
3 nele nele 2 X nmod
4 delacao delacao 2 NOUN nmod
5 expresidente expresidente 2 NOUN obj
6 andrade andrade 5 NOUN appos
7 gutierrez gutierrez 6 NOUN flat
8 entrega entregar 24 VERB parataxis
9 todo todo 10 DET det
10 mundo mundo 8 NOUN obj
11 agora agora 8 ADV advmod
12 vez vez 8 NOUN nmod
13 delacao delacao 12 NOUN amod
14 otavio otavio 8 NOUN dep
15 azevedo azevedo 16 ADJ amod
16 data data 8 NOUN parataxis
17 prisao prisao 16 ADJ amod
18 presidente presidente 16 NOUN appos
19 andrade andrade 18 NOUN appos
20 gutierrez gutierrez 19 NOUN flat
21 acordo acordo 8 NOUN parataxis
22 reportagem reportagem 8 NOUN obj
23 veiculada veiculado 25 ADJ amod
24 veja ver 80 VERB parataxis
25 entrega entrega 24 NOUN obj
26 geral geral 25 ADJ amod
27 listao listao 25 NOUN appos
28 chamado chamar 27 VERB acl
29 inclui incluir 25 VERB acl
30 figuras figura 29 NOUN obj
31 ricardo ricardo 30 NOUN appos
32 berzoini berzoini 33 ADJ amod
33 exministro exministro 30 NOUN appos
34 lula lula 33 NOUN appos
35 atualmente atualmente 36 ADV advmod
36 ministro ministro 30 NOUN appos
37 comunicacoes comunicacoe 36 NOUN flat
38 dilma dilma 36 NOUN appos
39 antonio antonio 36 NOUN appos
40 palocci palocci 38 NOUN flat
41 exministro exministro 36 NOUN appos
42 lula lula 36 NOUN appos
43 dilma dilma 36 NOUN appos
44 erenice erenice 36 NOUN appos
45 guerra guerra 36 NOUN flat
46 exministra exministra 36 NOUN amod
47 lula lula 36 NOUN appos
48 outrora outrora 49 ADV advmod
49 bracodireito bracodireito 36 NOUN appos
50 dilma dilma 49 NOUN appos
51 jose jose 50 NOUN flat
52 roberto roberto 50 NOUN flat
53 arruda arruda 50 NOUN flat
54 exdem exdem 50 PROPN appos
55 exgovernador exgovernador 54 NOUN flat
56 df df 57 ADJ flat
57 agnelo agnelo 55 NOUN appos
58 queiroz queiroz 57 NOUN flat
59 pt pt 57 PROPN flat
60 exgovernador exgovernador 57 NOUN flat
61 df df 62 X amod
62 sergio sergio 57 NOUN appos
63 cabral cabral 62 ADJ amod
64 pmdb pmdb 62 NOUN appos
65 exgovernador exgovernador 62 NOUN flat
66 rio rio 62 NOUN appos
67 eduardo eduardo 66 PROPN flat
68 braga braga 66 NOUN flat
69 pmdb pmdb 64 PROPN appos
70 exgovernador exgovernador 69 NOUN flat
71 amazonas amazona 69 ADJ flat
72 atualmente atualmente 73 ADV advmod
73 ministro ministro 69 NOUN appos
74 dilma dilma 73 NOUN appos
75 omar omar 73 NOUN appos
76 aziz aziz 75 NOUN flat
77 psd psd 78 DET det
78 senador senador 73 NOUN appos
79 nomes nome 78 NOUN appos
80 sabe saber 0 VERB root
81 ora ora 84 ADV advmod
82 otavio otavio 84 NOUN nsubj
83 azevedo azevedo 82 NOUN flat
84 disse dizer 80 VERB ccomp
85 ainda ainda 84 ADV advmod
86 propina propina 84 NOUN obj
87 regra regrar 84 NOUN ccomp
88 qualquer qualquer 89 DET det
89 setor setor 84 NOUN obj
90 governos governo 84 NOUN obj
91 petistas petista 90 ADJ amod
