1 ouca ouca 2 PRON nsubj
2 disse dizer 0 VERB root
3 general general 2 NOUN obj
4 brigada brigada 3 ADJ amod
5 exercito exercito 3 NOUN appos
6 ultimo ultimo 7 ADJ amod
7 dia dia 3 NOUN appos
8 31/12/2015 31/12/2015 9 NUM nummod
9 interesse interesse 7 NOUN appos
10 governo governo 9 NOUN flat
11 saibamos saibar 9 VERB acl:relcl
12 situacao situacao 11 NOUN obj
13 caos caos 12 NOUN flat
14 acompanhem acompanhar 2 VERB parataxis
15 sequencia sequencio 14 ADJ obj
16 declaracoes declaracoe 14 NOUN obj
17 bombasticas bombastico 16 ADJ amod
18 talvez talvez 19 ADV advmod
19 dificeis dificil 16 ADJ amod
20 aceitar aceitar 14 VERB csubj
21 inicio inicio 20 NOUN obj
22 essenciais essencial 21 ADJ amod
23 evolucao evolucao 21 ADJ amod
24 exito exito 21 ADJ amod
25 causa causa 21 NOUN appos
26 patriotica patriotico 25 ADJ amod
27 2016 2016 25 NUM nmod
