1 apos apos 2 ADP mark
2 declarar declarar 8 VERB advcl
3 brizola brizola 2 NOUN obj
4 heroi heroi 3 NOUN amod
5 patria patria 3 NOUN flat
6 dilma dilma 8 PROPN nsubj
7 pode pode 8 AUX aux
8 abandonar abandonar 0 VERB root
9 pt pt 8 NOUN obj
10 ir ir 8 NOUN nsubj
11 pdt pdt 8 NOUN nsubj
12 exministro exministro 10 NOUN appos
13 educacao educacao 12 NOUN flat
14 cid cid 17 NOUN nsubj
15 gomes gome 12 NOUN flat
16 pdt pdt 17 NOUN nsubj
17 sugeriu sugerir 8 VERB conj
18 presidente presidente 17 NOUN obj
19 dilma dilma 18 ADJ amod
20 rousseff rousseff 18 NOUN appos
21 saia saia 17 VERB conj
22 pt pt 23 PROPN nsubj
23 distancie distanciar 21 VERB ccomp
24 proximo proximo 25 ADJ amod
25 processo processo 23 NOUN nsubj
26 eleitoral eleitoral 25 ADJ amod
27 reverter reverter 21 VERB ccomp
28 queda queda 27 NOUN obj
29 popularidade popularidade 25 NOUN appos
30 desfiliar desfiliar 25 VERB acl:relcl
31 pt pt 32 PROPN obj
32 assumir assumir 44 VERB ccomp
33 compromisso compromisso 32 NOUN obj
34 publico publico 33 ADJ amod
35 participar participar 32 VERB ccomp
36 campanha campanha 35 NOUN obj
37 sucessao sucessao 25 ADJ amod
38 deixar deixar 33 VERB acl:inf
39 coisas coisa 38 NOUN obj
40 acontecam acontecar 23 VERB ccomp
41 meio meio 40 NOUN nsubj
42 politica politico 41 ADJ amod
43 poderia poder 44 AUX aux
44 desarmar desarmar 40 VERB parataxis
45 pouco pouco 44 ADV advmod
46 psdb psdb 44 NOUN nsubj
47 posicao posicao 44 NOUN nsubj
48 radical radical 47 ADJ amod
49 golpista golpista 47 ADJ amod
50 tratar tratar 47 VERB acl:inf
51 coisas coisa 50 NOUN obj
52 pt pt 54 NOUN nsubj
53 ideologico ideologico 72 ADJ amod
54 disse dizer 40 VERB parataxis
55 gomes gome 54 NOUN nsubj
56 disse dizer 54 VERB ccomp
57 pais pais 58 NOUN nsubj
58 viveu viver 56 VERB ccomp
59 crise crise 58 NOUN obj
60 organica organico 59 ADJ amod
61 decorrente decorrente 62 ADJ amod
62 relacao relacao 59 NOUN appos
63 promiscua promiscuo 62 ADJ amod
64 poderes poderes 62 NOUN appos
65 legislativo legislativo 62 ADJ amod
66 executivo executivo 64 ADJ amod
67 baseada baseado 64 ADJ amod
68 chantagem chantagem 64 NOUN appos
69 achaque achaque 68 NOUN appos
70 muda muda 71 ADJ amod
71 noite noite 76 NOUN obj
72 dia dia 71 NOUN nmod
73 proxima proximo 74 ADJ amod
74 eleicao eleicao 76 NOUN nsubj
75 vai ir 76 AUX aux
76 permitir permitir 54 VERB ccomp
77 gente gente 76 NOUN obj
78 comece começar 76 VERB ccomp
79 construir construir 76 VERB xcomp
80 nova novo 81 ADJ amod
81 relacao relacao 79 NOUN obj
82 vem vir 81 VERB det
83 dilma dilma 84 NOUN nsubj
84 render render 64 VERB acl:relcl
85 tentou tentar 84 VERB ccomp
86 resistir resistir 85 VERB xcomp
87 comeco comeco 86 NOUN obj
88 conseguiu conseguir 71 VERB acl:relcl
89 completou completar 85 VERB ccomp
90 dilma dilma 89 NOUN obj
91 filiada filiado 90 ADJ amod
92 pdt pdt 76 NOUN nsubj
93 sancionou sancionar 89 VERB parataxis
94 recentemente recentemente 93 ADV advmod
95 lei lei 93 NOUN obj
96 inclui incluir 95 VERB acl
97 politico politico 79 NOUN obj
98 gaucho gaucho 97 ADJ amod
99 leonel leonel 97 NOUN appos
100 brizola brizola 97 NOUN amod
101 livro livro 97 NOUN appos
102 herois herois 101 NOUN amod
103 patria patria 101 NOUN amod
104 homenageia homenageia 101 NOUN appos
105 brasileiros brasileiro 104 ADJ amod
106 destacaram destacar 97 VERB acl:relcl
107 defesa defesa 106 NOUN obj
108 construcao construcao 107 ADJ amod
109 historia historia 107 NOUN appos
110 nacional nacional 109 ADJ amod
111 ultima ultima 109 ADJ amod
112 segunda segundo 109 ADJ amod
113 04 04 114 NUM nummod
114 ministrochefe ministrochefe 106 NOUN nsubj
115 casa casa 114 NOUN appos
116 civil civil 115 ADJ amod
117 jaques jaque 119 NOUN nsubj
118 wagner wagner 117 PROPN flat
119 disparou disparar 124 VERB parataxis
120 criticas criticas 119 NOUN obj
121 pt pt 124 PROPN nsubj
122 disse dizer 124 VERB ccomp
123 partido partido 124 NOUN obj
124 lambuzou lambuzar 89 VERB parataxis
