1 cinco cinco 2 NUM nummod
2 dias dia 15 NOUN nmod
3 apos apos 4 ADP mark
4 assumir assumir 15 VERB advcl
5 pgr pgr 4 NOUN obj
6 equipe equipe 4 NOUN obj
7 raquel raquel 6 NOUN appos
8 dodge dodge 7 NOUN flat
9 primeiro primeiro 10 ADJ amod
10 escandalo escandalo 4 NOUN obj
11 equipe equipe 15 NOUN nsubj
12 jornal jornal 15 NOUN nsubj
13 folha folha 12 NOUN flat
14 sp sp 12 ADJ amod
15 flagrou flagrar 0 VERB root
16 membro membro 15 NOUN obj
17 equipe equipe 16 NOUN flat
18 nova novo 19 ADJ amod
19 procuradora procurador 16 NOUN appos
20 geral geral 19 ADJ amod
21 raquel raquel 15 NOUN nsubj
22 dodge dodge 21 NOUN flat
23 vazando vazar 12 VERB acl
24 informacoes informacoe 23 NOUN obj
25 advogada advogado 24 ADJ amod
26 trabalhou trabalhar 15 VERB parataxis
27 jbs jbs 26 NOUN obj
28 fernanda fernanda 27 NOUN flat
29 tortima tortima 27 NOUN amod
30 advogada advogado 27 NOUN appos
31 almocando almocar 27 VERB appos
32 procurador procurador 31 NOUN obj
33 sidney sidney 32 NOUN appos
34 pessoa pessoa 32 NOUN appos
35 madruga madruga 32 NOUN appos
36 restaurante restaurante 35 NOUN appos
37 taypa taypa 36 NOUN appos
38 brasilia brasilia 37 NOUN flat
39 tudo tudo 40 PRON nsubj
40 correndo correr 36 VERB acl
41 bem bem 40 ADV advmod
42 almoco almoco 40 ADV advmod
43 jornalistas jornalista 45 NOUN nsubj
44 folha folha 43 NOUN flat
45 almocavam almocar 40 VERB parataxis
46 mesa mesa 45 NOUN obj
47 lado lado 48 NOUN nsubj
48 flagraram flagrar 45 VERB parataxis
49 toda toda 50 DET det
50 conversa conversa 48 NOUN obj
51 procurador procurador 52 NOUN nsubj
52 vazou vazar 45 VERB parataxis
53 informacoes informacoe 52 NOUN obj
54 sigilosas sigiloso 53 ADJ amod
55 disse dizer 15 VERB parataxis
56 advogada advogado 55 NOUN nsubj
57 tendencia tendencia 56 NOUN appos
58 pgr pgr 59 NOUN nsubj
59 investigar investigar 56 VERB acl:inf
60 exchefe exchefe 59 NOUN obj
61 gabinete gabinete 59 NOUN obj
62 rodrigo rodrigo 61 NOUN amod
63 janot janot 61 NOUN flat
64 adversario adversario 61 NOUN appos
65 dodge dodge 61 NOUN appos
66 dodge dodge 65 NOUN flat
67 focando focar 64 VERB acl
68 trabalho trabalho 67 NOUN obj
69 janot janot 68 NOUN appos
70 inves inves 69 ADJ amod
71 investigar investigar 69 VERB acl:inf
72 politicos politicos 71 NOUN obj
73 corruptos corrupto 72 ADJ amod
74 comando comando 72 NOUN appos
75 pais pais 74 NOUN flat
76 trocando trocar 74 VERB acl
77 miudos miudo 76 NOUN obj
78 prova prova 83 NOUN nsubj
79 nova novo 78 ADJ amod
80 pgr pgr 83 NOUN nsubj
81 pode pode 83 AUX aux
82 estar estar 83 AUX aux
83 trabalhando trabalhar 71 VERB conj
84 exclusivamente exclusivamente 83 ADV advmod
85 sr sr 83 NOUN advmod
86 michel michel 87 ADJ amod
87 reportagem reportagem 83 NOUN obj
88 saiu sair 83 VERB parataxis
89 manha manha 83 NOUN nmod
90 periodo periodo 91 NOUN amod
91 tarde tarde 93 NOUN amod
92 exoneracao exoneracao 93 ADJ amod
93 procurador procurador 83 NOUN obj
94 madruga madruga 93 NOUN flat
95 anunciada anunciar 93 VERB acl
