1 tres tres 2 NUM nummod
2 ministros ministro 3 NOUN nsubj
3 temer temer 0 VERB root
4 abalaramse abalaramse 3 VERB xcomp
5 brasilia brasilia 4 NOUN obj
6 rio rio 7 NOUN obj
7 contar contar 5 VERB acl:inf
8 presidente presidente 7 NOUN obj
9 tjrj tjrj 8 NOUN appos
10 desembargador desembargador 8 NOUN appos
11 milton milton 8 NOUN appos
12 fernandes fernande 11 NOUN flat
13 souza souza 14 ADJ flat
14 operacoes operacoe 7 NOUN obj
15 policiais policial 14 ADJ amod
16 intervencao intervencao 14 NOUN appos
17 federal federal 16 ADJ amod
18 seguranca seguranca 16 NOUN appos
19 rio rio 16 NOUN appos
20 respeitarao respeitar 14 VERB acl:relcl
21 constituicao constituicao 20 NOUN obj
22 direitos direito 20 NOUN obj
23 fundamentais fundamental 22 ADJ amod
24 bidu bidu 25 AUX cop
25 fato fato 22 NOUN appos
26 caso caso 25 NOUN flat
27 caso caso 25 NOUN appos
28 obvio obvio 29 ADJ amod
29 principio principio 25 NOUN appos
30 juridico juridico 29 ADJ amod
31 assim assim 32 ADV advmod
32 bola bola 29 NOUN appos
33 redonda redondo 32 ADJ amod
34 dado dado 35 NOUN case
35 quadrado quadrado 32 NOUN nmod
36 mae mae 35 NOUN appos
37 mae mae 36 NOUN flat
38 vaca vaca 36 NOUN flat
39 vaca vaca 36 NOUN flat
40 tais tais 41 DET det
41 medidas medida 42 NOUN nsubj
42 violam violar 20 VERB parataxis
43 estado estado 42 NOUN obj
44 direito direito 43 ADJ amod
45 fato fato 42 NOUN obj
46 feito feito 45 NOUN appos
47 serve servir 42 VERB parataxis
48 lembrar lembrar 42 VERB ccomp
49 alem alem 48 ADV advmod
50 burra burro 51 ADJ amod
51 expresidente expresidente 48 NOUN obj
52 dilma dilma 51 ADJ amod
53 rousseff rousseff 51 NOUN flat
54 sob sob 56 ADP case
55 cuja cuja 56 DET det
56 egide egide 57 NOUN nmod
57 ocorreu ocorrer 51 VERB acl:relcl
58 fato fato 57 NOUN nsubj
59 lembrado lembrado 58 ADJ amod
60 cinismo cinismo 58 NOUN appos
61 atroz atroz 60 ADJ amod
62 pois pois 70 CCONJ mark
63 desplante desplante 70 NOUN nsubj
64 reclamar reclamar 70 VERB advcl
65 desse desse 66 ADP case
66 arreganho arreganho 64 NOUN nmod
67 arbitrio arbitrio 66 ADJ amod
68 rede rede 64 NOUN nsubj
69 social social 68 ADJ amod
70 perdeu perder 48 VERB conj
71 oportunosa oportunoso 72 ADJ amod
72 ensancha ensancha 70 NOUN obj
73 calar calar 70 VERB ccomp
74 comentario comentario 73 NOUN obj
75 jornal jornal 73 NOUN obj
76 eldorado eldorado 75 ADJ amod
