1 desse desse 2 ADP case
2 jeito jeito 4 NOUN nmod
3 vamos ir 4 AUX aux
4 dar dar 32 VERB ccomp
5 presidencia presidencia 4 NOUN obj
6 lula lula 5 NOUN appos
7 2018 2018 6 NUM nmod
8 diz dizer 4 VERB parataxis
9 aloysio aloysio 8 NOUN nsubj
10 ministro ministro 9 NOUN appos
11 relacoes relacoe 10 NOUN amod
12 exteriores exterior 10 ADJ amod
13 afirma afirmar 4 VERB parataxis
14 psdb psdb 15 NOUN nsubj
15 vive vive 13 VERB ccomp
16 histeria histeria 15 NOUN obj
17 pode pode 18 AUX aux
18 facilitar facilitar 13 VERB ccomp
19 volta volta 18 NOUN obj
20 petista petista 19 NOUN amod
21 planalto planalto 18 NOUN nmod
22 brasilia brasilia 21 NOUN flat
23 irritado irritado 21 ADJ amod
24 racha racha 32 NOUN nsubj
25 psdb psdb 24 NOUN appos
26 ministro ministro 25 NOUN flat
27 relacoes relacoe 26 ADJ amod
28 exteriores exterior 26 ADJ amod
29 aloysio aloysio 32 NOUN nsubj
30 nunes nunes 29 NOUN flat
31 ferreira ferreira 29 ADJ flat
32 disse dizer 0 VERB root
