1 bem bem 2 ADV advmod
2 achados achar 9 VERB acl
3 felizes feliz 4 ADJ amod
4 slogans slogan 9 NOUN obj
5 politica politica 4 ADJ amod
6 brasileira brasileiro 4 ADJ amod
7 todos todos 8 DET det
8 tempos tempo 9 NOUN nsubj
9 conduziu conduzir 0 VERB root
10 luiz luiz 9 NOUN obj
11 inacio inacio 10 NOUN flat
12 lula lula 10 NOUN flat
13 silva silva 10 ADJ flat
14 primeira primeiro 15 ADJ amod
15 vitoria vitoria 9 NOUN obj
16 eleicao eleicao 9 NOUN obj
17 presidencial presidencial 16 ADJ amod
18 2002 2002 16 NUM nmod
19 amargar amargar 9 VERB parataxis
20 tres tres 21 NUM nummod
21 derrotas derrota 19 NOUN obj
22 seguidas seguido 21 ADJ amod
23 fernando fernando 19 NOUN appos
24 collor collor 23 NOUN flat
25 fernando fernando 23 NOUN appos
26 henrique henrique 25 NOUN flat
27 esperanca esperanca 25 NOUN flat
28 vai ir 29 AUX aux
29 vencer vencer 9 VERB parataxis
30 medo medo 29 NOUN obj
31 passados passar 29 VERB advcl
32 15 15 33 NUM nummod
33 anos ano 29 NOUN nmod
34 tres tres 35 NUM nummod
35 gestoes gestoe 29 NOUN nsubj
36 meia meio 35 ADJ amod
37 pt pt 35 NOUN appos
38 sendo ser 39 AUX cop
39 metade metade 35 NOUN acl
40 quarta quarta 39 ADJ amod
41 sendo ser 42 AUX aux:pass
42 tocada tocar 45 VERB acl
43 vice vice 45 NOUN nsubj
44 lula lula 45 NOUN nsubj
45 escolheu escolher 9 VERB parataxis
46 compor compor 45 VERB xcomp
47 chapa chapa 46 NOUN obj
48 dilma dilma 47 NOUN amod
49 rousseff rousseff 47 NOUN flat
50 duas duas 51 NUM nummod
51 vezes vez 46 NOUN nmod
52 julgamento julgamento 46 NOUN obj
53 mensalao mensalao 55 ADJ amod
54 supremo supremo 55 ADJ amod
55 tribunal tribunal 52 NOUN appos
56 federal federal 55 ADJ amod
57 stf stf 58 NOUN appos
58 operacao operacao 55 NOUN appos
59 lava lava 58 NOUN flat
60 jato jato 61 NOUN flat
61 policia policia 58 NOUN appos
62 federal federal 61 ADJ amod
63 ministerio ministerio 61 NOUN appos
64 publico publico 63 ADJ amod
65 federal federal 63 ADJ amod
66 sob sob 67 ADP case
67 egide egide 72 NOUN nmod
68 juiz juiz 67 NOUN appos
69 sergio sergio 68 NOUN amod
70 moro moro 68 NOUN flat
71 curitiba curitiba 68 NOUN flat
72 ensinou ensinar 83 VERB parataxis
73 nacao nacao 72 NOUN obj
74 tudo tudo 75 PRON nsubj
75 esperava esperar 72 VERB parataxis
76 naquele naquele 77 ADP case
77 tempo tempo 75 NOUN nmod
78 decisao decisao 83 NOUN obj
79 unanime unanime 81 ADJ amod
80 segunda segundo 81 ADJ amod
81 turma turma 83 NOUN nsubj
82 stf stf 81 NOUN appos
83 aceitou aceitar 45 VERB parataxis
84 despacho despacho 83 NOUN obj
85 teori teori 83 NOUN parataxis
86 zavascki zavascki 85 PROPN flat
