1 tanta tanta 2 DET det
2 dor dor 3 NOUN nsubj
3 quer querer 0 VERB root
4 morrer morrer 3 VERB xcomp
5 jovem jovem 4 NOUN obj
6 19 19 5 NUM appos
7 pede pedir 4 VERB parataxis
8 eutanasia eutanasia 7 NOUN obj
9 causa causa 7 NOUN obj
10 polemica polemico 9 ADJ amod
11 chile chile 14 NOUN nsubj
12 paula paula 14 NOUN nsubj
13 diaz diaz 12 NOUN flat
14 despertou despertar 7 VERB conj
15 comocao comocao 14 NOUN obj
16 redes rede 14 NOUN obj
17 sociais social 16 ADJ amod
18 videos video 19 NOUN nsubj
19 pede pedir 14 VERB parataxis
20 presidente presidente 23 NOUN nsubj
21 michelle michelle 20 NOUN appos
22 bachelet bachelet 21 NOUN flat
23 permita permitir 14 VERB parataxis
24 morte morte 23 NOUN obj
25 digna digno 24 ADJ amod
26 entanto entanto 27 ADV advmod
27 faltam faltar 23 VERB conj
28 informacoes informacoe 27 NOUN nsubj
29 sobre sobre 30 ADP case
30 doenca doenca 28 NOUN nmod
31 diagnosticos diagnostico 30 ADJ amod
32 atribui atribuir 28 VERB acl:relcl
33 sintomas sintoma 32 NOUN obj
34 transtorno transtorno 33 NOUN appos
35 psiquiatrico psiquiatrico 34 ADJ amod
36 paula paula 32 NOUN obj
37 diaz diaz 36 NOUN flat
38 19 19 39 NUM nummod
39 anos ano 40 NOUN nsubj
40 quer querer 27 VERB parataxis
