1 sendo ser 2 AUX aux:pass
2 usado usar 5 VERB acl
3 bode bode 2 NOUN nsubj:pass
4 expiatorio expiatorio 3 ADJ amod
5 diz dizer 0 VERB root
6 academico academico 5 NOUN obj
7 cambridge cambridge 6 NOUN appos
8 pivo pivo 9 ADJ amod
9 escandalo escandalo 6 NOUN appos
10 facebook facebook 9 PROPN appos
11 rede rede 9 NOUN appos
12 social social 11 ADJ amod
13 afirma afirmar 5 VERB parataxis
14 kogan kogan 15 NOUN nsubj
15 violou violar 13 VERB ccomp
16 politicas politicas 15 NOUN obj
17 site site 15 NOUN nsubj
18 facebook facebook 20 PROPN appos
19 perdeu perder 15 VERB conj
20 valor valor 19 NOUN obj
21 mercado mercado 20 NOUN flat
22 convocado convocado 20 VERB acl
23 dar dar 19 VERB xcomp
24 explicacoes explicacoe 23 NOUN obj
25 autoridades autoridade 23 NOUN obj
26 pesquisador pesquisador 25 NOUN appos
27 universidade universidade 25 NOUN appos
28 cambridge cambridge 27 ADJ amod
29 aleksandr aleksandr 25 NOUN appos
30 kogan kogan 29 NOUN flat
31 criou criar 25 VERB acl:relcl
32 aplicativo aplicativo 31 NOUN obj
33 permitiu permitir 31 VERB parataxis
34 coletar coletar 33 VERB xcomp
35 dados dado 34 NOUN obj
36 50 50 37 NUM nummod
37 milhoes milhoes 38 NUM nummod
38 usuarios usuario 34 NOUN obj
39 facebook facebook 38 PROPN appos
40 usados usado 41 ADJ amod
41 empresa empresa 44 NOUN nsubj
42 cambridge cambridge 41 NOUN appos
43 analytica analytico 42 ADJ amod
44 afirmou afirmar 33 VERB parataxis
45 bbc bbc 44 NOUN obj
46 servindo servir 45 VERB acl
47 bode bode 46 NOUN obj
48 expiatorio expiatorio 47 ADJ amod
49 duas duas 50 NUM nummod
50 empresas empresa 53 NOUN nsubj
51 psicologo psicologo 50 NOUN amod
52 diz dizer 44 VERB parataxis
53 completou completar 52 VERB ccomp
54 2014 2014 55 NUM nummod
55 trabalho trabalho 53 NOUN obj
56 cambridge cambridge 55 NOUN appos
57 analytica analytico 56 ADJ amod
58 embora embora 60 CCONJ mark
59 nome nome 60 NOUN nsubj
60 relacao relacao 53 VERB advcl
61 alguma alguma 62 DET det
62 universidade universidade 60 NOUN obj
