1 julgamento julgamento 5 NOUN nsubj
2 em em 4 ADP case
3 o o 4 DET det
4 tse tse 1 NOUN nmod
5 empata empatar 0 VERB root
6 em em 7 ADP case
7 3 3 5 NUM nmod
8 a a 9 ADP case
9 3 3 7 NUM nmod
10 futuro futuro 5 NOUN obj
11 de de 12 ADP case
12 temer temer 10 NOUN nmod
13 esta esta 5 VERB parataxis
14 em em 16 ADP case
15 as o 16 DET det
16 maos mao 13 NOUN nmod
17 de de 18 ADP case
18 gilmar gilmar 16 NOUN nmod
19 mendes mendes 18 ADJ amod
20 o o 21 DET det
21 presidente presidente 27 NOUN nsubj
22 de de 24 ADP case
23 o o 24 DET det
24 tse tse 21 NOUN nmod
25 gilmar gilmar 21 NOUN appos
26 mendes mendes 25 NOUN flat
27 tera terar 5 VERB parataxis
28 o o 29 DET det
29 voto voto 27 NOUN obj
30 de de 31 ADP case
31 minerva minerva 29 NOUN nmod
32 o o 33 DET det
33 relator relator 27 NOUN nsubj
34 herman herman 33 PROPN appos
35 benjamin benjamin 34 PROPN flat
36 pediu pedir 5 VERB parataxis
37 a o 38 DET det
38 cassacao cassacao 36 NOUN obj
39 de de 41 ADP case
40 a o 41 DET det
41 chapa chapa 38 NOUN nmod
42 pt/psdb pt/psdb 41 NOUN appos
43 napoleao napoleao 41 NOUN appos
44 nunes nunes 43 NOUN flat
45 maia maia 43 NOUN flat
46 e e 47 CCONJ cc
47 admar admar 43 NOUN conj
48 gonzaga gonzaga 47 NOUN flat
49 recem recem 50 ADV advmod
50 indicados indicar 47 VERB acl
51 por por 52 ADP case
52 temer temer 50 NOUN nmod
53 votaram votar 36 VERB conj
54 a a 55 ADP case
55 favor favor 53 NOUN nmod
56 de de 57 ADP mark
57 manter manter 55 VERB nmod
58 o o 59 DET det
59 presidente presidente 57 NOUN obj
60 em em 62 ADP case
61 o o 62 DET det
62 cargo cargo 57 NOUN nmod
63 tarcisio tarcisio 53 NOUN nsubj
64 vieira vieira 63 NOUN appos
65 de de 66 ADP case
66 carvalho carvalho 63 NOUN nmod
67 neto neto 66 ADJ amod
68 tambem tambem 69 ADV advmod
69 votou votar 36 VERB conj
70 contra contra 72 ADP case
71 o o 72 DET det
72 relator relator 69 NOUN nmod
73 luiz luiz 72 NOUN appos
74 fux fux 73 NOUN flat
75 e e 76 CCONJ cc
76 rosa rosa 73 NOUN conj
77 weber weber 76 NOUN flat
78 ministros ministro 82 NOUN nsubj
79 de de 81 ADP case
80 o o 81 DET det
81 stf stf 78 NOUN nmod
82 acompanharam acompanhar 69 VERB parataxis
83 herman herman 82 NOUN obj
84 benjamin benjamin 83 PROPN flat
85 e e 86 CCONJ cc
86 votaram votar 82 VERB conj
87 a a 88 ADP case
88 favor favor 86 NOUN nmod
89 de de 91 ADP case
90 a o 91 DET det
91 cassacao cassacao 88 NOUN nmod
92 de de 94 ADP case
93 a o 94 DET det
94 chapa chapa 91 NOUN nmod
95 resumindo resumir 86 VERB acl
96 a a 97 ADP case
97 favor favor 95 NOUN nmod
98 de de 100 ADP case
99 a o 100 DET det
100 cassacao cassacao 97 NOUN nmod
101 herman herman 100 NOUN appos
102 benjamin benjamin 101 NOUN flat
103 luiz luiz 101 PROPN appos
104 fux fux 103 NOUN flat
105 e e 106 CCONJ cc
106 rosa rosa 103 NOUN conj
107 weber weber 106 PROPN flat
108 contra contra 110 ADP case
109 a o 110 DET det
110 cassacao cassacao 95 NOUN nmod
111 napoleao napoleao 110 NOUN appos
112 nunes nunes 111 NOUN flat
113 maia maia 114 NOUN flat
114 admar admar 111 NOUN appos
115 gonzaga gonzaga 114 NOUN flat
116 e e 117 CCONJ cc
117 tarcisio tarcisio 111 NOUN conj
118 vieira vieira 117 ADJ appos
119 de de 120 ADP case
120 carvalho carvalho 117 NOUN nmod
121 neto neto 120 ADJ amod
