1 novo novo 2 ADJ amod
2 depoimento depoimento 6 NOUN nsubj
3 de de 4 ADP case
4 marcelo marcelo 2 NOUN nmod
5 odebrecht odebrecht 4 PROPN flat
6 destroi destroir 0 VERB root
7 o o 8 DET det
8 pt pt 6 NOUN obj
9 dilma dilma 10 NOUN nsubj
10 sabia saber 6 VERB parataxis
11 de de 14 ADP case
12 todo todo 14 DET det
13 o o 14 DET det
14 esquema esquema 10 NOUN nmod
15 ilicito ilicito 14 ADJ amod
16 o o 17 DET det
17 empresario empresario 18 NOUN nsubj
18 disse dizer 6 VERB parataxis
19 que que 31 CCONJ mark
20 80 80 31 NUM nsubj
21 de de 23 ADP case
22 as o 23 DET det
23 doacoes doacoe 20 NOUN nmod
24 para para 26 ADP case
25 a o 26 DET det
26 campanha campanha 23 NOUN nmod
27 de de 28 ADP case
28 dilma dilma 26 NOUN nmod
29 em em 30 ADP case
30 2014 2014 26 NUM nmod
31 foram foram 18 VERB ccomp
32 em em 34 ADP case
33 o o 34 DET det
34 caixa caixa 31 NOUN nmod
35 dois dois 34 NUM appos
36 a o 37 DET det
37 odebrecht odebrecht 38 NOUN nsubj
38 doou doar 18 VERB ccomp
39 150 150 40 NUM nummod
40 milhoes milhoes 42 NUM nummod
41 de de 42 ADP case
42 reais real 38 NOUN obj
43 a a 45 ADP case
44 o o 45 DET det
45 pt pt 38 NOUN iobj
46 desse desse 47 ADP case
47 total total 53 NOUN nmod
48 50 50 49 NUM nummod
49 milhoes milhoes 51 NUM nummod
50 de de 51 ADP case
51 reais real 53 NOUN nsubj:pass
52 foram foram 53 AUX aux:pass
53 pagos pagar 18 VERB ccomp
54 para para 55 ADP mark
55 beneficiar beneficiar 53 VERB advcl
56 a a 57 ADP case
57 odebrecht odebrecht 55 NOUN obj
58 em em 60 ADP case
59 a o 60 DET det
60 medida medida 55 NOUN nmod
61 provisoria provisorio 60 ADJ amod
62 n n 60 NOUN appos
63 470 470 62 NUM appos
64 em em 65 ADP case
65 2009 2009 62 NUM nmod
66 durante durante 68 ADP case
67 o o 68 DET det
68 governo governo 53 NOUN nmod
69 lula lula 68 ADJ amod
70 o o 71 DET det
71 pt pt 72 NOUN nsubj
72 deixou deixar 53 VERB parataxis
73 esse esse 74 DET det
74 dinheiro dinheiro 72 NOUN obj
75 em em 76 ADP case
76 caixa caixa 72 NOUN nmod
77 e e 78 CCONJ cc
78 transferiu transferir 72 VERB conj
79 para para 81 ADP case
80 a o 81 DET det
81 campanha campanha 78 NOUN nmod
82 de de 83 ADP case
83 dilma dilma 81 NOUN nmod
84 marcelo marcelo 78 NOUN nsubj
85 odebrecht odebrecht 84 PROPN flat
86 tambem tambem 87 ADV advmod
87 delatou delatar 72 VERB conj
88 que que 92 CCONJ mark
89 a o 90 DET det
90 expresidente expresidente 92 NOUN nsubj
91 dilma dilmo 90 ADJ amod
92 sabia saber 87 VERB ccomp
93 de de 96 ADP case
94 todo todo 96 DET det
95 o o 96 DET det
96 esquema esquema 92 NOUN nmod
97 sujo sujo 96 ADJ amod
98 de de 99 ADP case
99 campanha campanha 96 NOUN nmod
100 entre entre 102 ADP case
101 sua sua 102 DET det:poss
102 empresa empresa 99 NOUN nmod
103 e e 105 CCONJ cc
104 o o 105 DET det
105 pt pt 102 NOUN conj
106 alem alem 92 ADV advmod
107 de de 108 ADP mark
108 saber saber 106 VERB nmod
109 de de 112 ADP case
110 todo todo 112 DET det
111 o o 112 DET det
112 esquema esquema 108 NOUN nmod
113 ilicito ilicito 112 ADJ amod
114 dilma dilma 112 NOUN appos
115 definiu definir 87 VERB ccomp
116 que que 121 CCONJ mark
117 guido guido 121 NOUN nsubj
118 mantega mantega 117 NOUN flat
119 seria seria 121 AUX cop
120 o o 121 DET det
121 interlocutor interlocutor 115 NOUN ccomp
122 de de 124 ADP case
123 o o 124 DET det
124 governo governo 121 NOUN nmod
125 com com 126 ADP case
126 marcelo marcelo 121 NOUN nmod
127 odebrecht odebrecht 126 PROPN appos
