1 contrato contrato 11 NOUN nsubj:pass
2 de de 4 ADP case
3 o o 4 DET det
4 ap ap 1 NOUN nmod
5 de de 6 ADP case
6 lula lula 4 NOUN nmod
7 em em 9 ADP case
8 o o 9 DET det
9 guaruja guaruja 1 NOUN nmod
10 foi foi 11 AUX aux:pass
11 rasurado rasurar 0 VERB root
12 para para 13 ADP mark
13 tentar tentar 11 VERB advcl
14 enganar enganar 13 VERB xcomp
15 a o 16 DET det
16 pericia pericia 14 NOUN obj
17 a o 18 DET det
18 pf pf 19 NOUN nsubj
19 descobriu descobrir 11 VERB parataxis
20 tudo tudo 19 PRON obj
21 em em 23 ADP case
22 o o 23 DET det
23 relatorio relatorio 19 NOUN nmod
24 de de 25 ADP case
25 indiciamento indiciamento 23 NOUN nmod
26 de de 27 ADP case
27 lula lula 25 NOUN nmod
28 o o 29 DET det
29 delegado delegado 34 NOUN nsubj
30 de de 32 ADP case
31 a o 32 DET det
32 pf pf 29 NOUN nmod
33 responsavel responsavel 32 ADJ amod
34 anexou anexar 11 VERB parataxis
35 um um 36 DET det
36 documento documento 34 NOUN obj
37 de de 39 ADP case
38 a o 39 DET det
39 pericia pericia 36 NOUN nmod
40 que que 42 PRON nsubj:pass
41 foi foi 42 AUX aux:pass
42 feita feita 36 VERB acl:relcl
43 em em 45 ADP case
44 a o 45 DET det
45 proposta proposta 42 NOUN nmod
46 de de 47 ADP case
47 adesao adesao 45 NOUN nmod
48 de de 50 ADP case
49 a o 50 DET det
50 bancoop bancoop 47 NOUN nmod
51 o o 53 DET det
52 famoso famoso 53 ADJ amod
53 triplex triplex 42 NOUN nsubj:pass
54 os o 55 DET det
55 peritos perito 56 NOUN nsubj
56 comprovaram comprovar 11 VERB parataxis
57 conforme conforme 60 CCONJ mark
58 voce voce 60 PRON nsubj
59 pode pode 60 AUX aux
60 ver ver 56 VERB advcl
61 em em 63 ADP case
62 a o 63 DET det
63 imagem imagem 60 NOUN nmod
64 abaixo abaixo 63 ADV advmod
65 que que 140 CCONJ mark
66 o o 67 DET det
67 numero numero 199 NOUN nsubj
68 de de 70 ADP case
69 o o 70 DET det
70 apartamento apartamento 67 NOUN nmod
71 identificado identificar 70 VERB acl
72 em em 74 ADP case
73 o o 74 DET det
74 documento documento 71 NOUN nmod
75 foi foi 76 AUX aux:pass
76 rasurado rasurar 129 VERB ccomp
77 para para 78 ADP mark
78 tentar tentar 76 VERB advcl
79 ludibriar ludibriar 78 VERB xcomp
80 os o 81 DET det
81 investigadores investigador 79 NOUN obj
82 de de 84 ADP case
83 a o 84 DET det
84 lavajato lavajato 81 NOUN nmod
85 foi foi 86 AUX aux:pass
86 comprovada comprovar 129 VERB ccomp
87 rasura rasura 140 NOUN nsubj
88 em em 91 ADP case
89 o o 223 DET det
90 que que 91 PRON nsubj
91 tange tange 87 VERB nmod
92 a a 94 ADP case
93 o o 94 DET det
94 campo campo 91 NOUN nmod
95 apto/casa apto/casa 94 ADJ amod
96 com com 97 ADP case
97 numeracao numeracao 223 NOUN nmod
98 rasurada rasurar 97 ADJ amod
99 141 141 97 NUM appos
100 tinha ter 56 VERB parataxis
101 como como 102 ADP case
102 numeracao numeracao 186 NOUN nmod
103 anterior anterior 102 ADJ amod
104 174 174 102 NUM appos
105 indicando indicar 56 VERB acl
106 que que 108 CCONJ mark
107 originariamente originariamente 108 ADV advmod
108 havia haver 105 VERB ccomp
109 outra outra 110 DET det
110 inscricao inscricao 108 NOUN obj
111 de de 113 ADP case
112 o o 113 DET det
113 documento documento 110 NOUN nmod
114 referente referente 110 ADJ amod
115 unidade unidade 113 NOUN appos
116 de de 118 ADP case
117 o o 118 DET det
118 imovel imovel 115 NOUN nmod
119 posteriormente posteriormente 120 ADV advmod
120 rasurada rasurar 132 VERB acl
121 para para 122 ADP case
122 141 141 120 NUM nmod
123 o o 153 PRON det
124 que que 126 PRON obj
125 isso isso 126 PRON nsubj
126 quer querer 123 VERB acl:relcl
127 dizer dizer 126 VERB xcomp
128 quer querer 193 VERB ccomp
129 dizer dizer 128 VERB xcomp
130 que que 140 CCONJ mark
131 o o 132 DET det
132 numero numero 140 NOUN nsubj
133 que que 134 PRON nsubj
134 havia haver 132 VERB acl:relcl
135 embaixo embaixo 134 ADV advmod
136 de de 138 ADP case
137 a o 138 DET det
138 rasura rasura 135 NOUN nmod
139 174 174 138 NUM appos
140 era era 129 VERB ccomp
141 referente referente 140 ADJ xcomp
142 a a 144 ADP case
143 o o 144 DET det
144 apartamento apartamento 141 NOUN nmod
145 de de 147 ADP case
146 a o 147 DET det
147 cobertura cobertura 144 NOUN nmod
148 de de 150 ADP case
149 o o 150 DET det
150 edificio edificio 144 NOUN nmod
151 solaris solaris 150 NOUN flat
152 um um 153 DET det
153 duplex duplex 150 NOUN appos
154 depois depois 163 ADV mark
155 que que 154 CCONJ fixed
156 a o 157 DET det
157 empreiteira empreiteiro 163 NOUN nsubj
158 de de 159 ADP case
159 leo leo 157 NOUN nmod
160 pinheiro pinheiro 159 ADJ flat
161 a o 162 DET det
162 oas oas 157 NOUN appos
163 assumiu assumir 42 VERB advcl
164 as o 165 DET det
165 obras obra 163 NOUN obj
166 de de 167 ADP case
167 reforma reforma 165 NOUN nmod
168 o o 169 DET det
169 imovel imovel 163 NOUN nsubj
170 passou passar 174 AUX aux
171 a a 174 ADP mark
172 ser ser 174 AUX cop
173 um um 174 DET det
174 triplex triplex 56 NOUN ccomp
175 e e 179 CCONJ cc
176 o o 179 DET det
177 numero numero 179 NOUN nsubj:pass
178 foi foi 179 AUX aux:pass
179 mudado mudar 34 VERB conj
180 para para 181 ADP case
181 164 164 179 NUM nmod
182 o o 183 DET det
183 numero numero 186 NOUN nsubj:pass
184 141 141 183 NUM appos
185 foi foi 186 AUX aux:pass
186 escrito escrever 56 VERB parataxis
187 para para 188 ADP mark
188 fraudar fraudar 186 VERB advcl
189 o o 190 DET det
190 documento documento 188 NOUN obj
191 e e 192 CCONJ cc
192 tentar tentar 188 VERB conj
193 provar provar 192 VERB xcomp
194 que que 199 CCONJ mark
195 lula lula 199 NOUN nsubj
196 e e 197 CCONJ cc
197 marisa marisa 195 NOUN conj
198 teriam ter 199 AUX aux
199 adquirido adquirir 193 VERB ccomp
200 uma um 201 DET det
201 cotaparte cotaparte 199 NOUN obj
202 de de 204 ADP case
203 um um 204 DET det
204 apartamento apartamento 201 NOUN nmod
205 simples simples 204 ADJ amod
206 o o 207 DET det
207 apartamento apartamento 210 NOUN nsubj
208 141 141 207 NUM appos
209 nao nao 210 ADV advmod
210 fica ficar 129 VERB ccomp
211 em em 213 ADP case
212 a o 213 DET det
213 cobertura cobertura 210 NOUN nmod
214 e e 216 CCONJ cc
215 um um 216 DET det
216 ape ape 110 NOUN conj
