1 rio rio 4 NOUN nsubj
2 2016 2016 3 NUM nummod
3 advogado advogado 4 NOUN nsubj
4 diz dizer 0 VERB root
5 que que 6 CCONJ mark
6 comprou comprar 4 VERB ccomp
7 ingressos ingresso 6 NOUN obj
8 falsos falso 7 ADJ amod
9 de de 10 ADP case
10 ator ator 7 NOUN nmod
11 de de 13 ADP case
12 a o 13 DET det
13 globo globo 10 NOUN nmod
14 ator ator 15 NOUN nsubj
15 diz dizer 4 VERB ccomp
16 que que 19 CCONJ mark
17 tambem tambem 19 ADV advmod
18 foi foi 19 AUX aux:pass
19 enganado enganar 15 VERB ccomp
20 um um 21 DET det
21 torcedor torcedor 19 NOUN nsubj:pass
22 disse dizer 4 VERB ccomp
23 que que 29 CCONJ mark
24 o o 25 DET det
25 ator ator 29 NOUN nsubj
26 murilo murilo 25 NOUN appos
27 rosa rosa 25 NOUN amod
28 lhe lhe 29 PRON iobj
29 vendeu vender 22 VERB ccomp
30 2 2 31 NUM nummod
31 ingressos ingresso 29 NOUN obj
32 falsos falso 31 ADJ amod
33 para para 35 ADP case
34 a o 35 DET det
35 final final 29 NOUN nmod
36 de de 38 ADP case
37 o o 38 DET det
38 futebol futebol 35 NOUN nmod
39 entre entre 40 ADP case
40 brasil brasil 35 NOUN nmod
41 e e 42 CCONJ cc
42 alemanha alemanha 40 NOUN conj
43 em em 45 ADP case
44 o o 45 DET det
45 maracana maracana 29 NOUN nmod
46 o o 47 DET det
47 advogado advogado 161 NOUN nsubj
48 relata relatar 161 VERB parataxis
49 que que 52 CCONJ mark
50 o o 51 DET det
51 ator ator 52 NOUN nsubj
52 cobrou cobrar 48 VERB ccomp
53 r r 52 NOUN obj
54 1 1 56 NUM nummod
55 5 5 56 NUM nummod
56 mil mil 53 NUM nummod
57 por por 59 ADP case
58 dois dois 59 NUM nummod
59 bilhetes bilhete 52 NOUN nmod
60 para para 62 ADP case
61 o o 62 DET det
62 jogo jogo 243 NOUN nmod
63 de de 65 ADP case
64 a o 65 DET det
65 final final 62 NOUN nmod
66 de de 68 ADP case
67 o o 68 DET det
68 futebol futebol 65 NOUN nmod
69 masculino masculino 68 ADJ amod
70 o o 71 DET det
71 homem homem 79 NOUN nsubj:pass
72 e e 74 CCONJ cc
73 seu seu 74 DET det:poss
74 filho filho 71 NOUN conj
75 de de 77 ADP case
76 12 12 77 NUM nummod
77 anos ano 74 NOUN nmod
78 foram foram 79 AUX aux:pass
79 barrados barrar 22 VERB ccomp
80 a a 82 ADP case
81 o o 82 DET det
82 tentar tentar 79 VERB advcl
83 entrar entrar 82 VERB xcomp
84 com com 86 ADP case
85 os o 86 DET det
86 ingressos ingresso 83 NOUN nmod
87 em em 89 ADP case
88 o o 89 DET det
89 maracana maracana 83 NOUN nmod
90 estavamos estavar 22 VERB ccomp
91 em em 93 ADP case
92 a o 93 DET det
93 fila fila 90 NOUN nmod
94 de de 96 ADP case
95 o o 96 DET det
96 portao portao 93 NOUN nmod
97 b b 96 X flat
98 quando quando 100 CCONJ mark
99 fiquei ficar 100 AUX aux
100 sabendo saber 271 VERB advcl
101 o o 102 DET det
102 ator ator 104 NOUN nsubj
103 estava estar 104 AUX aux
104 vendendo vender 100 VERB ccomp
105 ingressos ingresso 104 NOUN obj
106 ele ele 107 PRON nsubj
107 estava estar 209 VERB acl:relcl
108 com com 110 ADP case
109 a o 110 DET det
110 mulher mulher 107 NOUN nmod
111 e e 112 CCONJ cc
112 queria querer 236 VERB conj
113 vender vender 112 VERB xcomp
114 os o 116 DET det
115 2 2 116 NUM nummod
116 ingressos ingresso 113 NOUN obj
117 por por 118 ADP case
118 r r 116 NOUN nmod
119 2 2 120 NUM nummod
120 mil mil 118 NUM nummod
121 ofereci oferecir 161 VERB ccomp
122 r r 121 NOUN obj
123 1 1 239 NUM nummod
124 5 5 125 NUM nummod
125 mil mil 122 NUM nummod
126 e e 128 CCONJ cc
127 ele ele 128 PRON nsubj
128 aceitou aceitar 161 VERB conj
129 comprei comprar 128 VERB xcomp
130 dele dele 129 X nmod
131 porque porque 135 CCONJ mark
132 ele ele 261 PRON nsubj:pass
133 e e 135 CCONJ cc
134 um um 135 DET det
135 ator ator 71 NOUN conj
136 famoso famoso 135 ADJ amod
137 e e 138 CCONJ cc
138 passa passar 146 VERB conj
139 credibilidade credibilidade 138 NOUN obj
140 a a 142 ADP case
141 o o 142 DET det
142 usar usar 271 VERB advcl
143 os o 144 DET det
144 ingressos ingresso 142 NOUN obj
145 fui fui 146 AUX aux:pass
146 barrado barrar 29 VERB conj
147 e e 149 CCONJ cc
148 me me 149 PRON iobj
149 informaram informar 90 VERB conj
150 que que 152 CCONJ mark
151 era era 152 AUX cop
152 m m 149 NOUN ccomp
153 falsos falso 152 ADJ amod
154 disse dizer 29 VERB parataxis
155 o o 156 DET det
156 advogado advogado 154 NOUN nsubj
