1 exclusivo exclusivo 2 ADJ amod
2 familia familia 8 NOUN nsubj
3 de de 5 ADP case
4 o o 5 DET det
5 jurista jurista 2 NOUN nmod
6 tomas tomas 5 NOUN appos
7 turbando turbando 6 NOUN flat
8 entra entrar 0 VERB root
9 em em 11 ADP case
10 a o 11 DET det
11 justica justica 8 NOUN nmod
12 contra contra 13 ADP case
13 jose jose 8 NOUN nmod
14 eduardo eduardo 13 ADJ flat
15 cardoso cardoso 13 NOUN flat
16 apos apos 17 ADP case
17 citacao citacao 8 NOUN nmod
18 feita feita 17 VERB acl
19 por por 21 ADP case
20 o o 21 DET det
21 advogado advogado 18 NOUN nmod
22 jose jose 21 NOUN appos
23 eduardo eduardo 22 PROPN flat
24 cardoso cardoso 22 NOUN flat
25 em em 27 ADP case
26 a o 27 DET det
27 comissao comissao 18 NOUN nmod
28 de de 30 ADP case
29 o o 30 DET det
30 impeachment impeachment 27 NOUN nmod
31 de de 33 ADP case
32 o o 33 DET det
33 senado senado 30 NOUN nmod
34 a o 35 DET det
35 familia familia 185 NOUN nsubj
36 de de 38 ADP case
37 o o 38 DET det
38 jurista jurista 35 NOUN nmod
39 tomas tomas 38 NOUN appos
40 turbando turbando 38 NOUN appos
41 bustamente bustamente 40 ADV advmod
42 vai ir 43 AUX aux
43 entrar entrar 8 VERB parataxis
44 com com 46 ADP case
45 uma um 46 DET det
46 acao acao 43 NOUN nmod
47 de de 48 ADP case
48 indenizacao indenizacao 46 NOUN nmod
49 de de 50 ADP case
50 danos dano 48 NOUN nmod
51 morais moral 50 ADJ amod
52 contra contra 53 ADP case
53 cardozao cardozao 46 NOUN nmod
54 reporter reporter 43 NOUN parataxis
55 fujiro fujiro 54 NOUN appos
56 nakombi nakombi 55 PROPN flat
57 para para 59 ADP case
58 o o 59 DET det
59 diario diario 262 NOUN nmod
60 de de 62 ADP case
61 o o 62 DET det
62 brasil brasil 59 NOUN nmod
63 tomas tomas 262 PROPN nsubj
64 e e 66 CCONJ cc
65 sua sua 66 DET det:poss
66 familia familia 63 NOUN conj
67 ficaram ficar 8 VERB conj
